Filename, cores,partitions,Atoms,GraphFrame,ConnectedComponents,Run,partitions/cores ratio

atom_position_frame_1.npz.npy, 384, 768, ~50K, -- sec, -- sec,1,2

atom_position_frame_1.npz.npy, 256,  256, ~50K, -- sec ,--  sec ,  1,1

atom_position_frame_1.npz.npy, 128, 768, ~50K, -- sec, -- sec,1,6
atom_position_frame_1.npz.npy, 128, 512, ~50K, 33 sec, 2042 sec,1,4
atom_position_frame_1.npz.npy, 128, 256, ~50K, 48 sec, 1347 sec,1,2

atom_position_frame_1.npz.npy, 64,  384, ~50K, -- sec , -- sec , 1,6
atom_position_frame_1.npz.npy, 64,  256, ~50K, 49 sec , 1016  sec , 1,4
atom_position_frame_1.npz.npy, 64,  128, ~50K, 92 sec , 846  sec , 1,2

atom_position_frame_1.npz.npy, 32,  192, ~50K, 65 sec , 1075  sec , 1,6
atom_position_frame_1.npz.npy, 32,  100, ~50K, 120 sec 964  sec , 1,3

atom_position_frame_1.npz.npy, 16,  200, ~50K, 59 sec , 1141  sec ,  1,12
atom_position_frame_1.npz.npy, 16,  100, ~50K, 115 sec ,941  sec ,  1,6
atom_position_frame_1.npz.npy, 16,  64, ~50K, -- sec ,--  sec ,  1,4


atom_position_frame_1.npz.npy, 256,  256, ~50K, -- sec ,--  sec , 2

atom_position_frame_1.npz.npy, 16,  100, ~50K, 116 sec ,967  sec , 2,6













