#TIME Node0_NumHit Node1_NumHit Node0_NumMiss Node1_NumMiss Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1481757380 5779623 5886763 0 0 5776737 5874187 2886 12576 15243.14 4582.46 1091.83 11801.51
1481757381 5779660 5887027 0 0 5776774 5874451 2886 12576 15241.96 4354.30 1092.66 12029.33
1481757382 5779696 5887307 0 0 5776810 5874730 2886 12576 15242.68 4106.57 1091.95 12277.46
1481757383 5779736 5887532 0 0 5776850 5874956 2886 12576 15242.35 3904.02 1091.90 12480.02
1481757384 5779771 5887758 0 0 5776885 5875182 2886 12576 15241.97 3714.22 1092.25 12672.30
1481757385 5779803 5887994 0 0 5776917 5875418 2886 12576 15242.77 3512.72 1091.45 12870.90
1481757386 5779841 5888236 0 0 5776955 5875660 2886 12576 15242.60 3301.85 1092.04 13086.86
1481757388 5779875 5888463 0 0 5776989 5875886 2886 12576 15242.80 3106.93 1091.78 13278.96
1481757389 5779906 5888698 0 0 5777021 5876122 2886 12576 15242.46 2909.98 1091.79 13474.08
1481757390 5779940 5888952 0 0 5777054 5876376 2886 12576 15243.03 2689.74 1091.94 13694.27
1481757391 5779972 5889145 0 0 5777086 5876569 2886 12576 15242.24 2532.48 1091.95 13851.53
1481757392 5780009 5889289 0 0 5777123 5876713 2886 12576 15243.13 2420.46 1091.12 13963.17
1481757393 5780045 5889367 0 0 5777159 5876791 2886 12576 15242.11 2374.95 1092.18 14008.28
1481757395 5780078 5889453 0 0 5777192 5876877 2886 12576 15242.75 2322.35 1091.47 14062.40
1481757396 5780112 5889522 0 0 5777226 5876946 2886 12576 15242.43 2287.98 1091.68 14096.02
1481757397 5780147 5889665 0 0 5777261 5877088 2886 12576 15243.46 2175.59 1091.15 14208.04
1481757399 5780182 5889867 0 0 5777296 5877291 2886 12576 15243.00 2007.27 1091.25 14378.91
1481757400 5780214 5890184 0 0 5777328 5877608 2886 12576 15243.16 1725.95 1091.09 14658.00
1481757401 5780249 5890409 0 0 5777363 5877833 2886 12576 15242.88 1534.86 1091.37 14849.18
1481757402 5780286 5890597 0 0 5777400 5878021 2886 12576 15243.19 1379.89 1091.42 15004.85
1481757404 5780321 5890710 0 0 5777435 5878134 2886 12576 15243.45 1297.12 1091.18 15086.53
1481757406 5780356 5890807 0 0 5777470 5878231 2886 12576 15242.76 1232.75 1091.47 15150.45
1481757407 5780392 5890942 0 0 5777506 5878366 2886 12576 15243.39 1130.11 1091.25 15253.90
1481757408 5780428 5891129 0 0 5777542 5878553 2886 12576 15243.77 974.26 1090.85 15414.42
1481757410 5780461 5891459 0 0 5777575 5878883 2886 12576 15243.93 677.41 1091.07 15711.32
1481757411 5780500 5891666 0 0 5777614 5879090 2886 12576 15243.30 499.13 1090.57 15886.21
1481757412 5780536 5891892 0 0 5777650 5879316 2886 12576 15243.51 302.80 1091.10 16084.04
1481757414 5780570 5892137 0 0 5777684 5879561 2886 12576 15243.94 92.46 1091.05 16291.20
1481757415 5780605 5892369 0 0 5777719 5879793 2886 12576 15244.13 54.81 1090.45 16328.04
1481757416 5780642 5892563 0 0 5777756 5879987 2886 12576 15244.49 56.45 1090.06 16327.16
1481757417 5780678 5892722 0 0 5777793 5880146 2886 12576 15243.82 55.16 1090.57 16328.67
1481757418 5780714 5892909 0 0 5777828 5880333 2886 12576 15243.79 55.57 1090.43 16328.80
1481757419 5780746 5893042 0 0 5777860 5880466 2886 12576 15243.04 55.27 1091.20 16328.70
1481757420 5780789 5893219 0 0 5777903 5880643 2886 12576 15242.99 55.58 1091.97 16329.14
1481757422 5780825 5893379 0 0 5777939 5880803 2886 12576 15243.68 55.34 1091.26 16328.30
1481757423 5780862 5893566 0 0 5777976 5880990 2886 12576 15242.93 55.57 1091.68 16328.43
1481757424 5780899 5893794 0 0 5778013 5881218 2886 12576 15243.42 56.05 1091.18 16327.97
1481757425 5780933 5893969 0 0 5778047 5881393 2886 12576 15242.85 56.04 1091.40 16327.61
1481757426 5780967 5894107 0 0 5778081 5881531 2886 12576 15242.60 55.78 1092.02 16327.87
1481757427 5781002 5894295 0 0 5778116 5881719 2886 12576 15242.36 55.23 1092.27 16328.39
1481757429 5781043 5894478 0 0 5778157 5881902 2886 12576 15243.04 56.16 1091.95 16327.54
1481757430 5781079 5894662 0 0 5778193 5882086 2886 12576 15242.42 54.95 1091.80 16327.57
1481757431 5781116 5894851 0 0 5778230 5882275 2886 12576 15242.64 56.16 1091.93 16327.47
1481757432 5781150 5895039 0 0 5778264 5882463 2886 12576 15241.86 55.27 1093.09 16327.58
1481757433 5781186 5895258 0 0 5778300 5882681 2886 12576 15241.74 55.38 1091.73 16328.63
1481757434 5781225 5895450 0 0 5778339 5882874 2886 12576 15242.66 55.49 1092.36 16328.13
1481757435 5781266 5895646 0 0 5778380 5883070 2886 12576 15242.90 55.22 1091.72 16328.05
1481757437 5781308 5895886 0 0 5778422 5883310 2886 12576 15241.00 56.23 1093.26 16328.50
1481757438 5781353 5896063 0 0 5778467 5883487 2886 12576 15241.48 55.49 1093.13 16328.14
1481757439 5781412 5896224 0 0 5778526 5883647 2886 12576 15240.77 56.48 1093.49 16327.53
1481757442 5781467 5896237 0 0 5778581 5883661 2886 12576 15241.62 57.14 1093.00 16326.86
1481757443 5781530 5896244 0 0 5778643 5883668 2886 12576 15241.34 57.36 1092.88 16326.64
1481757445 5781589 5896251 0 0 5778703 5883675 2886 12576 15242.11 57.27 1092.50 16326.73
1481757447 5781648 5896260 0 0 5778762 5883684 2886 12576 15241.40 57.81 1092.85 16326.19
1481757448 5781703 5896273 0 0 5778816 5883697 2886 12576 15241.51 56.81 1092.75 16327.19
