Pilot Startuptime:35.2074401379CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000000,Mapper-0-1,N/A,19.329928875,N/A,19.3465487957,91.9672408104,91.982008934,0.043881,60.625859,0.004875
unit.000001,Mapper-0-2,N/A,8.60190701485,N/A,8.61957979202,75.6505899429,75.6643137932,0.036144,56.462592,0.004174
unit.000002,Mapper-0-3,N/A,7.43206000328,N/A,7.73445892334,91.9446678162,91.9579339027,0.045712,63.064335,0.004122
unit.000003,Mapper-0-4,N/A,265.231841803,N/A,265.248966932,294.729129791,294.740592003,0.048732,26.130712,0.003462
unit.000004,Mapper-0-5,N/A,9.50585985184,N/A,9.52354192734,91.9110379219,91.9234569073,0.022836,61.439485,0.004132
unit.000005,Mapper-0-6,N/A,11.6041409969,N/A,11.6198699474,95.1408908367,95.200512886,0.060421,64.753676,0.004164
unit.000006,Mapper-0-7,N/A,14.3588879108,N/A,14.3824617863,81.9062669277,83.4084908962,0.023754,53.381664,0.004075
unit.000007,Mapper-0-8,N/A,14.7602338791,N/A,14.7763869762,87.5427179337,89.8277180195,0.018817,56.272967,0.004524
unit.000008,Mapper-0-9,N/A,15.8641409874,N/A,15.9298439026,89.8379127979,89.8503630161,0.01861,55.827144,0.004245
unit.000009,Mapper-0-10,N/A,17.6775319576,N/A,17.695928812,92.0038609505,92.0162718296,0.033864,61.744603,0.004169
unit.000010,Mapper-0-11,N/A,17.9806888103,N/A,18.0470559597,93.0516250134,93.0636818409,0.017162,62.857456,0.005678
unit.000011,Mapper-0-12,N/A,20.5941019058,N/A,20.6306638718,73.2450549603,73.2582478523,0.038743,48.680879,0.004333
unit.000012,Mapper-0-13,N/A,25.2847719193,N/A,25.3265619278,96.2438898087,96.2566699982,0.01231,58.169552,0.003651
unit.000013,Mapper-0-14,N/A,26.7179307938,N/A,26.7845218182,99.6723589897,99.6837618351,0.090002,57.998449,0.004461
unit.000014,Mapper-0-15,N/A,27.6521348953,N/A,27.775728941,101.736932993,101.749475956,0.017503,58.533237,0.004051
unit.000015,Mapper-0-16,N/A,11.0646510124,N/A,11.0794689655,86.5243599415,86.5365459919,0.019003,55.547132,0.004439
unit.000016,Mapper-0-17,N/A,29.284129858,N/A,29.3003098965,94.1048769951,94.1166768074,0.019336,47.939559,0.003887
unit.000017,Mapper-0-18,N/A,30.7928268909,N/A,30.8143548965,103.207244873,103.21953392,0.058324,59.272753,0.004514
unit.000018,Mapper-0-19,N/A,38.1088728905,N/A,38.202466011,99.6929588318,99.7045469284,0.011572,52.208566,0.004427
unit.000019,Mapper-0-20,N/A,45.6071219444,N/A,45.6432409286,101.758410931,101.770514965,0.018203,47.012288,0.004168
unit.000020,Mapper-0-21,N/A,55.3028998375,N/A,55.3210558891,108.713973999,108.726858854,0.016764,48.423097,0.008666
unit.000021,Mapper-0-22,N/A,68.0721139908,N/A,68.1146910191,134.0695858,134.082425833,0.05199,51.50054,0.005352
unit.000022,Mapper-0-23,N/A,83.7115550041,N/A,83.7510578632,117.225513935,117.239053011,0.016166,28.791947,0.003719
unit.000023,Mapper-0-24,N/A,97.8892948627,N/A,97.9180920124,152.936114788,153.165231943,0.038926,37.653005,0.003547
unit.000024,Mapper-0-25,N/A,113.652662992,N/A,113.692647934,157.300378799,157.314442873,0.02624,28.030931,0.006197
unit.000025,Mapper-0-26,N/A,123.294550896,N/A,123.329185963,173.852754831,173.864542007,0.039777,45.543593,0.006381
unit.000026,Mapper-0-27,N/A,131.320966959,N/A,131.341770887,169.720490932,169.732662916,0.012045,33.706576,0.003884
