Pilot Startuptime:33.7161531448CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000049,Mapper-0-50,N/A,5.60783600807,N/A,6.16256284714,250.998284817,251.009089947,0.060245,182.063014,0.002906
unit.000050,Mapper-0-51,N/A,5.85570883751,N/A,6.30013680458,345.282990932,345.293762922,0.04704,248.163605,0.002471
unit.000051,Mapper-0-52,N/A,5.6220870018,N/A,6.21995782852,253.02606988,253.037624836,0.06766,186.635958,0.003553
unit.000052,Mapper-0-53,N/A,5.91765594482,N/A,6.32902789116,379.375666857,379.693334818,0.073187,260.721993,0.002564
unit.000053,Mapper-0-54,N/A,5.58984398842,N/A,6.1125600338,155.786092997,155.798075914,0.043583,131.840326,0.003776
unit.000054,Mapper-0-55,N/A,6.01597595215,N/A,6.35105490685,270.17422986,270.184834003,0.07521,224.338179,0.002995
unit.000055,Mapper-0-56,N/A,6.06228685379,N/A,6.36205887794,333.433797836,333.445638895,0.050731,245.593514,0.00213
unit.000056,Mapper-0-57,N/A,6.09105992317,N/A,6.36938786507,315.741132975,315.755504847,0.049863,243.057794,0.002821
unit.000057,Mapper-0-58,N/A,5.48155283928,N/A,5.755163908,258.21357584,258.361750841,0.045732,193.137122,0.004206
unit.000058,Mapper-0-59,N/A,6.16958880424,N/A,6.38802194595,329.345160961,329.358561993,0.077504,245.201493,0.003165
unit.000059,Mapper-0-60,N/A,6.21262001991,N/A,6.39909482002,339.171416998,339.182927847,0.045162,247.375115,0.002784
unit.000060,Mapper-0-61,N/A,5.6363120079,N/A,6.24868988991,295.088513851,295.099956989,0.047948,238.562555,0.002605
unit.000061,Mapper-0-62,N/A,5.79120182991,N/A,6.2854180336,373.242830992,373.255129814,0.074795,257.244259,0.003632
unit.000062,Mapper-0-63,N/A,11.0852179527,N/A,11.0999569893,284.149233818,284.180320024,0.048204,233.540669,0.002044
unit.000063,Mapper-0-64,N/A,7.35074400902,N/A,7.36523485184,271.188403845,271.201308012,0.05001,226.158559,0.00261
unit.000064,Mapper-0-65,N/A,15.6125178337,N/A,15.6860389709,316.785044909,316.819948912,0.089902,235.161364,0.002796
unit.000065,Mapper-0-66,N/A,17.2642920017,N/A,17.2945919037,313.626641035,313.644070864,0.053031,232.235735,0.005511
unit.000066,Mapper-0-67,N/A,5.39835596085,N/A,5.43453288078,191.25424695,191.266618967,0.048616,147.560221,0.003406
unit.000067,Mapper-0-68,N/A,22.2129039764,N/A,22.2787289619,335.477725983,336.12309885,0.034322,236.11567,0.002124
unit.000068,Mapper-0-69,N/A,23.8628590107,N/A,23.8865778446,300.185889959,300.197992802,0.035702,227.327985,0.002399
unit.000069,Mapper-0-70,N/A,25.5674510002,N/A,25.6324028969,302.210160017,302.221122026,0.03644,225.792365,0.002311
unit.000070,Mapper-0-71,N/A,27.2202060223,N/A,27.2356228828,380.694548845,380.733729839,0.0422,243.119515,0.002019
unit.000071,Mapper-0-72,N/A,29.020911932,N/A,29.0358510017,299.155663013,299.167397976,0.041308,217.990002,0.002226
unit.000072,Mapper-0-73,N/A,31.9710769653,N/A,32.0491669178,357.504994869,357.51619792,0.041144,231.312602,0.00209
unit.000073,Mapper-0-74,N/A,33.9271090031,N/A,33.9452829361,370.170770884,370.184875965,0.034672,234.837459,0.001784
unit.000074,Mapper-0-75,N/A,35.6300139427,N/A,35.6558358669,268.456158876,269.153829813,0.032546,195.604493,0.002124
unit.000075,Mapper-0-76,N/A,37.8840358257,N/A,37.9011588097,372.229470968,372.242141008,0.032831,230.88975,0.002009
unit.000076,Mapper-0-77,N/A,30.4700729847,N/A,30.4862530231,360.5589118,360.570565939,0.042501,233.175353,0.002066
unit.000077,Mapper-0-78,N/A,5.40560984612,N/A,5.503221035,167.323760986,167.336144924,0.046976,141.039702,0.005381
unit.000078,Mapper-0-79,N/A,5.49948382378,N/A,5.80583500862,256.185158014,256.196121931,0.046951,189.577484,0.002083
unit.000079,Mapper-0-80,N/A,5.76224589348,N/A,6.27808690071,285.23217392,285.243541956,0.041556,233.564017,0.002923
unit.000080,Mapper-0-81,N/A,5.8855369091,N/A,6.32169699669,342.22592783,342.23751688,0.047312,247.257402,0.003339
unit.000081,Mapper-0-82,N/A,5.89975380898,N/A,6.3253660202,325.235453844,325.246688843,0.044787,243.924321,0.002554
unit.000082,Mapper-0-83,N/A,5.99810791016,N/A,6.34738397598,347.310678005,347.32259202,0.047743,248.329762,0.002733
unit.000083,Mapper-0-84,N/A,5.86992192268,N/A,6.3072578907,292.873428822,292.884547949,0.04019,237.215168,0.002795
unit.000084,Mapper-0-85,N/A,5.80930995941,N/A,6.2891368866,344.255823851,344.267503023,0.039249,248.371101,0.002179
unit.000085,Mapper-0-86,N/A,5.96590399742,N/A,6.34003996849,334.446669817,334.458141804,0.048107,246.234323,0.002383
unit.000086,Mapper-0-87,N/A,6.04442381859,N/A,6.35839295387,341.200596809,341.211954832,0.047977,247.473796,0.002315
unit.000087,Mapper-0-88,N/A,6.07648491859,N/A,6.36572289467,293.905259848,294.08738184,0.049034,236.330427,0.002812
unit.000088,Mapper-0-89,N/A,6.10524582863,N/A,6.37305688858,304.272994995,306.761828899,0.066399,238.18994,0.003081
unit.000089,Mapper-0-90,N/A,6.15164279938,N/A,6.38406991959,278.332795858,278.344240904,0.045447,232.948445,0.003178
unit.000090,Mapper-0-91,N/A,6.19833087921,N/A,6.39541602135,288.14467001,288.156788826,0.045639,235.74987,0.002794
unit.000091,Mapper-0-92,N/A,6.30358982086,N/A,6.5805618763,359.533118963,359.545017958,0.045781,252.265745,0.002913
unit.000092,Mapper-0-93,N/A,9.2921359539,N/A,9.35931491852,284.117259979,284.13399601,0.045351,234.131456,0.002772
unit.000093,Mapper-0-94,N/A,10.7872729301,N/A,10.8019750118,290.828773022,290.840379953,0.068679,237.690811,0.003506
unit.000094,Mapper-0-95,N/A,6.137403965,N/A,6.38039588928,266.407084942,266.419512033,0.035748,217.430315,0.002658
unit.000095,Mapper-0-96,N/A,14.0640149117,N/A,14.0807478428,320.138453007,320.152433872,0.027351,235.493956,0.002674
unit.000096,Reducer-0,N/A,387.283851862,N/A,387.548841953,391.961861849,393.299892902,0.170307,0.021685,0.003022
unit.000097,Mapper-1-1,N/A,408.384027958,N/A,408.408732891,816.090065956,816.101714849,0.029383,217.439359,0.002115
unit.000098,Mapper-1-2,N/A,413.136710882,N/A,413.15296793,844.876711845,844.896807909,0.034168,235.713833,0.002484
unit.000099,Mapper-1-3,N/A,410.932276011,N/A,411.002615929,866.118745804,866.130466938,0.070972,245.14472,0.003107
unit.000100,Mapper-1-4,N/A,405.072026968,N/A,405.090543985,806.137727022,806.257553816,0.036639,214.989616,0.002943
unit.000101,Mapper-1-5,N/A,399.104447842,N/A,399.119159937,533.691799879,533.70314002,0.031137,131.860606,0.00331
unit.000102,Mapper-1-6,N/A,407.467520952,N/A,407.515311956,819.266667843,819.278347015,0.030619,220.213236,0.003725
unit.000103,Mapper-1-7,N/A,422.613281965,N/A,422.683460951,825.39009285,825.402240992,0.032333,215.251489,0.002903
unit.000104,Mapper-1-8,N/A,403.205925941,N/A,403.220465899,530.547876835,530.559842825,0.0337,123.167737,0.002539
unit.000105,Mapper-1-9,N/A,397.41482687,N/A,397.429251909,800.001456022,800.013485909,0.03547,203.471714,0.002351
unit.000106,Mapper-1-10,N/A,402.309657812,N/A,402.325933933,659.447528839,659.460336924,0.035574,178.438336,0.003316
unit.000107,Mapper-1-11,N/A,434.637625933,N/A,434.698344946,934.583413839,934.596076012,0.02763,240.998984,0.003202
unit.000108,Mapper-1-12,N/A,411.889674902,N/A,411.918926001,810.322727919,810.335682869,0.029666,211.740726,0.002789
unit.000109,Mapper-1-13,N/A,418.452246904,N/A,418.520779848,842.827533007,842.839408875,0.030094,229.649288,0.00272
unit.000110,Mapper-1-14,N/A,419.308722019,N/A,419.341555834,876.343873978,876.35657692,0.029877,240.540957,0.002633
unit.000111,Mapper-1-15,N/A,413.284222841,N/A,413.312454939,834.619632006,834.632154942,0.030538,232.330003,0.002428
unit.000112,Mapper-1-16,N/A,420.066216946,N/A,420.133731842,887.560859919,887.572371006,0.030914,241.991397,0.002663
unit.000113,Mapper-1-17,N/A,405.818070889,N/A,405.856299877,821.313933849,821.326923847,0.03114,222.823231,0.00249
unit.000114,Mapper-1-18,N/A,401.412334919,N/A,401.431514025,534.705598831,534.717934847,0.031242,129.635107,0.003286
unit.000115,Mapper-1-19,N/A,433.501747847,N/A,433.538082838,873.278774977,873.291368961,0.030429,225.107045,0.002918
unit.000116,Mapper-1-20,N/A,437.500550985,N/A,437.517628908,865.102447033,865.116148949,0.030816,220.31551,0.002631
unit.000117,Mapper-1-21,N/A,438.556074858,N/A,438.575068951,903.949090958,903.961694002,0.02929,227.709389,0.002324
unit.000118,Mapper-1-22,N/A,433.481498957,N/A,433.505420923,888.576975822,888.589282036,0.02758,229.041482,0.002905
unit.000119,Mapper-1-23,N/A,432.29074502,N/A,432.307288885,883.471899986,883.483683825,0.029317,228.603543,0.002606
unit.000120,Mapper-1-24,N/A,441.887079,N/A,441.904184818,855.624749899,855.911881924,0.031768,211.564136,0.002613
unit.000121,Mapper-1-25,N/A,429.631636858,N/A,429.647718906,863.054347992,863.066183805,0.029411,225.730996,0.002623
