Pilot Startuptime:31.1651620865CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000000,Mapper-0-1,N/A,6.38761806488,N/A,6.42404007912,906.630491972,906.642106056,0.013194,877.144003,0.01395
unit.000001,Mapper-0-2,N/A,6.4094119072,N/A,6.54402208328,1151.2900579,1151.30275893,0.013672,1075.532013,0.014587
unit.000002,Mapper-0-3,N/A,6.53300786018,N/A,6.65689897537,1092.86841893,1092.88144493,0.014351,1041.03246,0.017751
unit.000003,Mapper-0-4,N/A,6.39497184753,N/A,6.48630285263,1032.03726101,1032.05435991,0.011213,994.332706,0.014547
unit.000004,Mapper-0-5,N/A,6.5078060627,N/A,6.64946293831,932.960052967,932.971127033,0.012491,888.992329,0.015152
unit.000005,Mapper-0-6,N/A,6.60194206238,N/A,6.6717710495,924.854984999,924.866235971,0.012856,885.517444,0.014558
unit.000006,Mapper-0-7,N/A,6.4933989048,N/A,6.64575386047,1055.33375907,1055.34447002,0.012171,1022.559196,0.014524
unit.000007,Mapper-0-8,N/A,6.56905007362,N/A,6.66433405876,1130.01829386,1130.03401804,0.011313,1064.324564,0.01446
unit.000008,Mapper-0-9,N/A,6.43116497993,N/A,6.59123396873,942.064270973,942.076387882,0.012329,891.603355,0.017705
unit.000009,Mapper-0-10,N/A,6.6127140522,N/A,6.67564296722,951.193039894,951.204920053,0.013539,895.410412,0.014129
unit.000010,Mapper-0-11,N/A,6.44198894501,N/A,6.63463187218,1015.81707907,1015.83174801,0.011193,989.857902,0.014334
unit.000011,Mapper-0-12,N/A,6.45640087128,N/A,6.63834285736,915.750287056,915.761662006,0.012068,877.09322,0.015984
unit.000012,Mapper-0-13,N/A,6.55468606949,N/A,6.6606259346,1109.32732105,1109.34175205,0.011282,1045.977746,0.015125
unit.000013,Mapper-0-14,N/A,6.51861405373,N/A,6.65317606926,1044.18964696,1044.20222402,0.011115,1011.817366,0.014083
unit.000014,Mapper-0-15,N/A,6.58381795883,N/A,6.66803908348,1068.49808908,1068.51119494,0.012295,1029.969472,0.015084
unit.000015,Mapper-0-16,N/A,6.47526788712,N/A,6.64204907417,898.540941,898.552780867,0.01242,865.887181,0.015991
unit.000016,Reducer-0,N/A,1160.11531997,N/A,1160.21006608,1168.52284408,1169.94561696,1.092292,2.158241,0.010729
unit.000017,Mapper-1-1,N/A,1176.64573503,N/A,1176.70942998,2253.34558296,2253.35675907,0.010011,1033.676909,0.013856
unit.000018,Mapper-1-2,N/A,1183.11805892,N/A,1183.13484597,2183.457829,2183.46935606,0.028316,987.093903,0.013704
unit.000019,Mapper-1-3,N/A,1182.37567306,N/A,1182.40550494,2323.78972507,2323.80238104,0.012866,1090.568279,0.013462
unit.000020,Mapper-1-4,N/A,1181.6329,N/A,1181.65159392,2229.88081193,2229.89156795,0.013169,1016.3135,0.01452
unit.000021,Mapper-1-5,N/A,1180.59403205,N/A,1180.61124706,2297.54873586,2297.56191492,0.009074,1068.804503,0.014385
unit.000022,Mapper-1-6,N/A,1181.33659887,N/A,1181.35127497,2219.74241495,2219.75520492,0.016838,1016.503449,0.014929
unit.000023,Mapper-1-7,N/A,1182.07900095,N/A,1182.0952549,2120.55602694,2120.56696796,0.01073,898.193849,0.017494
unit.000024,Mapper-1-8,N/A,1180.7411499,N/A,1180.75617194,2075.60231996,2075.67138004,0.009916,884.477993,0.014467
unit.000025,Mapper-1-9,N/A,1182.82196903,N/A,1182.83893585,2270.2342689,2270.24554706,0.023952,1055.625829,0.016942
unit.000026,Mapper-1-10,N/A,1178.05903602,N/A,1178.07364893,2093.8857429,2093.90665293,0.008667,889.079683,0.014311
unit.000027,Mapper-1-11,N/A,1178.95980501,N/A,1178.98547792,2243.22193503,2243.23654604,0.009595,1029.361824,0.014359
unit.000028,Mapper-1-12,N/A,1179.85022593,N/A,1179.86843586,2111.11317587,2111.12388587,0.007639,895.463723,0.015345
unit.000029,Mapper-1-13,N/A,1178.95265388,N/A,1178.97089505,2207.59791493,2207.60909986,0.009879,1016.765157,0.015199
unit.000030,Mapper-1-14,N/A,1177.31630898,N/A,1177.33089399,2053.88720989,2054.13450003,0.008498,861.818892,0.015143
unit.000031,Mapper-1-15,N/A,1177.91179585,N/A,1177.9264369,2101.99894786,2102.00952601,0.008733,893.144699,0.019209
unit.000032,Mapper-1-16,N/A,1179.85743594,N/A,1179.88301587,2084.77178788,2084.78376603,0.008092,887.162729,0.015347
unit.000033,Reducer-1,N/A,2328.679914,N/A,2328.77603388,N/A,N/A,1.056914,2.121366,0.010886
unit.000034,Mapper-2-1,N/A,2347.75952888,N/A,2347.78507185,3092.56909299,3092.58280897,0.008866,714.584296,0.018035
unit.000035,Mapper-2-2,N/A,2349.27385807,N/A,2349.29196787,3075.34403706,3075.355088,0.01116,709.614318,0.015921
unit.000036,Mapper-2-3,N/A,2346.96039701,N/A,2347.03940892,3429.76384807,3431.21563005,0.009756,1039.002829,0.013089
unit.000037,Mapper-2-4,N/A,2357.81706095,N/A,2357.958565,3453.47885799,3453.49077201,0.029002,1027.093044,0.01283
unit.000038,Mapper-2-5,N/A,2343.78425694,N/A,2346.01903701,3084.46864891,3084.48210406,0.009299,716.051547,0.017732
unit.000039,Mapper-2-6,N/A,2346.20811892,N/A,2346.22621608,3119.91305995,3119.92358589,0.008626,720.945499,0.01645
