Pilot Startuptime:35.03764081CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000000,Mapper-0-1,N/A,6.4584441185,N/A,6.64379119873,1080.29728007,1080.30983305,0.012465,1035.986427,0.017246
unit.000001,Mapper-0-2,N/A,6.60312318802,N/A,6.67788100243,1063.93495417,1063.94672418,0.012697,1029.097234,0.016353
unit.000002,Mapper-0-3,N/A,6.38800215721,N/A,6.42532896996,1176.49087119,1176.50410914,0.012618,1044.968468,0.013887
unit.000003,Mapper-0-4,N/A,6.47705817223,N/A,6.6475610733,1091.035882,1091.04986501,0.013228,1037.68056,0.016815
unit.000004,Mapper-0-5,N/A,6.52610516548,N/A,6.65899896622,1155.03480315,1155.04730797,0.011085,1044.463462,0.013227
unit.000005,Mapper-0-6,N/A,6.43266010284,N/A,6.59594011307,1123.6458261,1123.65847707,0.012448,1041.915748,0.014132
unit.000006,Mapper-0-7,N/A,6.51140117645,N/A,6.65522003174,1133.8366642,1133.84943199,0.012925,1043.718556,0.014793
unit.000007,Mapper-0-8,N/A,6.49675798416,N/A,6.6514570713,1098.17291903,1098.18531013,0.012441,1040.459492,0.013712
unit.000008,Mapper-0-9,N/A,6.5408270359,N/A,6.66276311874,1045.60281301,1045.61502814,0.012519,1018.774635,0.019942
unit.000009,Mapper-0-10,N/A,6.41030812263,N/A,6.53728914261,1028.25729203,1028.2692821,0.012508,993.340333,0.040484
unit.000010,Mapper-0-11,N/A,6.57370114326,N/A,6.67030119896,1036.43372202,1036.44632006,0.013152,1012.796609,0.014067
unit.000011,Mapper-0-12,N/A,6.55546116829,N/A,6.66653299332,1144.48873401,1144.85732913,0.013959,1043.83127,0.017054
unit.000012,Mapper-0-13,N/A,6.58464097977,N/A,6.6741039753,1108.37825108,1108.39170408,0.013332,1041.425929,0.014246
unit.000013,Mapper-0-14,N/A,6.61776304245,N/A,6.68167614937,1071.06380415,1071.12545919,0.012456,1032.855476,0.030339
unit.000014,Mapper-0-15,N/A,6.39552617073,N/A,6.48573803902,1165.25216699,1165.26572514,0.013456,1044.620083,0.013547
unit.000015,Mapper-0-16,N/A,6.44740605354,N/A,6.6400270462,1054.78215098,1054.79593015,0.01208,1027.083005,0.018755
unit.000016,Reducer-0,N/A,1182.93742704,N/A,1183.0334332,1192.75375819,1194.22390604,1.054799,2.112511,0.010891
unit.000017,Mapper-1-1,N/A,1207.18115807,N/A,1207.20853114,2202.69254208,2202.7045002,0.013952,979.116755,0.014101
unit.000018,Mapper-1-2,N/A,1201.83279014,N/A,1201.84767914,2250.706285,2250.71985102,0.008265,1028.512157,0.014838
unit.000019,Mapper-1-3,N/A,1206.39138818,N/A,1206.41135812,2145.29517412,2145.30569315,0.00947,893.086049,0.014061
unit.000020,Mapper-1-4,N/A,1204.5997541,N/A,1204.66760206,2110.51586008,2110.527812,0.008732,876.863988,0.014649
unit.000021,Mapper-1-5,N/A,1207.94640517,N/A,1207.97339201,2333.984056,2333.99692297,0.011199,1060.440907,0.014232
unit.000022,Mapper-1-6,N/A,1200.93387103,N/A,1200.99811912,2118.69952703,2118.71374798,0.010415,885.801009,0.016329
unit.000023,Mapper-1-7,N/A,1208.6915381,N/A,1208.7108562,2154.51136518,2154.52262616,0.010046,893.201942,0.013758
unit.000024,Mapper-1-8,N/A,1204.75613213,N/A,1204.78219414,2136.10915303,2136.1199162,0.008603,884.912166,0.016208
unit.000025,Mapper-1-9,N/A,1201.67871308,N/A,1201.69368315,2300.27174711,2300.28429198,0.008489,1041.272119,0.014082
unit.000026,Mapper-1-10,N/A,1206.40009999,N/A,1206.42625999,2127.92729616,2127.939502,0.009964,882.413627,0.014091
unit.000027,Mapper-1-11,N/A,1204.748312,N/A,1204.76733398,2100.67061901,2100.69090605,0.008961,876.339787,0.015029
unit.000028,Mapper-1-12,N/A,1204.65629315,N/A,1204.68249297,2238.45686698,2238.47147107,0.008266,1003.646774,0.014508
unit.000029,Mapper-1-13,N/A,1207.93787718,N/A,1207.95834303,2316.59801912,2316.67442012,0.01489,1037.727181,0.01583
