Pilot Startuptime:32.8333208561CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000000,Mapper-0-1,N/A,97.1010730267,N/A,97.133136034,305.026622057,305.038630009,0.026954,173.289159,0.002351
unit.000001,Mapper-0-2,N/A,101.593338013,N/A,101.615051985,308.956730127,308.975174189,0.061042,171.067723,0.002191
unit.000002,Mapper-0-3,N/A,5.58159518242,N/A,6.08655595779,99.949999094,101.193638086,0.093088,85.31921,0.003233
unit.000003,Mapper-0-4,N/A,107.503321171,N/A,107.530033112,301.139928102,301.930651188,0.066672,156.539956,0.002275
unit.000004,Mapper-0-5,N/A,109.367727041,N/A,109.407443047,306.065232992,306.900827169,0.032449,159.345832,0.0024
unit.000005,Mapper-0-6,N/A,112.388206005,N/A,112.409444094,306.909716129,306.92218709,0.021541,159.411089,0.003436
unit.000006,Mapper-0-7,N/A,115.420186043,N/A,115.448194027,302.960675955,302.971976995,0.037429,154.745744,0.002038
unit.000007,Mapper-0-8,N/A,117.887755156,N/A,117.907443047,301.946647167,301.959309101,0.023383,152.223693,0.001954
unit.000008,Mapper-0-9,N/A,120.73865819,N/A,120.767965078,177.786355019,179.044196129,0.046769,53.058387,0.00213
unit.000009,Mapper-0-10,N/A,122.807866096,N/A,122.847681999,316.450822115,316.462191105,0.032346,149.612321,0.002509
unit.000010,Mapper-0-11,N/A,125.832957029,N/A,125.859634161,181.278516054,181.535000086,0.047909,51.914548,0.002182
unit.000011,Mapper-0-12,N/A,116.328440189,N/A,116.357583046,298.060925961,298.073251009,0.077155,150.713564,0.003353
unit.000012,Mapper-0-13,N/A,5.96718215942,N/A,6.25264501572,219.731271029,219.744104147,0.043126,200.689543,0.002842
unit.000013,Mapper-0-14,N/A,41.6779119968,N/A,41.7052791119,255.508774996,255.520261049,0.02268,207.589326,0.002048
unit.000014,Mapper-0-15,N/A,49.7647650242,N/A,49.8384180069,253.461039066,253.471661091,0.035024,193.252791,0.002325
unit.000015,Mapper-0-16,N/A,53.2375769615,N/A,53.2619450092,258.608862162,258.620026112,0.063102,196.141553,0.002538
unit.000016,Mapper-0-17,N/A,36.106867075,N/A,36.1354470253,222.815994024,222.829118967,0.089764,177.676055,0.002976
unit.000017,Mapper-0-18,N/A,58.1272761822,N/A,58.2012031078,246.291666031,246.302944183,0.022471,182.214909,0.002374
unit.000018,Mapper-0-19,N/A,60.8969841003,N/A,60.9355390072,284.332331181,284.344202995,0.035264,198.078681,0.00254
unit.000019,Mapper-0-20,N/A,63.106978178,N/A,63.1294870377,270.939722061,270.965147018,0.041408,191.641974,0.002423
unit.000020,Mapper-0-21,N/A,106.094737053,N/A,106.123886108,292.77255702,292.784273148,0.021536,159.324577,0.002162
unit.000021,Mapper-0-22,N/A,69.1844410896,N/A,69.2101690769,287.452114105,287.463530064,0.02397,195.192241,0.002606
unit.000022,Mapper-0-23,N/A,71.496958971,N/A,71.52475214,269.893939018,269.914585114,0.021795,183.402228,0.002765
unit.000023,Mapper-0-24,N/A,74.7164039612,N/A,74.7359051704,295.994801998,296.007793188,0.031708,187.861076,0.003515
unit.000024,Mapper-0-25,N/A,77.327753067,N/A,77.3481981754,137.925553083,137.938382149,0.028785,57.696683,0.003074
unit.000025,Mapper-0-26,N/A,79.8356480598,N/A,79.8567249775,275.077991009,275.090084076,0.02266,176.733802,0.002761
unit.000026,Mapper-0-27,N/A,83.3343760967,N/A,83.4018161297,287.43200016,287.443017006,0.044851,179.939032,0.002634
unit.000027,Mapper-0-28,N/A,85.6455211639,N/A,85.6653020382,270.919145107,270.931046963,0.022354,171.40183,0.002544
unit.000028,Mapper-0-29,N/A,87.2053141594,N/A,87.2225620747,300.127243042,300.140853167,0.021694,182.045951,0.00234
unit.000029,Mapper-0-30,N/A,89.968791008,N/A,89.9914791584,309.996279955,310.009641171,0.047009,177.632795,0.002312
unit.000030,Mapper-0-31,N/A,93.0400919914,N/A,93.0606131554,313.376471043,313.388053179,0.032529,180.427664,0.002179
unit.000031,Mapper-0-32,N/A,96.145938158,N/A,96.2172381878,285.365283966,285.377174139,0.049874,166.715742,0.002325
unit.000032,Mapper-0-33,N/A,101.525890112,N/A,101.597515106,305.027616978,305.039391994,0.023753,169.793917,0.002739
unit.000033,Mapper-0-34,N/A,103.201868057,N/A,103.237454176,289.655898094,289.667309999,0.022468,162.085206,0.002378
unit.000034,Mapper-0-35,N/A,106.599053144,N/A,106.643716097,298.040834188,298.051656961,0.047551,156.188974,0.00203
unit.000035,Mapper-0-36,N/A,108.259726048,N/A,108.294972181,167.541903019,167.553722143,0.034312,54.35769,0.002997
unit.000036,Mapper-0-37,N/A,110.955595016,N/A,111.022680998,307.923259974,307.935784101,0.040717,159.555916,0.002119
unit.000037,Mapper-0-38,N/A,113.248203993,N/A,113.271667004,312.34388113,312.355225086,0.058099,161.024116,0.002556
unit.000038,Mapper-0-39,N/A,117.133296013,N/A,117.157195091,302.979635,302.993431091,0.022691,153.053545,0.002325
unit.000039,Mapper-0-40,N/A,119.628363132,N/A,119.65636301,301.161992073,301.931041002,0.022994,150.168187,0.002128
unit.000040,Mapper-0-41,N/A,122.792042971,N/A,122.823543072,314.406715155,314.417745113,0.03115,147.305783,0.003526
unit.000041,Mapper-0-42,N/A,124.60520196,N/A,124.680443048,316.472912073,316.48461318,0.031277,150.018896,0.002426
unit.000042,Mapper-0-43,N/A,127.245234966,N/A,127.272885084,180.064702988,180.277431965,0.049558,48.546995,0.002384
unit.000043,Mapper-0-44,N/A,5.398416996,N/A,5.44314718246,135.486792088,135.890681982,0.087817,121.665084,0.005101
unit.000044,Mapper-0-45,N/A,5.42076802254,N/A,5.55961203575,144.278537989,144.291399002,0.10182,129.53892,0.002459
unit.000045,Mapper-0-46,N/A,5.4544301033,N/A,5.65956616402,76.3671741486,76.9805591106,0.0905,63.13345,0.002453
unit.000046,Mapper-0-47,N/A,5.49916315079,N/A,5.83011603355,135.48440218,135.889873981,0.103548,121.572084,0.002938
unit.000047,Mapper-0-48,N/A,5.5510931015,N/A,5.97849416733,128.551037073,130.392512083,0.101131,114.222647,0.002589
unit.000048,Mapper-0-49,N/A,5.59633398056,N/A,6.13825201988,132.40692997,132.418365955,0.091809,116.697289,0.003534
unit.000049,Mapper-0-50,N/A,5.64438199997,N/A,6.17546606064,212.558758974,212.571077108,0.03878,195.772307,0.002471
unit.000050,Mapper-0-51,N/A,5.71138906479,N/A,6.19099998474,168.555845022,168.567727089,0.037896,149.781116,0.002414
unit.000051,Mapper-0-52,N/A,5.75945496559,N/A,6.20240998268,158.373703957,158.386940002,0.038831,141.760863,0.002985
unit.000052,Mapper-0-53,N/A,5.81886506081,N/A,6.21757912636,191.632445097,191.644505978,0.03857,173.67974,0.002871
unit.000053,Mapper-0-54,N/A,5.85575413704,N/A,6.22516202927,210.510810137,210.524223089,0.038701,192.537209,0.002928
unit.000054,Mapper-0-55,N/A,5.91867303848,N/A,6.24097704887,198.116281986,198.12747097,0.037704,181.316232,0.002947
