BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, ProcessingDelay, NumberRecords, Scenario,Application,Centers
1513215540000 ms, 2017-12-13T19:39:02, 4, 3001, 2997, 0,19P-1B-8C,kmeans,10
1513215600000 ms, 2017-12-13T19:40:08, 1, 21970, 21969, 8126,19P-1B-8C,kmeans,10
1513215660000 ms, 2017-12-13T19:41:21, 0, 73424, 73424, 34340,19P-1B-8C,kmeans,10
1513215720000 ms, 2017-12-13T19:42:33, 1612, 68541, 66929, 32978,19P-1B-8C,kmeans,10
1513215780000 ms, 2017-12-13T19:43:29, 12729, 76024, 63295, 33745,19P-1B-8C,kmeans,10
1513215840000 ms, 2017-12-13T19:44:33, 11367, 69312, 57945, 33176,19P-1B-8C,kmeans,10
1513215900000 ms, 2017-12-13T19:45:26, 16391, 63451, 47060, 29653,19P-1B-8C,kmeans,10
1513215960000 ms, 2017-12-13T19:46:09, 20758, 40893, 20135, 11076,19P-1B-8C,kmeans,10
1513216020000 ms, 2017-12-13T19:47:04, 0, 12338, 12338, 6813,19P-1B-8C,kmeans,10
1513216080000 ms, 2017-12-13T19:48:00, 0, 1598, 1598, 93,19P-1B-8C,kmeans,10
1513216140000 ms, 2017-12-13T19:49:00, 2, 1673, 1671, 0,19P-1B-8C,kmeans,10
1513216200000 ms, 2017-12-13T19:50:08, 0, 23287, 23287, 10019,19P-1B-8C,kmeans,10
1513216260000 ms, 2017-12-13T19:51:20, 1, 69535, 69534, 33109,19P-1B-8C,kmeans,10
1513216320000 ms, 2017-12-13T19:52:28, 1471, 59264, 57793, 32138,19P-1B-8C,kmeans,10
1513216380000 ms, 2017-12-13T19:53:33, 0, 58576, 58576, 32373,19P-1B-8C,kmeans,10
1513216440000 ms, 2017-12-13T19:54:37, 0, 61231, 61231, 32277,19P-1B-8C,kmeans,10
1513216500000 ms, 2017-12-13T19:55:28, 10540, 67903, 57363, 32576,19P-1B-8C,kmeans,10
1513216560000 ms, 2017-12-13T19:56:08, 28172, 51659, 23487, 13772,19P-1B-8C,kmeans,10
1513216620000 ms, 2017-12-13T19:57:02, 1, 6419, 6418, 3386,19P-1B-8C,kmeans,10
1513216680000 ms, 2017-12-13T19:58:00, 0, 1607, 1607, 350,19P-1B-8C,kmeans,10
1513216740000 ms, 2017-12-13T19:59:00, 0, 1628, 1628, 0,19P-1B-8C,kmeans,10
1513216800000 ms, 2017-12-13T20:00:05, 1, 14249, 14248, 5948,19P-1B-8C,kmeans,10
1513216860000 ms, 2017-12-13T20:01:20, 0, 67633, 67633, 33160,19P-1B-8C,kmeans,10
1513216920000 ms, 2017-12-13T20:02:28, 0, 56942, 56942, 31770,19P-1B-8C,kmeans,10
1513216980000 ms, 2017-12-13T20:03:30, 1, 59496, 59495, 32340,19P-1B-8C,kmeans,10
1513217040000 ms, 2017-12-13T20:04:34, 1, 64936, 64935, 32453,19P-1B-8C,kmeans,10
1513217100000 ms, 2017-12-13T20:05:28, 10742, 68262, 57520, 32584,19P-1B-8C,kmeans,10
1513217160000 ms, 2017-12-13T20:06:09, 27553, 56827, 29274, 15982,19P-1B-8C,kmeans,10
1513217220000 ms, 2017-12-13T20:07:04, 2122, 11212, 9090, 4833,19P-1B-8C,kmeans,10
1513217280000 ms, 2017-12-13T20:08:00, 0, 2923, 2923, 930,19P-1B-8C,kmeans,10
1513217340000 ms, 2017-12-13T20:09:00, 1, 1646, 1645, 0,19P-1B-8C,kmeans,10
1513217400000 ms, 2017-12-13T20:10:02, 0, 7493, 7493, 2973,19P-1B-8C,kmeans,10
1513217460000 ms, 2017-12-13T20:11:19, 1, 65926, 65925, 32167,19P-1B-8C,kmeans,10
1513217520000 ms, 2017-12-13T20:12:26, 1, 63386, 63385, 32477,19P-1B-8C,kmeans,10
1513217580000 ms, 2017-12-13T20:13:33, 0, 58006, 58006, 32193,19P-1B-8C,kmeans,10
1513217640000 ms, 2017-12-13T20:14:36, 0, 63711, 63711, 32441,19P-1B-8C,kmeans,10
1513217700000 ms, 2017-12-13T20:15:30, 9508, 94366, 84858, 32410,19P-1B-8C,kmeans,10
1513217760000 ms, 2017-12-13T20:16:50, 15138, 44928, 29790, 18331,19P-1B-8C,kmeans,10
1513217820000 ms, 2017-12-13T20:17:01, 33231, 38647, 5416, 2626,19P-1B-8C,kmeans,10
1513217880000 ms, 2017-12-13T20:18:02, 0, 7098, 7098, 3837,19P-1B-8C,kmeans,10
1513217940000 ms, 2017-12-13T20:19:00, 0, 1955, 1955, 550,19P-1B-8C,kmeans,10
1513218000000 ms, 2017-12-13T20:20:00, 1, 1601, 1600, 0,19P-1B-8C,kmeans,10
1513218060000 ms, 2017-12-13T20:21:02, 1, 8178, 8177, 3136,19P-1B-8C,kmeans,10
1513218120000 ms, 2017-12-13T20:22:47, 0, 63240, 63240, 32310,19P-1B-8C,kmeans,10
1513218180000 ms, 2017-12-13T20:23:15, 35675, 109213, 73538, 14035,19P-1B-8C,kmeans,10
1513218240000 ms, 2017-12-13T20:25:02, 2016, 47231, 45215, 28913,19P-1B-8C,kmeans,10
1513218300000 ms, 2017-12-13T20:25:04, 45807, 49726, 3919, 1571,19P-1B-8C,kmeans,10
1513218360000 ms, 2017-12-13T20:26:00, 1, 1577, 1576, 0,19P-1B-8C,kmeans,10
1513218420000 ms, 2017-12-13T20:27:00, 1, 1606, 1605, 0,19P-1B-8C,kmeans,10
1513218480000 ms, 2017-12-13T20:28:00, 0, 1591, 1591, 0,19P-1B-8C,kmeans,10
1513218540000 ms, 2017-12-13T20:29:00, 0, 1582, 1582, 0,19P-1B-8C,kmeans,10
1513218600000 ms, 2017-12-13T20:30:00, 1, 1704, 1703, 0,19P-1B-8C,kmeans,10
1513218660000 ms, 2017-12-13T20:31:00, 0, 1597, 1597, 0,19P-1B-8C,kmeans,10
1513218720000 ms, 2017-12-13T20:32:00, 1, 1685, 1684, 0,19P-1B-8C,kmeans,10
1513218780000 ms, 2017-12-13T20:33:00, 1, 1787, 1786, 0,19P-1B-8C,kmeans,10
1513218840000 ms, 2017-12-13T20:34:00, 1, 1580, 1579, 0,19P-1B-8C,kmeans,10
1513218900000 ms, 2017-12-13T20:35:00, 0, 1607, 1607, 0,19P-1B-8C,kmeans,10
1513218960000 ms, 2017-12-13T20:36:00, 1, 1602, 1601, 0,19P-1B-8C,kmeans,10
1513219020000 ms, 2017-12-13T20:37:00, 1, 1589, 1588, 0,19P-1B-8C,kmeans,10
1513219080000 ms, 2017-12-13T20:38:00, 1, 1607, 1606, 0,19P-1B-8C,kmeans,10
1513219140000 ms, 2017-12-13T20:39:00, 1, 1719, 1718, 0,19P-1B-8C,kmeans,10
1513219200000 ms, 2017-12-13T20:40:00, 1, 1574, 1573, 0,19P-1B-8C,kmeans,10
1513219260000 ms, 2017-12-13T20:41:00, 1, 1583, 1582, 0,19P-1B-8C,kmeans,10
1513219320000 ms, 2017-12-13T20:42:00, 1, 1588, 1587, 0,19P-1B-8C,kmeans,10
1513219380000 ms, 2017-12-13T20:43:00, 1, 1591, 1590, 0,19P-1B-8C,kmeans,10
1513219440000 ms, 2017-12-13T20:44:00, 1, 1603, 1602, 0,19P-1B-8C,kmeans,10
1513219500000 ms, 2017-12-13T20:45:00, 1, 1590, 1589, 0,19P-1B-8C,kmeans,10
1513219560000 ms, 2017-12-13T20:46:00, 1, 1579, 1578, 0,19P-1B-8C,kmeans,10
1513219620000 ms, 2017-12-13T20:47:00, 1, 1595, 1594, 0,19P-1B-8C,kmeans,10
1513219680000 ms, 2017-12-13T20:48:00, 1, 1595, 1594, 0,19P-1B-8C,kmeans,10
1513219740000 ms, 2017-12-13T20:49:00, 1, 1574, 1573, 0,19P-1B-8C,kmeans,10
1513219800000 ms, 2017-12-13T20:50:00, 1, 1629, 1628, 0,19P-1B-8C,kmeans,10
1513219860000 ms, 2017-12-13T20:51:00, 1, 1577, 1576, 0,19P-1B-8C,kmeans,10
1513219920000 ms, 2017-12-13T20:52:00, 1, 1585, 1584, 0,19P-1B-8C,kmeans,10
1513219980000 ms, 2017-12-13T20:53:00, 1, 1587, 1586, 0,19P-1B-8C,kmeans,10
1513220040000 ms, 2017-12-13T20:54:00, 0, 1593, 1593, 0,19P-1B-8C,kmeans,10
1513220100000 ms, 2017-12-13T20:55:00, 1, 1616, 1615, 0,19P-1B-8C,kmeans,10
1513220160000 ms, 2017-12-13T20:56:00, 0, 1584, 1584, 0,19P-1B-8C,kmeans,10
1513220220000 ms, 2017-12-13T20:57:00, 0, 1572, 1572, 0,19P-1B-8C,kmeans,10
1513220280000 ms, 2017-12-13T20:58:00, 1, 1585, 1584, 0,19P-1B-8C,kmeans,10
1513220340000 ms, 2017-12-13T20:59:00, 1, 1586, 1585, 0,19P-1B-8C,kmeans,10
1513220400000 ms, 2017-12-13T21:00:00, 1, 1585, 1584, 0,19P-1B-8C,kmeans,10
1513220460000 ms, 2017-12-13T21:01:00, 1, 1583, 1582, 0,19P-1B-8C,kmeans,10
1513220520000 ms, 2017-12-13T21:02:00, 0, 1598, 1598, 0,19P-1B-8C,kmeans,10
1513220580000 ms, 2017-12-13T21:03:00, 0, 1574, 1574, 0,19P-1B-8C,kmeans,10
1513220640000 ms, 2017-12-13T21:04:00, 1, 1597, 1596, 0,19P-1B-8C,kmeans,10
1513220700000 ms, 2017-12-13T21:05:00, 1, 1578, 1577, 0,19P-1B-8C,kmeans,10
