BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, ProcessingDelay, NumberRecords, Scenario,Application,Centers
1512938220000 ms, 2017-12-10T14:37:03, 4, 5323, 5319, 499,12P-1B-4C,kmeans,10
1512938280000 ms, 2017-12-10T14:38:25, 0, 88637, 88637, 24324,12P-1B-4C,kmeans,10
1512938340000 ms, 2017-12-10T14:39:34, 18874, 96173, 77299, 22922,12P-1B-4C,kmeans,10
1512938400000 ms, 2017-12-10T14:40:49, 21919, 82295, 60376, 21214,12P-1B-4C,kmeans,10
1512938460000 ms, 2017-12-10T14:41:05, 65723, 74978, 9255, 2924,12P-1B-4C,kmeans,10
1512938520000 ms, 2017-12-10T14:42:01, 19223, 20822, 1599, 117,12P-1B-4C,kmeans,10
1512938580000 ms, 2017-12-10T14:43:00, 0, 1555, 1555, 0,12P-1B-4C,kmeans,10
1512938640000 ms, 2017-12-10T14:44:12, 0, 38074, 38074, 12207,12P-1B-4C,kmeans,10
1512938700000 ms, 2017-12-10T14:45:21, 1, 79966, 79965, 23784,12P-1B-4C,kmeans,10
1512938760000 ms, 2017-12-10T14:46:46, 0, 53811, 53811, 23095,12P-1B-4C,kmeans,10
1512938820000 ms, 2017-12-10T14:47:31, 8798, 48623, 39825, 12755,12P-1B-4C,kmeans,10
1512938880000 ms, 2017-12-10T14:48:00, 19930, 21810, 1880, 159,12P-1B-4C,kmeans,10
1512938940000 ms, 2017-12-10T14:49:00, 0, 1668, 1668, 0,12P-1B-4C,kmeans,10
