BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, ProcessingDelay, NumberRecords, Scenario
1512930540000 ms, 2017-12-10T12:29:01, 5, 2227, 2222, 0,3P-1B-1C
1512930600000 ms, 2017-12-10T12:30:00, 1, 1412, 1411, 0,3P-1B-1C
1512930660000 ms, 2017-12-10T12:31:00, 0, 1373, 1373, 0,3P-1B-1C
1512930720000 ms, 2017-12-10T12:32:00, 1, 1331, 1330, 0,3P-1B-1C
1512930780000 ms, 2017-12-10T12:33:00, 0, 1553, 1553, 0,3P-1B-1C
1512930840000 ms, 2017-12-10T12:34:00, 0, 1342, 1342, 0,3P-1B-1C
1512930900000 ms, 2017-12-10T12:35:17, 1, 63860, 63859, 5213,3P-1B-1C
1512930960000 ms, 2017-12-10T12:36:27, 1, 59353, 59352, 5112,3P-1B-1C
1512931020000 ms, 2017-12-10T12:37:35, 0, 59420, 59420, 5221,3P-1B-1C
1512931080000 ms, 2017-12-10T12:38:11, 23213, 48660, 25447, 2454,3P-1B-1C
1512931140000 ms, 2017-12-10T12:39:00, 277, 1571, 1294, 0,3P-1B-1C
1512931200000 ms, 2017-12-10T12:40:03, 1, 11787, 11786, 1052,3P-1B-1C
1512931260000 ms, 2017-12-10T12:41:18, 0, 63177, 63177, 5530,3P-1B-1C
1512931320000 ms, 2017-12-10T12:42:31, 0, 62634, 62634, 5440,3P-1B-1C
1512931380000 ms, 2017-12-10T12:43:44, 0, 55251, 55251, 5307,3P-1B-1C
1512931440000 ms, 2017-12-10T12:44:10, 29287, 37010, 7723, 671,3P-1B-1C
1512931500000 ms, 2017-12-10T12:45:00, 0, 1282, 1282, 0,3P-1B-1C
1512931560000 ms, 2017-12-10T12:46:06, 0, 20346, 20346, 1900,3P-1B-1C
1512931620000 ms, 2017-12-10T12:47:17, 1, 62731, 62730, 5416,3P-1B-1C
1512931680000 ms, 2017-12-10T12:48:27, 1, 57308, 57307, 5061,3P-1B-1C
1512931740000 ms, 2017-12-10T12:49:32, 1, 47167, 47166, 4442,3P-1B-1C
1512931800000 ms, 2017-12-10T12:50:20, 1, 12419, 12418, 1181,3P-1B-1C
1512931860000 ms, 2017-12-10T12:51:00, 0, 1291, 1291, 0,3P-1B-1C
1512931920000 ms, 2017-12-10T12:52:00, 1, 1301, 1300, 0,3P-1B-1C
1512931980000 ms, 2017-12-10T12:53:00, 1, 1288, 1287, 0,3P-1B-1C
1512932040000 ms, 2017-12-10T12:54:00, 1, 1286, 1285, 0,3P-1B-1C
1512932100000 ms, 2017-12-10T12:55:00, 1, 1284, 1283, 0,3P-1B-1C
