Produce_batch,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec,TimeStamp
0,5000,0,5000,0.0,0.0,20171107-234146
5000,10000,1,5000,312.0,3754.91837514,20171107-234146
0,5000,2,5000,622.0,2681.06900046,20171107-234146
5000,10000,3,5000,933.0,2987.0129242,20171107-234146
10000,15000,4,5000,1243.0,3448.54218669,20171107-234146
15000,20000,5,5000,1555.0,3807.89453496,20171107-234146
20000,25000,6,5000,1870.0,3829.03083885,20171107-234146
25000,30000,7,5000,2183.0,4289.77758871,20171107-234146
30000,35000,8,5000,2496.0,4687.05087981,20171107-234146
35000,40000,9,5000,2807.0,5019.45437585,20171107-234146
40000,45000,10,5000,3119.0,5351.27155812,20171107-234146
45000,50000,11,5000,3431.0,5439.09812003,20171107-234146
50000,55000,12,5000,3742.0,5753.62997927,20171107-234146
55000,60000,13,5000,4051.0,6010.61728877,20171107-234146
60000,65000,14,5000,4360.0,6176.31865423,20171107-234146
65000,70000,15,5000,4666.0,6397.94908088,20171107-234146
70000,75000,16,5000,4975.0,6606.0186752,20171107-234146
75000,80000,17,5000,5280.0,6800.33762903,20171107-234146
80000,85000,18,5000,5590.0,6918.3507845,20171107-234146
85000,90000,19,5000,5901.0,7025.62686377,20171107-234146
90000,95000,20,5000,6216.0,7200.01879664,20171107-234147
95000,100000,21,5000,6524.0,7288.87885156,20171107-234147
0,5000,22,5000,6829.0,6287.1482585,20171107-234147
5000,10000,23,5000,7142.0,5868.67859613,20171107-234147
10000,15000,24,5000,7456.0,5532.26470893,20171107-234147
15000,20000,25,5000,7765.0,5435.08624291,20171107-234147
20000,25000,26,5000,8073.0,5463.75586718,20171107-234147
25000,30000,27,5000,8385.0,5489.20350667,20171107-234147
30000,35000,28,5000,8696.0,5486.21320797,20171107-234147
35000,40000,29,5000,9008.0,5514.14383104,20171107-234147
40000,45000,30,5000,9321.0,5541.81454966,20171107-234147
45000,50000,31,5000,9622.0,5461.64522902,20171107-234147
50000,55000,32,5000,9922.0,5389.31265456,20171107-234147
55000,60000,33,5000,10229.0,5414.09089901,20171107-234148
60000,65000,34,5000,10536.0,5348.67639779,20171107-234148
65000,70000,35,5000,10850.0,5291.92357234,20171107-234148
70000,75000,36,5000,11164.0,5319.07247333,20171107-234148
75000,80000,37,5000,11476.0,5344.93312858,20171107-234148
80000,85000,38,5000,11787.0,5438.09693001,20171107-234148
85000,90000,39,5000,12100.0,5500.75756016,20171107-234148
90000,95000,40,5000,12413.0,5561.27271964,20171107-234148
95000,100000,41,5000,12724.0,5621.60137307,20171107-234148
100000,105000,42,5000,13036.0,5700.49968108,20171107-234148
105000,110000,43,5000,13347.0,5756.21234987,20171107-234148
110000,115000,44,5000,13658.0,5810.21626582,20171107-234148
115000,120000,45,5000,13972.0,5863.85439528,20171107-234148
120000,125000,46,5000,14287.0,5936.44989723,20171107-234148
125000,130000,47,5000,14589.0,5984.65593034,20171107-234148
130000,135000,48,5000,14891.0,6030.1389118,20171107-234148
135000,140000,49,5000,15210.0,6081.37507786,20171107-234148
140000,145000,50,5000,15529.0,6150.98565269,20171107-234148
145000,150000,51,5000,15832.0,6192.99435261,20171107-234148
150000,155000,52,5000,16135.0,6233.87198395,20171107-234148
155000,160000,53,5000,16444.0,6277.44493683,20171107-234148
160000,165000,54,5000,16754.0,6338.87402394,20171107-234148
165000,170000,55,5000,17069.0,6381.955145,20171107-234148
170000,175000,56,5000,17383.0,6451.07625302,20171107-234148
175000,180000,57,5000,17696.0,6491.47683085,20171107-234148
180000,185000,58,5000,18008.0,6559.25199595,20171107-234148
185000,190000,59,5000,18313.0,6613.58846242,20171107-234148
190000,195000,60,5000,18618.0,6648.16497351,20171107-234148
195000,200000,61,5000,18928.0,6682.19757373,20171107-234148
200000,205000,62,5000,19239.0,6715.96566539,20171107-234149
205000,210000,63,5000,19552.0,6768.6721382,20171107-234149
210000,215000,64,5000,19865.0,6800.84363916,20171107-234149
215000,220000,65,5000,20180.0,6834.91801108,20171107-234149
220000,225000,66,5000,20495.0,6870.57910761,20171107-234149
225000,230000,67,5000,20802.0,6899.7450459,20171107-234149
230000,235000,68,5000,21109.0,6928.22517492,20171107-234149
235000,240000,69,5000,21408.0,6955.5044206,20171107-234149
240000,245000,70,5000,21707.0,6981.99427534,20171107-234149
245000,250000,71,5000,22020.0,7009.71813303,20171107-234149
250000,255000,72,5000,22333.0,7055.58009475,20171107-234149
255000,260000,73,5000,22652.0,7102.83283174,20171107-234149
260000,265000,74,5000,22971.0,7132.12984075,20171107-234149
265000,270000,75,5000,23296.0,7188.82316197,20171107-234149
270000,275000,76,5000,23621.0,7235.60416812,20171107-234149
275000,280000,77,5000,23936.0,7279.46412744,20171107-234149
280000,285000,78,5000,24250.0,7304.31353033,20171107-234149
285000,290000,79,5000,24549.0,7325.53602378,20171107-234149
290000,295000,80,5000,24848.0,7364.08084515,20171107-234149
295000,300000,81,5000,25155.0,7403.12142729,20171107-234149
300000,305000,82,5000,25461.0,7422.95195049,20171107-234149
305000,310000,83,5000,25776.0,7462.20027039,20171107-234149
310000,315000,84,5000,26092.0,7484.21215464,20171107-234149
315000,320000,85,5000,26400.0,7512.67963866,20171107-234149
320000,325000,86,5000,26708.0,7531.93676968,20171107-234149
325000,330000,87,5000,27021.0,7452.43823098,20171107-234149
330000,335000,88,5000,27335.0,7498.79326326,20171107-234149
335000,340000,89,5000,27641.0,7517.33083548,20171107-234149
340000,345000,90,5000,27947.0,7551.01028594,20171107-234149
345000,350000,91,5000,28253.0,7568.83653817,20171107-234149
350000,355000,92,5000,28558.0,7602.15763216,20171107-234149
355000,360000,93,5000,28854.0,7634.31281163,20171107-234149
360000,365000,94,5000,29149.0,7649.37486895,20171107-234149
365000,370000,95,5000,29466.0,7693.12074739,20171107-234149
370000,375000,96,5000,29782.0,7728.62848883,20171107-234149
375000,380000,97,5000,30102.0,7763.45752961,20171107-234150
380000,385000,98,5000,30422.0,7805.50004594,20171107-234150
385000,390000,99,5000,30723.0,7820.22528062,20171107-234150
390000,395000,100,5000,31024.0,7850.57961943,20171107-234150
395000,400000,101,5000,31337.0,7866.63280184,20171107-234150
400000,405000,102,5000,31649.0,7897.28644236,20171107-234150
405000,410000,103,5000,31969.0,7929.77493554,20171107-234150
410000,415000,104,5000,32290.0,7927.57982832,20171107-234150
415000,420000,105,5000,32589.0,7939.36732091,20171107-234150
420000,425000,106,5000,32888.0,7951.20928859,20171107-234150
425000,430000,107,5000,33197.0,7987.18443386,20171107-234150
430000,435000,108,5000,33507.0,8015.59333247,20171107-234150
