CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000000,Euclidean_dist_1,N/A,5.68558716774,5.68840408325,5.77912402153,395.952082157,390.824145079
unit.000001,Euclidean_dist_387,N/A,5.68846607208,5.69129705429,5.79175496101,340.570141077,337.601473093
unit.000002,Euclidean_dist_773,N/A,5.69147896767,5.6973669529,5.80530595779,359.368031979,354.950673103
unit.000003,Euclidean_dist_1159,N/A,5.70033812523,5.70478701591,5.83212304115,371.882188082,366.284914017
unit.000004,Euclidean_dist_1545,N/A,5.70800495148,5.71094918251,5.85733318329,328.745879173,325.38424015
unit.000005,Euclidean_dist_1931,N/A,5.71567416191,5.71826505661,5.88259911537,397.699104071,392.863641977
unit.000006,Euclidean_dist_2317,N/A,5.7182841301,5.72094917297,5.89601397514,343.95580101,338.634832144
unit.000007,Euclidean_dist_2703,N/A,5.72098398209,5.72359609604,5.90884304047,354.007306099,349.84285903
unit.000008,Euclidean_dist_3089,N/A,5.72359704971,5.7269961834,5.92157697678,361.574927092,357.052476168
unit.000009,Euclidean_dist_3475,N/A,5.73045396805,5.73312807083,5.94949603081,344.878443956,339.651076078
unit.000010,Euclidean_dist_3861,N/A,5.73563098907,5.7390229702,5.98108911514,345.757658958,341.685256958
unit.000011,Euclidean_dist_4247,N/A,5.74270009995,5.74533414841,6.00846409798,372.702965975,367.321655989
unit.000012,Euclidean_dist_4633,N/A,5.74537301064,5.74952316284,6.02373313904,338.491147041,334.553367138
unit.000013,Euclidean_dist_5019,N/A,5.74967598915,5.75242900848,6.0377869606,394.176608086,388.785331011
unit.000014,Euclidean_dist_5405,N/A,5.75251102448,5.7553331852,6.05184817314,378.799930096,374.454457045
unit.000015,Euclidean_dist_5791,N/A,5.75797104836,5.76183414459,6.07861614227,401.05241704,396.951483965
unit.000016,Euclidean_dist_6177,N/A,5.76470208168,5.76722097397,6.10613417625,373.565109015,368.33992815
unit.000017,Euclidean_dist_6563,N/A,5.7698340416,5.77289605141,6.1403529644,307.203257084,302.065026999
unit.000018,Euclidean_dist_6949,N/A,5.89193105698,5.89427614212,6.78020405769,375.789939165,371.38976717
unit.000019,Euclidean_dist_7335,N/A,5.89430499077,5.89672517776,6.79304003716,334.505412102,329.466123104
unit.000020,Euclidean_dist_7721,N/A,5.89681196213,5.90076208115,6.80599999428,401.927057028,396.959393024
unit.000021,Euclidean_dist_8107,N/A,5.90350413322,5.90583300591,6.83601498604,355.733863115,350.87464118
unit.000022,Euclidean_dist_8493,N/A,5.90647315979,5.90891695023,6.84915113449,382.732472181,378.546370029
unit.000023,Euclidean_dist_8879,N/A,5.90893912315,5.91143107414,6.86416697502,352.033202171,347.79879117
unit.000024,Euclidean_dist_9265,N/A,5.91144895554,5.91491007805,6.87806200981,335.441822052,330.485054016
unit.000025,Euclidean_dist_9651,N/A,5.91481399536,5.91733813286,6.89475417137,356.649790049,351.895491123
unit.000026,Euclidean_dist_10037,N/A,5.91734004021,5.91947007179,6.90840101242,387.134220123,382.648010969
unit.000027,Euclidean_dist_10423,N/A,5.9215669632,5.92380595207,6.93474912643,384.476948023,379.577445984
unit.000028,Euclidean_dist_10809,N/A,5.92382311821,5.92770314217,6.9479701519,376.691351175,372.412952185
unit.000029,Euclidean_dist_11195,N/A,5.92768597603,5.9304151535,6.96112108231,395.070204973,389.798851013
unit.000030,Euclidean_dist_11581,N/A,6.4319691658,6.43547797203,6.97557902336,368.99605298,364.241934061
unit.000031,Euclidean_dist_11967,N/A,7.35583806038,7.36203598976,7.36383295059,391.551014185,386.724935055
unit.000032,Euclidean_dist_12353,N/A,7.73266601562,7.73772001266,7.73944115639,377.513926983,373.433273077
unit.000033,Euclidean_dist_12739,N/A,8.82222008705,8.82720899582,8.82897305489,370.11739707,365.265748024
unit.000034,Euclidean_dist_13125,N/A,9.74499106407,9.75008106232,307.20994997,634.518274069,628.895084143
unit.000035,Euclidean_dist_13511,N/A,10.6651799679,10.6704909801,310.132766962,639.594103098,635.011967182
unit.000036,Euclidean_dist_13897,N/A,12.2266509533,12.2308030128,310.253997087,612.982645988,607.599852085
unit.000037,Euclidean_dist_14283,N/A,12.9408211708,12.9460241795,313.65289712,628.426506996,623.82932806
unit.000038,Euclidean_dist_14669,N/A,13.3164770603,13.3206419945,313.666223049,625.657232046,620.779898167
unit.000039,Euclidean_dist_15055,N/A,14.237609148,14.2412111759,325.131397963,637.67706418,633.982241154
unit.000040,Euclidean_dist_15441,N/A,15.3291599751,15.3341259956,328.763681173,627.171777964,622.807224989
unit.000041,Euclidean_dist_15827,N/A,15.7740590572,15.7791221142,328.816440105,647.312385082,642.128426075
unit.000042,Euclidean_dist_16213,N/A,16.1497499943,16.154706955,328.852575064,692.940551043,688.92299509
unit.000043,Euclidean_dist_16599,N/A,16.6951580048,16.6992759705,328.915018082,654.419162035,650.258049965
unit.000044,Euclidean_dist_16985,N/A,17.0726110935,17.0768470764,331.821228981,644.22274518,641.108251095
unit.000045,Euclidean_dist_17371,N/A,17.9926240444,17.9962091446,331.902815104,696.581905127,692.999643087
unit.000046,Euclidean_dist_17757,N/A,18.9192481041,18.9234490395,333.31578207,723.089729071,718.590368986
unit.000047,Euclidean_dist_18143,N/A,19.4649760723,19.6331150532,333.333464146,693.672341108,688.939919949
unit.000048,Euclidean_dist_18529,N/A,20.0107910633,20.0681350231,333.355278969,724.864091158,720.629095078
unit.000049,Euclidean_dist_18915,N/A,43.6477999687,43.652354002,348.435405016,708.678380966,704.280478001
