Framework,Scenario,Blocksize,TaskCount,Cores,Nodes,Resource,Type,Time
RP,131072,8192,256,24,1,Comet,time_to_completion,137.769671917
RP,131072,8192,256,24,1,Comet,stageInDelay,5.801807
RP,131072,8192,256,24,1,Comet,AvgScedulerDelay,14.7317289766
RP,131072,8192,256,24,1,Comet,time_to_completion,147.372238874
RP,131072,8192,256,24,1,Comet,stageInDelay,6.799639
RP,131072,8192,256,24,1,Comet,AvgScedulerDelay,9.3153203698
RP,131072,8192,256,24,1,Comet,time_to_completion,87.7322528362
RP,131072,8192,256,24,1,Comet,stageInDelay,5.97216
RP,131072,8192,256,24,1,Comet,AvgScedulerDelay,28.9420857849
RP,145746,8192,324,24,1,Comet,time_to_completion,224.040800095
RP,145746,8192,324,24,1,Comet,stageInDelay,5.858892
RP,145746,8192,324,24,1,Comet,AvgScedulerDelay,7.3473573011
RP,145746,8192,324,24,1,Comet,time_to_completion,239.430453062
RP,145746,8192,324,24,1,Comet,stageInDelay,5.654818
RP,145746,8192,324,24,1,Comet,AvgScedulerDelay,1.7806686796
RP,145746,8192,324,24,1,Comet,time_to_completion,256.191606998
RP,145746,8192,324,24,1,Comet,stageInDelay,5.648264
RP,145746,8192,324,24,1,Comet,AvgScedulerDelay,2.0947400162
RP,291492,8192,1296,24,1,Comet,time_to_completion,1097.36572886
RP,291492,8192,1296,24,1,Comet,stageInDelay,5.711107
RP,291492,8192,1296,24,1,Comet,AvgScedulerDelay,0.2608830405
RP,291492,8192,1296,24,1,Comet,time_to_completion,593.836668015
RP,291492,8192,1296,24,1,Comet,stageInDelay,6.54664
RP,291492,8192,1296,24,1,Comet,AvgScedulerDelay,259.168486746
RP,291492,8192,1296,24,1,Comet,time_to_completion,1071.99048901
RP,291492,8192,1296,24,1,Comet,stageInDelay,5.659765
RP,291492,8192,1296,24,1,Comet,AvgScedulerDelay,0.772065989
RP,839500,8192,10609,24,1,Comet,time_to_completion,5250.91585207
RP,839500,8192,10609,24,1,Comet,stageInDelay,5.801434
RP,839500,8192,10609,24,1,Comet,AvgScedulerDelay,0.0196538041
RP,839500,8192,10609,24,1,Comet,time_to_completion,4407.65893698
RP,839500,8192,10609,24,1,Comet,stageInDelay,6.838765
RP,839500,8192,10609,24,1,Comet,AvgScedulerDelay,11.1394307074
RP,839500,8192,10609,24,1,Comet,time_to_completion,5179.22657013
RP,839500,8192,10609,24,1,Comet,stageInDelay,5.940122
RP,839500,8192,10609,24,1,Comet,AvgScedulerDelay,0.0902393677
