CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000075,Euclidean_dist_16385_442369,236.001252174,236.010287046,236.019824982,240.322079182,241.68308115
unit.000076,Euclidean_dist_16385_458753,43.9639790058,43.9669280052,43.975454092,48.1406509876,49.9090490341
unit.000077,Euclidean_dist_16385_475137,251.470908165,251.474626064,251.476504087,255.616551161,256.347969055
unit.000078,Euclidean_dist_16385_491521,47.5536701679,47.5574150085,47.5593180656,51.6579711437,52.2260119915
unit.000079,Euclidean_dist_16385_507905,265.396646976,265.39935112,265.408583164,269.707849026,270.30904007
unit.000080,Euclidean_dist_32769_1,51.9990570545,52.0031740665,52.005161047,56.0880990028,57.1743249893
unit.000081,Euclidean_dist_32769_16385,55.702548027,55.7058181763,55.7076091766,59.8106620312,61.504543066
unit.000082,Euclidean_dist_32769_32769,305.157122135,305.1606071,305.169037104,309.276810169,309.004364967
unit.000083,Euclidean_dist_32769_49153,56.3400630951,56.3434720039,56.3453769684,60.5114841461,62.5854611397
unit.000084,Euclidean_dist_32769_65537,310.425285101,310.429169178,310.431272984,314.607262135,315.537141085
unit.000085,Euclidean_dist_32769_81921,59.3145301342,59.3184101582,59.3202900887,63.4300529957,63.8258650303
unit.000086,Euclidean_dist_32769_98305,60.063639164,60.0663030148,60.0755600929,64.2387661934,64.9386429787
unit.000087,Euclidean_dist_32769_114689,335.308714151,335.312095165,335.314047098,339.87529397,340.299113035
unit.000088,Euclidean_dist_32769_131073,63.0373470783,63.0399479866,63.0490310192,67.1581251621,68.2551701069
unit.000089,Euclidean_dist_32769_147457,352.210282087,352.213204145,352.222520113,356.785659075,356.965490103
unit.000090,Euclidean_dist_32769_163841,66.6051211357,66.6081800461,66.6167120934,70.7822229862,71.6046001911
unit.000091,Euclidean_dist_32769_180225,68.083837986,68.08745718,68.0894670486,72.4884440899,73.7585961819
unit.000092,Euclidean_dist_32769_196609,69.5629541874,69.5664050579,69.5684051514,73.6966991425,74.8896090984
unit.000093,Euclidean_dist_32769_212993,70.3069581985,70.3095560074,70.3184030056,74.5056891441,75.9726161957
unit.000094,Euclidean_dist_32769_229377,22.1069991589,22.1098639965,22.1189131737,26.3021190166,27.6587531567
unit.000095,Euclidean_dist_32769_245761,280.062594175,280.065335035,280.074141979,284.207566023,285.78192997
unit.000096,Euclidean_dist_32769_262145,74.6119811535,74.6146111488,74.6233620644,78.8342840672,80.3914079666
unit.000097,Euclidean_dist_32769_278529,76.8824579716,76.8851940632,76.8937830925,81.0507080555,81.6783530712
unit.000098,Euclidean_dist_32769_294913,78.3626949787,78.3655230999,78.3753631115,82.559087038,83.5797200203
unit.000099,Euclidean_dist_32769_311297,68.8230011463,68.8263661861,68.8282780647,72.9921090603,73.8098599911
unit.000100,Euclidean_dist_32769_327681,77.6190781593,77.6227090359,77.6247181892,81.7532069683,82.4996261597
unit.000101,Euclidean_dist_32769_344065,85.6308710575,85.6335961819,85.6430330276,89.8032050133,91.1950421333
unit.000102,Euclidean_dist_32769_360449,94.2725081444,94.2761120796,94.2779641151,98.4548761845,99.0481071472
unit.000103,Euclidean_dist_32769_376833,85.6275491714,85.631152153,85.6330220699,89.7990620136,91.1942381859
unit.000104,Euclidean_dist_32769_393217,86.2720000744,86.2747550011,86.2836470604,90.4071791172,91.2467901707
unit.000105,Euclidean_dist_32769_409601,88.4971351624,88.5004320145,88.5023009777,92.6179430485,93.4584450722
unit.000106,Euclidean_dist_32769_425985,89.2368459702,89.2407281399,89.2426011562,93.4228620529,94.5384020805
unit.000107,Euclidean_dist_32769_442369,90.7202460766,90.7231421471,90.7316091061,94.8364210129,95.7077701092
unit.000108,Euclidean_dist_32769_458753,92.2006881237,92.203371048,92.2123560905,96.3449261189,97.9108490944
unit.000109,Euclidean_dist_32769_475137,93.5351800919,93.53789711,93.5463199615,97.6499559879,99.041998148
unit.000110,Euclidean_dist_32769_491521,95.0154511929,95.0181901455,95.0277001858,99.1634521484,100.172100067
unit.000111,Euclidean_dist_32769_507905,101.743340969,101.746744156,101.748636007,140.535642147,141.477147102
unit.000112,Euclidean_dist_49153_1,102.491320133,102.493919134,102.502341032,106.712684155,107.983739138
unit.000113,Euclidean_dist_49153_16385,348.469474077,348.47214818,348.480774164,352.558936119,353.619135141
unit.000114,Euclidean_dist_49153_32769,103.236258984,103.238839149,103.247081995,107.420484066,108.036803007
unit.000115,Euclidean_dist_49153_49153,373.433192968,373.435996056,373.444990158,377.723742962,378.212574005
unit.000116,Euclidean_dist_49153_65537,106.842795134,106.84653616,106.848536015,142.852954149,143.741755009
unit.000117,Euclidean_dist_49153_81921,107.58495307,107.587687016,107.597390175,111.748152018,113.489151001
unit.000118,Euclidean_dist_49153_98305,248.484793186,248.488295078,248.490357161,252.898929119,254.080862045
unit.000119,Euclidean_dist_49153_114689,253.707323074,253.709993124,253.719385147,257.835330963,258.565270185
unit.000120,Euclidean_dist_49153_131073,111.298205137,111.301047087,111.310220003,115.474066973,115.844933033
