CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000016,Euclidean_dist_1_1,323.659240961,323.662004948,323.670250893,327.797908068,328.512099981
unit.000017,Euclidean_dist_1_16385,222.588341951,222.590967894,222.599360943,226.775243044,226.917881012
unit.000018,Euclidean_dist_1_32769,232.910132885,232.91365695,232.915462017,236.932724953,236.929518938
unit.000019,Euclidean_dist_1_49153,159.522639036,159.526331902,159.528230906,163.674701929,164.027242899
unit.000020,Euclidean_dist_1_65537,161.161277056,161.16413188,161.172421932,165.183784008,166.34144187
unit.000021,Euclidean_dist_1_81921,162.646587849,162.649879932,162.651635885,166.893687963,167.526499987
unit.000022,Euclidean_dist_1_98305,164.135447979,164.13915801,164.141085863,168.202525854,168.760844946
unit.000023,Euclidean_dist_1_114689,165.475039005,165.477832079,165.485111952,169.514987946,171.079321861
unit.000024,Euclidean_dist_1_131073,167.909712076,167.912687063,167.921231031,172.029617071,173.30141902
unit.000025,Euclidean_dist_1_147457,169.39554286,169.39902997,169.400984049,173.536285877,174.536581039
unit.000026,Euclidean_dist_1_163841,172.199136972,172.202913046,172.204662085,176.554723024,176.581649065
unit.000027,Euclidean_dist_1_180225,172.944885969,172.947692871,172.956372976,177.160354853,177.765004873
unit.000028,Euclidean_dist_1_196609,175.175550938,175.178534031,175.187869072,179.179171085,180.028773069
unit.000029,Euclidean_dist_1_212993,177.450474024,177.454314947,177.456302881,181.490000963,182.240675926
unit.000030,Euclidean_dist_1_229377,179.676105022,179.679350853,179.681110859,183.603384972,184.409231901
unit.000031,Euclidean_dist_1_245761,180.422224045,180.424839973,180.433290005,184.715053082,185.53153491
unit.000032,Euclidean_dist_1_262145,181.901249886,181.904922009,181.906844854,185.918880939,186.662358046
unit.000033,Euclidean_dist_1_278529,183.975527048,183.979181051,183.981114864,188.233111858,189.860220909
unit.000034,Euclidean_dist_1_294913,227.702359915,227.705997944,227.70787406,231.80120492,231.420683861
unit.000035,Euclidean_dist_1_311297,229.936177969,229.938869953,229.947882891,234.117790937,233.647706032
unit.000036,Euclidean_dist_1_327681,156.696474075,156.700099945,156.701844931,160.856513023,161.712528944
unit.000037,Euclidean_dist_1_344065,230.679461002,230.682034969,230.690881968,235.029206038,234.727017879
unit.000038,Euclidean_dist_1_360449,317.64219594,317.64474988,317.657302856,321.662728071,321.833724976
unit.000039,Euclidean_dist_1_376833,233.652642965,233.656169891,233.657932043,237.637460947,238.394585848
unit.000040,Euclidean_dist_1_393217,337.680269003,337.683582067,337.685702085,341.793861866,341.368767023
unit.000041,Euclidean_dist_1_409601,347.400368929,347.404767036,347.406754971,351.459944963,352.337579966
unit.000042,Euclidean_dist_1_425985,239.515124083,239.518938065,239.520824909,243.673821926,243.965731859
unit.000043,Euclidean_dist_1_442369,366.673502922,366.676303864,366.686514854,370.784528017,371.270231009
unit.000044,Euclidean_dist_1_458753,241.766843081,241.769638062,241.778037071,245.787563086,246.178349018
unit.000045,Euclidean_dist_1_475137,385.906549931,385.910017967,385.91188693,389.793956995,389.978158951
unit.000046,Euclidean_dist_1_491521,244.747750998,244.750519991,244.759870052,248.910702944,249.472818851
unit.000047,Euclidean_dist_1_507905,20.973749876,20.9767680168,20.9784748554,25.2949018478,26.0845730305
unit.000048,Euclidean_dist_16385_1,247.625697851,247.629051924,247.630879879,251.924690962,251.784045935
unit.000049,Euclidean_dist_16385_16385,34.3906059265,34.3933079243,34.402577877,38.6869409084,39.5099549294
unit.000050,Euclidean_dist_16385_32769,44.5310690403,44.5345909595,44.5363390446,48.643198967,49.4875679016
unit.000051,Euclidean_dist_16385_49153,51.9841430187,51.9871098995,51.9953968525,56.2917540073,56.2124269009
unit.000052,Euclidean_dist_16385_65537,62.3688070774,62.3722150326,62.3741838932,66.3582849503,67.3392279148
unit.000053,Euclidean_dist_16385_81921,70.4475998878,70.4512689114,70.453250885,74.6069729328,75.5967218876
unit.000054,Euclidean_dist_16385_98305,76.4353508949,76.4381408691,76.4472110271,80.5481820107,80.4889149666
unit.000055,Euclidean_dist_16385_114689,87.3262400627,87.3289189339,87.3375959396,91.6171369553,91.7404680252
unit.000056,Euclidean_dist_16385_131073,94.0078969002,94.0105278492,94.0199320316,98.2548339367,98.833605051
unit.000057,Euclidean_dist_16385_147457,102.806319952,102.80904007,102.817285061,107.014324903,107.676822901
unit.000058,Euclidean_dist_16385_163841,111.695584059,111.699150085,111.701117039,115.768142939,116.528416872
unit.000059,Euclidean_dist_16385_180225,119.741199017,119.744675875,119.746474981,123.921164989,124.449509859
unit.000060,Euclidean_dist_16385_196609,269.167973042,269.171426058,269.172942877,273.055099964,273.89181304
