CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000016,Euclidean_dist_1_1,48.4310171604,48.4336459637,68.637732029,72.6488029957,73.5305089951
unit.000017,Euclidean_dist_1_16385,23.7273659706,23.7308180332,23.7326021194,27.5908441544,28.0234241486
unit.000018,Euclidean_dist_1_32769,25.2114751339,25.2146031857,25.2247271538,1216.57428312,1217.70223713
unit.000019,Euclidean_dist_1_49153,24.4729299545,24.4771821499,24.485008955,1238.56033111,1239.64075708
unit.000020,Euclidean_dist_1_65537,26.7386720181,26.7420911789,26.7441921234,338.969599962,340.453724146
unit.000021,Euclidean_dist_1_81921,139.723642111,139.726287127,322.38776207,326.586478949,327.2160151
unit.000022,Euclidean_dist_1_98305,28.219835043,28.2230820656,28.2248411179,32.1217050552,32.2377460003
unit.000023,Euclidean_dist_1_114689,156.968408108,156.971039057,364.389463186,368.780044079,370.303181171
unit.000024,Euclidean_dist_1_131073,31.9163320065,31.9196929932,31.9216051102,35.8487830162,36.4001569748
unit.000025,Euclidean_dist_1_147457,33.3992600441,33.4024701118,33.4045960903,442.425800085,443.399260044
unit.000026,Euclidean_dist_1_163841,185.416481972,185.420462132,438.90039897,817.122665167,817.224819183
unit.000027,Euclidean_dist_1_180225,193.765516043,193.769273996,451.222264051,455.237648964,456.313779116
unit.000028,Euclidean_dist_1_196609,36.3644759655,36.3672540188,36.3759729862,40.2874259949,40.621737957
unit.000029,Euclidean_dist_1_212993,38.7316350937,38.7352089882,41.0041589737,44.8226351738,45.0088760853
unit.000030,Euclidean_dist_1_229377,220.057084084,220.060616016,521.842118979,526.045756102,526.878241062
unit.000031,Euclidean_dist_1_245761,228.219745159,228.222489119,546.703145981,550.929438114,552.227030039
unit.000032,Euclidean_dist_1_262145,237.929875135,237.933917999,571.310121059,575.425316095,576.693995953
unit.000033,Euclidean_dist_1_278529,43.9320759773,43.935434103,56.2293570042,60.4493060112,60.8804631233
unit.000034,Euclidean_dist_1_294913,259.714421988,259.71730113,633.344367981,637.360176086,639.39478302
unit.000035,Euclidean_dist_1_311297,49.9159631729,49.9194221497,72.6552519798,77.1533241272,77.7530510426
unit.000036,Euclidean_dist_1_327681,51.396435976,51.399805069,77.1736299992,81.3132841587,81.975785017
