TIMESTAMP        home1-RQ         home1-RD         home1-WR         work-RQ          work-RD          work-WR          scratch-RQ       scratch-RD       scratch-WR       
1481672831        185487           1213746850        0                64686             2564471418       503996370         237566           1139999312        34992194504      
1481672832        185487           1213746850        0                64734             2564475406       503998493         237567           1139999312        34992194504      
1481672834        185487           1213746850        0                64783             2564479394       504000616         237567           1139999312        34992194504      
1481672835        185487           1213746850        0                64832             2564483382       504002739         237567           1139999312        34992194504      
1481672836        185487           1213746850        0                64881             2564487370       504004859         237567           1139999312        34992194504      
1481672837        185487           1213746850        0                64930             2564491358       504006982         237569           1139999312        34992194504      
1481672838        185487           1213746850        0                64979             2564495350       504009104         237569           1139999312        34992194504      
1481672839        185487           1213746850        0                65028             2564499342       504011228         237569           1139999312        34992194504      
1481672840        185489           1213746850        0                65077             2564503334       504013350         237569           1139999312        34992194504      
1481672841        185489           1213746850        0                65126             2564507326       504015474         237569           1139999312        34992194504      
1481672843        185489           1213746850        0                65175             2564511318       504017598         237569           1139999312        34992194504      
1481672844        185489           1213746850        0                65224             2564515310       504019720         237569           1139999312        34992194504      
1481672845        185489           1213746850        0                65273             2564519302       504021842         237569           1139999312        34992194504      
1481672846        185489           1213746850        0                65322             2564523294       504023965         237569           1139999312        34992194504      
1481672847        185489           1213746850        0                65371             2564527286       504026088         237569           1139999312        34992194504      
1481672848        185489           1213746850        0                65420             2564531278       504028211         237569           1139999312        34992194504      
1481672849        185489           1213746850        0                65469             2564535270       504030333         237569           1139999312        34992194504      
1481672850        185491           1213746850        0                65518             2564539262       504032456         237569           1139999312        34992194504      
1481672851        185491           1213746850        0                65567             2564543254       504034577         237569           1139999312        34992194504      
1481672853        185491           1213746850        0                65616             2564547246       504036699         237569           1139999312        34992194504      
1481672854        185491           1213746850        0                65665             2564551238       504038821         237569           1139999312        34992194504      
1481672855        185491           1213746850        0                65714             2564555230       504040944         237569           1139999312        34992194504      
1481672856        185491           1213746850        0                65763             2564559222       504043066         237569           1139999312        34992194504      
1481672857        185491           1213746850        0                65812             2564563214       504045188         237569           1139999312        34992194504      
1481672859        185491           1213746850        0                65861             2564567206       504047309         237569           1139999312        34992194504      
1481672860        185491           1213746850        0                65910             2564571198       504049431         237569           1139999312        34992194504      
1481672861        185493           1213746850        0                65959             2564575190       504051552         237569           1139999312        34992194504      
1481672862        185497           1213746850        0                66008             2564579182       504053674         237569           1139999312        34992194504      
1481672863        185497           1213746850        0                66057             2564583174       504055797         237569           1139999312        34992194504      
1481672864        185515           1213763834        0                66175             2564662834       504076823         237569           1139999312        34992194504      
1481672865        185517           1213763834        0                66284             2564742522       504097855         237569           1139999312        34992194504      
1481672867        185517           1213763834        0                66446             2564831330       504118892         237624           1542652496        34992194504      
1481672868        185517           1213763834        0                66628             3416354878       504139913         237624           3080283472        34992194504      
1481672870        185517           1213763834        0                66734             3454183118       504160904         237624           3080283472        34992194504      
1481672873        185521           1213763834        0                66848             3454262622       504181906         237624           3080283472        34992194504      
1481672875        185521           1213763834        0                66954             3454342126       504202908         237624           3080283472        34992194504      
1481672878        185521           1213763834        0                67070             3454421634       504223911         237624           3080283472        34992194504      
1481672880        185521           1213763834        0                67176             3525804506       504244946         237624           3080283472        34992194504      
1481672881        185525           1213763834        0                67282             3660101926       504265961         237624           3080283472        34992194504      
1481672882        185525           1213763834        0                67396             3744067710       504286979         237624           3080283472        34992194504      
1481672883        185525           1213763834        0                67502             3857393622       504307997         237624           3080283472        34992194504      
1481672884        185525           1213763834        0                67608             4071382818       504329013         237628           3080283472        34992194504      
1481672886        185525           1213763834        0                67714             4302149230       504350030         237634           3080283472        34992194504      
1481672887        185525           1213763834        0                67832             4457418110       504371036         237636           3080283472        34992194504      
1481672888        185525           1213763834        0                67938             4633658498       504392046         237636           3080283472        34992194504      
1481672889        185525           1213763834        0                68044             4788927354       504413056         237636           3080283472        34992194504      
1481672890        185525           1213763834        0                68150             4881281626       504434064         237636           3080283472        34992194504      
1481672891        185529           1213763834        0                68266             4944275758       504455071         237636           3080283472        34992194504      
1481672892        185529           1213763834        0                68372             5007269878       504476078         237636           3080283472        34992194504      
1481672894        185529           1213763834        0                68482             5024126654       504497087         237636           3080283472        34992194504      
1481672895        185529           1213763834        0                68588             5061954950       504518096         237636           3080283472        34992194504      
1481672896        185529           1213763834        0                68694             5099783246       504539105         237636           3080283472        34992194504      
1481672898        185536           1213763834        0                68810             5146000126       504560108         237638           3080283472        34992194504      
1481672901        185540           1213763834        0                68917             5175439790       504581115         237638           3080283472        34992194504      
1481672903        185540           1213763834        0                69030             5183907926       504602123         237638           3080283472        34992194504      
1481672906        185540           1213763834        0                69144             5183987462       504623130         237638           3080283472        34992194504      
1481672909        185540           1213763834        0                69252             5184067002       504644141         237638           3080283472        34992194504      
