TIMESTAMP        home1-RQ         home1-RD         home1-WR         
1481672860 26279253 116419185335 974968294
1481672861 26279332 116432940215 974968699
1481672862 26279376 116456871701 974968699
1481672864 26279450 116480806525 974969103
1481672865 26279526 116504753273 974969507
1481672866 26279582 116528704975 974969507
1481672867 26279669 116573009885 974969912
1481672868 26279731 116596963207 974969912
1481672869 26279809 116620916529 974970317
1481672871 26279899 116644871471 974970722
1481672872 26279974 116665250421 974970722
1481672873 26280026 116689189999 974971126
1481672874 26280105 116713148177 974971126
1481672875 26280174 116737108034 974971530
1481672876 26280251 116757488600 974971530
1481672877 26280317 116781448394 974971935
1481672879 26280394 116805409808 974971935
1481672881 26280481 116829374560 974972339
1481672882 26280556 116849753406 974972339
1481672883 26280620 116873714757 974972743
1481672884 26280723 116897679403 974973147
1481672885 26280807 116919854434 974973147
1481672886 26280903 116945613543 974973955
1481672888 26281004 116965998959 974973955
1481672889 26281090 116989970132 974974359
1481672890 26281209 117013941242 974974763
1481672891 26281363 117037913968 974975168
1481672892 26281491 117037930952 974975168
1481672893 26281610 117061905298 974975573
1481672894 26281768 117085881264 974975977
1481672896 26281881 117109857167 974976381
1481672897 26281971 117133838044 974976381
1481672898 26282057 117157817242 974976381
1481672899 26282121 117181796440 974976381
1481672900 26282199 117205775638 974976381
1481672902 26282276 117229754836 974976381
1481672903 26282362 117253751018 974976785
1481672904 26282459 117277731832 974977189
1481672905 26282568 117301702737 974977593
1481672907 26282660 117325686783 974977997
1481672908 26282759 117349672445 974978401
1481672909 26282834 117373642739 974978805
1481672910 26282920 117397631633 974979209
1481672911 26283039 117421639127 974979613
1481672912 26283134 117445631253 974980017
1481672913 26283224 117469624995 974980421
1481672915 26283294 117493603369 974980825
1481672916 26283381 117517600343 974981229
1481672917 26283490 117541602271 974981633
1481672918 26283571 117565593680 974982037
1481672919 26283684 117589600961 974982441
1481672920 26283811 117613621383 974982845
1481672921 26283866 117634007595 974982845
1481672923 26283957 117654410791 974982845
1481672924 26284034 117678415845 974982845
1481672925 26284108 117702420899 974982845
1481672926 26284189 117726423832 974983249
1481672927 26284319 117726442937 974983249
1481672928 26284427 117750449607 974983654
1481672929 26284515 117774457897 974984059
1481672931 26284627 117798467807 974984464
1481672932 26284711 117818874241 974984464
1481672933 26284799 117842885771 974984869
1481672934 26284868 117866893462 974985274
1481672935 26285144 117866928096 974985274
1481672936 26285381 117867195552 974985274
1481672937 26285505 117893164596 975002531
1481672938 26289028 119417670165 975014246
1481672940 26289125 119417700795 975014246
1481672941 26289163 119417700795 975014246
1481672942 26289200 119417700795 975014246
1481672943 26289244 119417700795 975014246
1481672944 26289292 119417700795 975014246
1481672945 26289312 119417700795 975014246
1481672946 26289379 119417700795 975014246
1481672948 26289439 119417700795 975014246
1481672949 26289482 119417700795 975014246
1481672950 26289511 119417700795 975014246
1481672951 26289554 119417700795 975014246
1481672952 26289597 119417700795 975014246
1481672953 26289637 119417700795 975014246
1481672954 26289672 119417700795 975014246
1481672955 26289728 119417700795 975014246
1481672957 26289791 119417700795 975014246
1481672958 26289836 119417700795 975014246
1481672959 26289892 119417700795 975014246
1481672960 26289939 119417700795 975014246
1481672961 26289954 119417700795 975014246
1481672962 26290013 119417700795 975014246
1481672963 26290051 119417700795 975014246
1481672964 26290109 119417700795 975014246
1481672966 26290135 119417700795 975014246
1481672967 26290191 119417700795 975014246
