CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000070,-52.8814818859,15.3991410732,15.4206411839,21.3051171303,26.2758860588,31.0567820072
unit.000071,-52.8813099861,15.5308132172,15.5715000629,21.495663166,26.4708001614,30.0634360313
unit.000072,-52.8810498714,12.4767131805,12.5026731491,12.5051681995,19.8774511814,22.4491510391
unit.000073,-52.8807659149,15.042247057,15.0733652115,21.039960146,26.0525569916,29.2527830601
unit.000074,-52.8804898262,12.5892961025,12.6522400379,12.6549479961,19.9781470299,22.5764532089
unit.000075,-52.8802177906,16.0605962276,16.0938541889,25.1325101852,29.9027090073,30.9345591068
unit.000076,-52.8799448013,12.4182631969,12.4508731365,12.4535012245,19.9737272263,22.3899800777
unit.000077,-52.8796157837,12.756619215,12.7940750122,12.7968370914,19.9824090004,22.6418571472
unit.000078,-52.879431963,12.8834311962,12.9242939949,12.9274260998,20.2138152122,24.6880190372
unit.000079,-52.8792588711,12.9671881199,12.9990251064,13.002751112,20.2226080894,24.8107481003
unit.000080,-52.8790838718,12.9986591339,13.0373911858,13.0402500629,21.174298048,25.3049311638
unit.000081,-52.878898859,12.0863051414,12.1011240482,12.1030621529,19.3538820744,22.0190210342
unit.000082,-52.8787260056,14.3815112114,14.4100441933,20.2160902023,25.2203621864,27.7998070717
unit.000083,-52.8785529137,13.1999750137,13.2277522087,13.2303600311,20.26197505,25.1158270836
unit.000084,-52.8783829212,15.2312841415,15.2691991329,21.1956880093,26.2724750042,29.692715168
unit.000085,-52.878210783,13.3072571754,13.3344340324,13.3369860649,21.178686142,25.485574007
unit.000086,-52.878027916,12.1870830059,12.2144670486,12.2171142101,19.7769172192,21.772105217
unit.000087,-52.8778460026,12.529335022,12.5621330738,12.5647351742,20.2449162006,24.3193712234
unit.000088,-52.8776738644,12.9242010117,12.9658350945,12.9686660767,20.2546970844,24.7462620735
unit.000089,-52.8774938583,13.2806601524,13.307320118,13.3099131584,20.3399832249,25.428232193
unit.000090,-52.8773179054,13.5298411846,13.55854702,13.5610740185,20.9946100712,25.9798340797
unit.000091,-52.8771338463,12.0714380741,12.086302042,12.0883011818,19.5651111603,22.8259022236
unit.000092,-52.8769598007,14.0942790508,14.1251142025,19.8713800907,25.856990099,28.3651571274
unit.000093,-52.8767778873,14.4838550091,14.512152195,20.3747529984,25.3456590176,27.9887580872
unit.000094,-52.8766047955,14.9279580116,14.9571051598,20.9011411667,25.8530950546,29.1240811348
unit.000095,-52.876431942,15.571516037,15.6096830368,21.5197482109,26.478249073,30.1232161522
unit.000096,-52.8762598038,14.1544229984,14.1826879978,19.9459960461,25.5371501446,27.6096580029
unit.000097,-52.8760869503,13.4176011086,13.4471580982,13.4497830868,21.075138092,25.7330951691
unit.000098,-52.8759069443,12.8424420357,12.8877441883,12.890540123,20.0876741409,22.7007730007
unit.000099,-52.8757348061,13.227763176,13.2543900013,13.2569181919,20.3360152245,25.1819200516
unit.000100,-52.8755609989,12.0566341877,12.0714571476,12.0736939907,19.4533650875,22.0768280029
unit.000101,-52.8753888607,13.8255431652,13.8543391228,19.4842281342,24.6937880516,26.597422123
unit.000102,-52.8752169609,14.0368070602,14.0658090115,19.8223240376,25.341850996,27.4854540825
unit.000103,-52.8750457764,14.4383602142,14.466917038,20.315237999,25.4425640106,27.9237000942
unit.000104,-52.8748660088,14.8355650902,14.8702111244,20.7886190414,25.95008111,28.9287362099
unit.000105,-52.8746929169,15.3588621616,15.3994162083,21.2801690102,26.2687940598,29.8749670982
unit.000106,-52.8745207787,15.9030230045,15.9437441826,25.0067780018,29.8989040852,30.6864860058
unit.000107,-52.8743507862,13.0372471809,13.0641360283,13.0667581558,20.2788162231,24.8693311214
unit.000108,-52.8741788864,12.0122330189,12.0271131992,12.0296452045,19.5564110279,22.1997702122
unit.000109,-52.8739998341,14.5405042171,14.5686690807,20.4182190895,25.3378520012,28.1142590046
unit.000110,-52.8738238811,14.5965590477,14.6248800755,20.5227620602,25.4349491596,28.2403280735
unit.000111,-52.8736498356,14.6811971664,14.7175221443,20.6153001785,25.4387130737,28.6165840626
unit.000112,-52.87347579,14.7741291523,14.806374073,20.6971611977,25.7472500801,28.7995340824
unit.000113,-52.8733038902,14.8701341152,14.8985331059,20.820526123,25.8493351936,28.9941220284
unit.000114,-52.8731079102,14.9571261406,14.9865851402,20.9330251217,25.9539601803,29.1898560524
unit.000115,-52.8727428913,12.130521059,12.1451921463,12.1471149921,20.4369101524,27.1706411839
unit.000116,-52.8725678921,15.0737051964,15.1238210201,21.0736141205,26.0600709915,29.4438650608
unit.000117,-52.8723938465,15.1594409943,15.196336031,21.1337931156,26.1560840607,29.5688531399
unit.000118,-52.8722169399,15.2703580856,15.3257172108,21.2292761803,26.2650911808,29.7511670589
unit.000119,-52.8720459938,12.6796751022,12.7129151821,12.7155401707,20.2080380917,24.5007162094
unit.000120,-52.8718659878,13.1187090874,13.1454911232,13.148124218,20.8466260433,24.9924530983
unit.000121,-52.8716928959,12.1452200413,12.1598641872,12.1617720127,19.5686120987,22.8896131516
unit.000122,-52.8715219498,15.6431980133,15.6837050915,21.580037117,26.4745440483,30.2468850613
unit.000123,-52.8713488579,15.7577531338,15.7911560535,21.7048811913,26.6772902012,30.4352560043
unit.000124,-52.8711769581,14.2966570854,14.324734211,20.1107971668,25.7428100109,28.4276180267
unit.000125,-52.8710048199,15.9438240528,15.9768590927,25.0453121662,29.8912510872,30.7455739975
unit.000126,-52.870828867,15.4422960281,15.4570851326,21.4006681442,26.3677651882,31.1787140369
unit.000127,-52.8706569672,14.2684371471,14.2966251373,20.0789961815,25.116161108,27.6723940372
unit.000128,-52.8704819679,15.9767780304,16.0120491982,25.0574970245,29.9925100803,30.8112010956
unit.000129,-52.8703098297,13.7006061077,13.7279272079,13.7305212021,20.9993481636,26.3506331444
unit.000130,-52.8701429367,11.9958472252,12.0147089958,12.0189731121,20.53926301,27.2326440811
unit.000131,-52.8699707985,15.4980940819,15.5308890343,21.4655900002,26.6735022068,29.9988491535
unit.000132,-52.8697888851,14.6249070168,14.6529700756,20.5444412231,25.4465651512,28.491008997
unit.000133,-52.8696169853,12.0270810127,12.0416781902,12.0435991287,19.7629411221,22.9478321075
unit.000134,-52.8693959713,13.5584599972,13.5863411427,13.5888230801,21.0792779922,26.0471291542
unit.000135,-52.8692219257,12.1157310009,12.1305220127,12.1324729919,19.4616260529,22.1412510872
