index,Init,Execute,Gather
0,419,456348,25022
1,112,455016,22994
2,124,396792,24631
3,110,397885,22325
4,110,396352,25715
5,109,396564,24928
6,111,396024,24034
7,110,397418,25857
8,109,397401,25635
9,109,396950,25290
10,129,397020,23639
11,110,397181,25128
12,109,396809,59326
13,219,423509,24357
14,115,430967,42010
15,178,416233,25021
16,113,396598,24833
17,111,398090,25177
18,110,457178,35449
19,146,399657,24570
20,111,397106,25201
21,110,397482,24264
22,110,397116,25966
23,110,398057,25774
24,110,399888,64215
25,229,431148,26050
26,119,478796,28641
27,147,433264,26509
28,127,398721,25148
29,116,397249,25615
30,115,399061,24832
31,121,397020,25142
32,114,397210,25926
33,115,396793,25659
34,115,396594,25673
35,129,398028,23982
36,116,396538,61974
37,239,494202,26532
38,119,396464,26143
39,110,403472,25919
40,110,397066,25020
41,111,397094,25898
42,110,398700,26005
43,129,398628,26037
44,109,445408,24612
45,110,400411,25160
46,110,398190,24803
47,110,398662,25777
48,111,399266,25631
49,110,397014,24653
50,110,397169,26049
51,111,396797,26125
52,109,397050,25635
53,138,396943,24582
54,109,397526,25318
55,110,397604,25978
56,112,396950,26093
57,109,397665,24758
58,116,398588,26783
59,110,399566,26096
60,109,395777,62726
61,232,426396,24845
62,115,397513,25939
63,114,410598,24630
64,115,399896,25690
65,114,396541,25797
66,117,398991,25365
67,135,405709,24407
68,121,396909,24275
69,119,396220,25933
70,114,397709,25924
71,116,396014,25927
72,114,396660,31500
73,116,397194,25337
74,134,409190,53512
75,200,425327,25390
76,117,396688,25877
77,114,396844,26075
78,114,396419,25656
79,114,396390,25923
80,114,396751,23650
81,116,395775,25733
82,114,396337,25806
83,114,397746,24661
84,114,448540,59283
85,207,418843,26179
86,115,396237,24139
87,114,396001,25191
88,114,396166,25689
89,114,397717,26197
90,117,396019,25658
91,116,396957,24619
92,115,396021,25534
93,136,544681,36697
94,162,469033,24890
95,115,396795,24855
96,116,396965,30630
97,115,395973,25849
98,114,396912,25058
99,115,396501,25426
100,115,396667,24417
101,116,397100,25316
102,115,399235,26248
103,133,397701,25443
104,115,398332,25395
105,135,398329,25654
106,116,397249,26010
107,120,461972,24716
108,120,397107,21360
109,117,397566,25777
110,111,395987,24735
111,110,396587,26031
112,110,398601,25018
113,110,396083,23918
114,110,396826,26058
115,111,396847,23880
116,110,396643,25837
117,110,396623,25440
118,110,396831,25646
119,110,397514,25748
120,110,395829,61002
121,201,431420,26037
122,111,396239,25593
123,116,395860,23735
124,110,396818,24758
125,117,396212,24916
126,115,423323,27920
127,117,401336,26182
128,110,406714,26014
129,109,396937,25970
130,116,460115,24320
131,118,400980,25583
132,109,397650,64687
133,227,428064,26042
134,111,396501,24967
135,111,395941,25674
136,116,396516,25705
137,111,396734,25359
138,110,397002,24237
139,121,396530,25387
140,117,396397,25172
141,110,396499,24540
142,110,397481,25909
143,110,396254,24953
144,110,396649,29076
145,112,396125,25666
146,110,396200,24667
147,110,396265,25239
148,121,396507,25436
149,110,396918,25965
150,116,396675,25806
151,111,396015,25767
152,114,397998,25870
153,110,453809,36492
154,187,398787,21829
155,113,398025,25716
156,109,398081,63165
157,213,432140,26528
158,117,396999,25375
159,110,396917,24700
160,113,396563,25597
161,111,397188,26135
162,110,409572,25299
163,112,396677,26232
164,110,396621,25307
165,111,460573,26061
166,140,397283,24000
167,111,481991,30325
168,142,447140,32589
169,119,398962,25436
170,112,397166,24625
171,134,399191,25237
172,111,396892,25038
173,111,397237,26714
174,123,398937,24589
175,123,397407,25683
176,112,463633,25551
177,124,396527,25766
178,110,396138,25047
179,110,398150,25649
180,111,397069,25655
181,110,397232,25862
182,110,396295,24667
183,115,396590,25197
184,110,396699,25754
185,111,396465,25242
186,110,397375,25237
187,110,396202,25534
188,110,397262,25671
189,109,396267,25934
190,110,396705,25140
191,110,398521,25542
192,109,396073,65488
193,241,429267,25704
194,115,396899,23833
195,112,401292,25676
196,111,399952,25604
197,110,398274,25249
198,111,396320,25067
199,110,396426,25993
200,112,396514,26242
201,110,396903,26018
202,111,398785,25994
203,116,396394,25829
204,110,396838,31686
205,112,397238,26168
206,111,396663,25959
207,110,396366,25044
208,111,396298,25478
209,110,396739,24687
210,112,395840,24684
211,111,398876,24884
212,112,396431,23572
213,110,396349,25342
214,110,396386,25735
215,111,396504,23941
216,110,398574,32017
217,112,396639,23629
218,112,398690,25811
219,111,397022,25933
220,112,396702,24266
221,111,399074,24922
222,111,397880,25025
223,111,401833,24405
224,111,397710,26066
225,118,396358,25184
226,110,395850,25463
227,112,465192,25385
228,119,397037,30999
229,134,396006,25490
230,111,396005,25685
231,114,396684,25484
232,110,396718,25170
233,118,396967,25943
234,110,396942,25220
235,111,396395,25340
236,110,397120,26057
237,110,396137,25320
238,110,397305,25492
239,110,398507,24556
240,111,396302,31477
241,111,397237,25255
242,109,397509,24320
243,111,398144,25187
244,111,397077,25988
245,137,397028,25278
246,133,396486,25688
247,133,466968,25814
248,120,396397,23589
249,110,397183,25858
250,111,396627,25255
251,110,396658,25217
252,110,396769,62790
253,218,429258,24625
254,117,396691,24002
255,110,396616,24392
256,110,397306,26110
257,114,396197,25658
258,124,396376,24314
259,112,396062,24454
260,109,397095,25837
261,110,460245,24707
262,120,396783,26004
263,110,396049,25496
264,112,396445,64790
265,219,428385,26154
266,110,397039,25406
267,110,396090,23857
268,110,398910,26075
269,118,397247,25729
270,110,458764,24431
271,122,396790,25892
272,110,397179,25631
273,109,396364,25798
274,111,397527,25491
275,109,397305,25658
276,110,397005,24052
277,109,397965,25328
278,110,397675,25729
279,111,396261,25456
280,110,396480,25312
281,110,396064,25247
282,110,397988,25435
283,110,396330,25701
284,111,458882,25065
285,119,398455,25322
286,116,401931,26188
287,111,402273,25332
288,111,401841,65065
289,230,430553,26226
290,112,396788,25381
291,123,397453,25421
292,111,396368,25503
293,110,466755,26412
294,125,401424,26058
295,110,402958,26293
296,111,397394,25246
297,116,-242742,25331
298,585,398122,24967
299,112,396954,25969
300,110,398538,62258
301,230,430829,24003
302,111,400693,24956
303,111,396121,25829
304,111,396066,24877
305,110,396182,25203
306,110,396006,25213
307,110,397787,24693
308,110,396998,25773
309,111,462118,25484
310,120,397327,25576
311,111,405943,25219
312,119,437688,30114
313,111,405646,26585
314,119,397817,24771
315,122,397253,25040
316,111,471255,25636
317,126,400213,25274
318,110,400563,26444
319,111,397653,24788
320,112,396593,25428
321,115,396200,25894
322,116,396488,26139
323,110,398399,24240
324,111,396718,32255
325,117,397412,25583
326,111,397306,24688
327,111,398922,24921
328,110,402975,25313
329,110,401610,25932
330,109,398941,25202
331,111,396587,25044
332,110,399031,24989
333,109,396494,25095
334,110,397658,26233
335,112,396739,24551
336,110,397219,25739
337,109,399154,25542
338,120,396404,25186
339,116,447232,37661
340,146,398852,25799
341,110,398943,25962
342,110,397554,26114
343,111,396886,25990
344,111,399958,26012
345,111,397286,24657
346,110,398800,25717
347,121,396347,25102
348,115,397201,26758
349,111,397650,24905
350,110,396239,26040
351,109,403043,26602
352,109,397636,23917
353,110,399661,25494
354,110,397581,25753
355,109,396957,25882
356,110,398008,24598
357,115,396464,25828
358,110,396460,23877
359,110,396721,24613
