Rank,Init,Execute,Gather
0,0.250373,567.031,47.5885
1,0.270163,569.179,0.361133
2,0.266222,565.197,4.93169
3,0.249278,566.7,0.323389
4,0.2537,566.234,4.70446
5,0.249359,567.037,0.336235
6,0.251369,567.152,0.986054
7,0.250176,564.107,3.35478
8,0.251158,567.488,31.12
9,0.256286,564.634,3.17613
10,0.263018,591.427,0.94025
11,0.266846,567.489,24.2014
12,0.252589,565.328,27.8537
13,0.250482,566.24,0.332842
14,0.257316,565.992,1.49413
15,0.25181,566.369,0.414714
16,0.287713,566.844,36.7794
17,0.250188,565.733,1.3855
18,0.252735,565.838,2.63968
19,0.254774,567.404,0.387708
20,0.262411,566.341,2.96428
21,0.262751,567.173,0.388862
22,0.253715,564.929,3.05841
23,0.250154,566.39,0.324328
24,0.263735,564.361,32.3622
25,0.26714,565.762,0.421439
26,0.258426,564.678,2.12097
27,0.254427,565.7,0.334311
28,0.257661,565.05,28.9916
29,0.254317,564.458,0.882426
30,0.251206,565.471,27.3081
31,0.248402,591.758,0.337288
32,0.250956,565.052,49.8606
33,0.251433,584.915,0.335756
34,0.252012,564.369,21.3135
35,0.251977,565.817,0.38204
36,0.249754,567.405,19.0807
37,0.252992,564.222,3.46442
38,0.25848,565.77,2.34919
39,0.246771,565.165,0.88061
40,0.251205,566.345,32.8624
41,0.255271,567.146,0.40307
42,0.261623,568.556,1.09081
43,0.253847,565.896,3.02197
44,0.256373,593.037,1.98403
45,0.249934,565.819,27.486
46,0.26237,566.149,27.6354
47,0.251568,566.094,0.343788
48,0.257888,564.838,38.2846
49,0.253433,567.541,0.343706
50,0.26708,567.021,1.87907
51,0.256293,567.841,0.369721
52,0.246828,565.055,5.2089
53,0.256363,566.593,0.352871
54,0.253285,567.864,1.05637
55,0.254538,567.72,0.457575
56,0.249534,565.317,7.20366
57,0.248906,564.125,1.48234
58,0.254078,566.821,2.2058
59,0.262448,567.948,0.337162
60,0.241275,518.652,51.2159
61,0.253007,512.94,6.05969
62,0.227264,495.075,24.4322
63,0.244172,495.914,0.358956
64,0.242459,492.5,122.397
65,0.226738,519.774,0.398295
66,0.252195,512.811,7.81492
67,0.226973,479.167,33.9381
68,0.240216,494.303,27.1714
69,0.239189,490.968,3.65848
70,0.241506,519.08,1.13827
71,0.251745,512.802,6.61789
