index,Init,Execute,Gather
0,442,856151,49788
1,124,793066,51568
2,134,814273,49664
3,125,793829,50336
4,135,793022,51378
5,114,855873,47972
6,128,800659,113706
7,183,811623,49775
8,110,795030,49796
9,114,795478,50473
10,128,793663,49424
11,112,793788,50926
12,111,796466,104294
13,188,819753,51615
14,115,810810,52298
15,118,804045,47518
16,113,802282,51496
17,111,794982,53018
18,110,793964,111001
19,174,808433,50394
20,110,857978,49975
21,123,793583,49761
22,109,792256,50292
23,110,792636,51746
24,110,792351,106423
25,188,805933,45982
26,112,794729,51541
27,111,793374,49948
28,110,794321,50919
29,112,1.10747e+06,70665
30,157,796331,51238
31,112,840604,67432
32,120,793063,51232
33,111,792161,51736
34,121,793210,51540
35,111,794009,48928
36,117,793379,109642
37,192,803876,49760
38,111,794112,46605
39,112,793770,51789
40,110,792743,51482
41,113,792139,49025
42,110,792946,107738
43,202,857175,51535
44,119,793976,51529
45,110,792500,51092
46,111,792718,51027
47,109,793044,51755
48,111,793255,109475
49,181,884150,46408
50,110,793689,50574
51,111,795922,51023
52,129,856479,49694
53,122,794291,51251
54,110,796700,52053
55,110,795661,51402
56,127,793038,51667
57,110,792890,46846
58,113,794829,51418
59,110,793474,50029
60,111,792641,107236
61,176,808185,49778
62,111,793839,50951
63,120,794316,50638
64,109,793702,52102
65,110,792899,50781
66,112,860799,104721
67,173,803738,51899
68,119,872564,51838
69,111,795072,51635
70,122,795388,51229
71,112,793833,51457
72,110,794402,58234
73,113,794078,51040
74,112,792708,51382
75,112,792432,47017
76,113,793410,47648
77,112,795049,49281
78,114,860259,107833
79,193,808267,51285
80,111,795595,46849
81,113,793462,48626
82,110,792818,49976
83,111,793213,51608
84,123,792310,57721
85,112,793433,49617
86,118,793726,50061
87,110,797720,46435
88,113,797112,51772
89,116,796713,50841
90,111,794996,52693
91,124,796688,51489
92,111,797974,51183
93,112,796765,47020
94,111,795635,51206
95,112,794913,49861
96,112,796271,59156
97,112,794460,49161
98,112,793469,50777
99,111,792596,47795
100,111,793542,51263
101,111,798665,51175
102,127,796478,59698
103,112,1.17949e+06,50652
104,112,802785,52121
105,126,793433,52197
106,112,802461,50198
107,110,802312,52242
108,112,803260,102519
109,183,812129,51939
110,114,795015,51456
111,112,797990,46703
112,117,794865,51818
113,111,863452,50742
114,112,792877,109323
115,172,813258,50721
116,111,859812,49667
117,119,802929,49865
118,112,802759,51640
119,117,794809,51294
