index,Init,Execute,Gather
0,431,360000,17396
1,122,298472,14954
2,126,360308,16884
3,119,297877,17347
4,112,298074,16678
5,115,299628,17380
6,112,301695,16546
7,110,302043,17177
8,110,299151,17196
9,116,298094,16834
10,110,298536,17025
11,110,298829,17407
12,111,299483,16973
13,131,298147,16272
14,110,298605,17205
15,110,302352,17316
16,110,302042,16631
17,111,302559,17388
18,139,302628,16925
19,111,302038,17077
20,120,302289,17238
21,121,302280,17191
22,110,301722,16111
23,110,298593,16322
24,110,299820,17032
25,109,299104,17000
26,110,298519,16595
27,110,298322,17050
28,119,298088,15716
29,110,298117,17025
30,110,298914,17069
31,109,302179,17375
32,131,299512,47172
33,281,336393,17300
34,111,299168,17136
35,110,299161,17193
36,129,299507,14846
37,110,350886,24648
38,161,301662,16665
39,111,298634,17449
40,111,298772,15804
41,111,297847,17008
42,111,298516,16886
43,111,301676,17143
44,111,301522,16395
45,110,301902,17132
46,111,301877,17284
47,120,301081,17285
48,110,299060,44896
49,234,337611,17234
50,110,302069,17656
51,110,302739,16720
52,110,302772,17497
53,140,302957,16982
54,110,302671,17014
55,110,301853,16625
56,115,298997,16849
57,110,298771,16500
58,116,324059,33765
59,198,324468,17226
60,110,299404,16950
61,110,299314,17391
62,109,306115,17327
63,110,299379,16367
64,110,299284,47919
65,247,335839,16789
66,122,298160,16127
67,110,298249,16882
68,112,298393,17331
69,110,298315,17517
70,113,299368,16275
71,111,298117,16306
72,118,298925,16225
73,123,300354,17870
74,110,302142,17130
75,109,299354,15628
76,109,299418,16221
77,110,299239,16980
78,110,299101,17025
79,109,299140,16767
80,110,301882,26562
81,118,302251,15695
82,118,301870,17596
83,119,302779,17096
84,117,302881,15925
85,116,298809,17419
86,110,298420,16643
87,110,298715,17053
88,110,298595,16807
89,117,299990,16503
90,116,360706,16975
91,125,298298,16789
92,110,298131,16728
93,111,298507,15549
94,110,297901,17317
95,110,298360,16209
96,111,297995,48088
97,237,340014,17016
98,117,300306,17382
99,117,302839,17870
100,121,302726,16687
101,117,300493,17615
102,120,300112,17278
103,109,298891,16611
104,110,301503,17363
105,110,303757,17869
106,116,303469,17275
107,128,303290,17397
108,134,304365,17403
109,116,304081,17779
110,134,302846,17579
111,127,302088,16523
112,110,298711,17353
113,111,298897,15997
114,109,300558,16927
115,118,302379,15521
116,132,302755,16308
117,116,299173,17150
118,129,298589,17487
119,132,298409,16863
120,128,299303,17287
121,110,360341,17005
122,118,298865,17168
123,109,298395,16752
124,109,299776,16575
125,110,299329,17073
126,118,298994,17286
127,110,299340,17368
128,112,299989,46323
129,251,341725,16977
130,112,298532,15872
131,111,298393,16473
132,117,361304,17443
133,120,347508,19489
134,129,318284,16936
135,110,300963,18481
136,117,299222,17350
137,110,298366,16626
138,110,298975,15505
139,129,299881,16625
140,120,298490,16739
141,110,299022,16833
142,110,302234,16155
143,118,298770,17293
144,127,298765,45820
145,258,343143,17197
146,111,299133,16757
147,112,299260,16903
148,110,302065,17333
149,110,299233,17083
150,109,299218,17024
151,109,366671,17331
152,130,299915,16805
153,109,299601,16508
154,124,299470,16937
155,109,300401,17301
156,109,299517,16204
157,110,299142,16763
158,110,300066,17401
159,109,299114,17193
160,112,299319,51247
161,266,335717,16780
162,111,298770,16467
163,120,300055,17244
164,110,299094,17448
165,110,298419,17349
166,121,303919,16958
167,117,298996,16259
168,109,298819,17344
169,110,298747,17431
170,118,299261,16838
171,110,299336,15983
172,115,299575,16866
173,110,298994,16929
174,110,299326,17300
175,118,299056,16896
176,120,299289,25146
177,111,298280,17075
178,121,298624,17443
179,118,298548,17484
180,111,298273,16409
181,110,298242,17025
182,110,331973,28541
183,189,318623,16567
184,114,298529,17244
185,109,298610,16597
186,109,298712,17152
187,111,298813,17346
188,109,298411,17311
189,109,298798,17200
190,110,298924,17207
191,110,299536,17100
192,113,299736,43637
193,223,327700,16780
194,115,298696,17170
