,Nodes,Duration
0,1,853.025
1,1,853.403
2,1,849.109
3,1,855.407
4,1,850.571
5,1,848.101
6,1,850.642
7,1,849.643
8,1,851.359
9,1,852.054
10,1,849.894
11,1,859.835
12,1,864.711
13,1,856.278
14,1,852.635
15,1,858.428
16,1,856.576
17,1,857.788
18,1,857.965
19,1,858.101
20,1,860.883
21,1,857.262
22,1,862.912
23,1,854.997
24,3,567.031
25,3,569.179
26,3,565.197
27,3,566.7
28,3,566.234
29,3,567.037
30,3,567.152
31,3,564.107
32,3,567.488
33,3,564.634
34,3,591.427
35,3,567.489
36,3,565.328
37,3,566.24
38,3,565.992
39,3,566.369
40,3,566.844
41,3,565.733
42,3,565.838
43,3,567.404
44,3,566.341
45,3,567.173
46,3,564.929
47,3,566.39
48,3,564.361
49,3,565.762
50,3,564.678
51,3,565.7
52,3,565.05
53,3,564.458
54,3,565.471
55,3,591.758
56,3,565.052
57,3,584.915
58,3,564.369
59,3,565.817
60,3,567.405
61,3,564.222
62,3,565.77
63,3,565.165
64,3,566.345
65,3,567.146
66,3,568.556
67,3,565.896
68,3,593.037
69,3,565.819
70,3,566.149
71,3,566.094
72,3,564.838
73,3,567.541
74,3,567.021
75,3,567.841
76,3,565.055
77,3,566.593
78,3,567.864
79,3,567.72
80,3,565.317
81,3,564.125
82,3,566.821
83,3,567.948
84,3,518.652
85,3,512.94
86,3,495.075
87,3,495.914
88,3,492.5
89,3,519.774
90,3,512.811
91,3,479.167
92,3,494.303
93,3,490.968
94,3,519.08
95,3,512.802
