,Nodes,Run,ID,Measurement,Duration
58,2,1,19,Communication,5.41210174561e-05
59,2,1,19,Barrier,99.4088439941
60,2,1,20,Execution,139.839062929
61,2,1,20,Communication,5.22136688232e-05
62,2,1,20,Barrier,99.3384189606
63,2,1,21,Execution,139.773102045
64,2,1,21,Communication,4.29153442383e-05
65,2,1,21,Barrier,99.4039480686
66,2,1,22,Execution,139.514055014
67,2,1,22,Communication,4.88758087158e-05
68,2,1,22,Barrier,99.6627249718
69,2,1,23,Execution,139.574223042
70,2,1,23,Communication,5.19752502441e-05
71,2,1,23,Barrier,99.6026210785
72,2,1,24,Execution,124.959104061
73,2,1,24,Communication,7.9870223999e-05
74,2,1,24,Barrier,110.857388973
75,2,1,25,Execution,125.002880096
76,2,1,25,Communication,5.3882598877e-05
77,2,1,25,Barrier,110.813359022
78,2,1,26,Execution,124.893584967
79,2,1,26,Communication,5.00679016113e-05
80,2,1,26,Barrier,110.922781944
81,2,1,27,Execution,124.950618982
82,2,1,27,Communication,5.60283660889e-05
83,2,1,27,Barrier,110.862637997
84,2,1,28,Execution,124.912218094
85,2,1,28,Communication,5.69820404053e-05
86,2,1,28,Barrier,110.895210028
87,2,1,29,Execution,125.00198102
88,2,1,29,Communication,5.3882598877e-05
89,2,1,29,Barrier,110.809577942
90,2,1,30,Execution,124.831728935
91,2,1,30,Communication,5.29289245605e-05
92,2,1,30,Barrier,110.978338003
93,2,1,31,Execution,124.918545961
94,2,1,31,Communication,5.60283660889e-05
95,2,1,31,Barrier,110.896595955
96,2,1,32,Execution,123.151727915
97,2,1,32,Communication,9.29832458496e-05
98,2,1,32,Barrier,112.664750099
99,2,1,33,Execution,124.975977898
100,2,1,33,Communication,4.98294830322e-05
101,2,1,33,Barrier,110.840444088
102,2,1,34,Execution,124.905816078
103,2,1,34,Communication,5.72204589844e-05
104,2,1,34,Barrier,110.909976006
105,2,1,35,Execution,124.946362019
106,2,1,35,Communication,5.88893890381e-05
107,2,1,35,Barrier,110.869946003
108,2,1,36,Execution,124.098093033
109,2,1,36,Communication,5.91278076172e-05
110,2,1,36,Barrier,111.716580868
111,2,1,37,Execution,124.0947299
112,2,1,37,Communication,4.60147857666e-05
113,2,1,37,Barrier,111.721333027
114,2,1,38,Execution,124.071542978
115,2,1,38,Communication,4.88758087158e-05
116,2,1,38,Barrier,111.744927883
117,2,1,39,Execution,124.054570913
118,2,1,39,Communication,5.00679016113e-05
119,2,1,39,Barrier,111.761222124
120,2,1,40,Execution,124.029895067
121,2,1,40,Communication,5.48362731934e-05
122,2,1,40,Barrier,111.786345959
123,2,1,41,Execution,124.045568228
124,2,1,41,Communication,5.3882598877e-05
125,2,1,41,Barrier,111.77082777
126,2,1,42,Execution,124.063474894
127,2,1,42,Communication,5.00679016113e-05
128,2,1,42,Barrier,111.752861977
129,2,1,43,Execution,113.158107042
130,2,1,43,Communication,4.6968460083e-05
131,2,1,43,Barrier,0.012405872345
132,2,1,44,Execution,124.043502092
133,2,1,44,Communication,5.19752502441e-05
134,2,1,44,Barrier,111.772930861
135,2,1,45,Execution,124.021432161
136,2,1,45,Communication,4.60147857666e-05
137,2,1,45,Barrier,111.795010805
138,2,1,46,Execution,235.814218044
139,2,1,46,Communication,3.88622283936e-05
140,2,1,46,Barrier,0.002112865448
141,2,1,47,Execution,124.028053045
142,2,1,47,Communication,4.79221343994e-05
143,2,1,47,Barrier,111.788305998
144,2,2,0,Execution,106.388499975
145,2,2,0,Communication,0.000115156173706
146,2,2,0,Barrier,38.8138589859
147,2,2,1,Execution,94.152515173
148,2,2,1,Communication,4.79221343994e-05
149,2,2,1,Barrier,51.0348498821
150,2,2,2,Execution,94.1858270168
151,2,2,2,Communication,4.91142272949e-05
152,2,2,2,Barrier,50.9997320175
153,2,2,3,Execution,94.1228380203
154,2,2,3,Communication,4.60147857666e-05
155,2,2,3,Barrier,51.0666959286
156,2,2,4,Execution,94.1590530872
157,2,2,4,Communication,5.00679016113e-05
158,2,2,4,Barrier,51.0307250023
159,2,2,5,Execution,94.1402740479
160,2,2,5,Communication,3.88622283936e-05
161,2,2,5,Barrier,51.04646492
162,2,2,6,Execution,94.1462299824
163,2,2,6,Communication,4.91142272949e-05
164,2,2,6,Barrier,51.043751955
165,2,2,7,Execution,94.1137568951
166,2,2,7,Communication,5.00679016113e-05
167,2,2,7,Barrier,51.0765140057
168,2,2,8,Execution,94.1536099911
169,2,2,8,Communication,5.41210174561e-05
170,2,2,8,Barrier,51.0337159634
171,2,2,9,Execution,94.1512567997
172,2,2,9,Communication,3.81469726562e-05
173,2,2,9,Barrier,51.0387990475
174,2,2,10,Execution,94.1758971214
175,2,2,10,Communication,4.6968460083e-05
176,2,2,10,Barrier,51.0141298771
177,2,2,11,Execution,94.1293551922
178,2,2,11,Communication,3.69548797607e-05
179,2,2,11,Barrier,51.0608718395
180,2,2,12,Execution,92.9884228706
