#TIME Node0_NumHit Node1_NumHit Node0_NumMiss Node1_NumMiss Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1481749094 71036488 71695911 39765 115 71033654 71682845 42599 13180 15230.89 4242.47 1103.72 12142.23
1481749096 71036525 71696201 39765 115 71033690 71683136 42599 13180 15230.50 3980.00 1104.13 12406.55
1481749097 71036563 71696507 39765 115 71033729 71683441 42599 13180 15230.39 3703.09 1103.84 12680.16
1481749098 71036597 71696845 39765 115 71033763 71683779 42599 13180 15231.09 3396.38 1103.16 12987.26
1481749099 71036632 71697141 39765 115 71033797 71684075 42599 13180 15230.30 3126.99 1104.70 13256.67
1481749100 71036663 71697476 39765 115 71033829 71684410 42599 13180 15231.59 2830.39 1103.38 13553.37
1481749101 71036694 71697803 39765 115 71033860 71684737 42599 13180 15230.87 2537.37 1104.09 13845.51
1481749102 71036724 71698123 39765 115 71033890 71685058 42599 13180 15230.98 2242.26 1103.66 14143.53
1481749103 71036767 71698429 39765 115 71033932 71685364 42599 13180 15229.79 1965.04 1104.80 14418.60
1481749105 71036816 71698688 39765 115 71033981 71685622 42599 13180 15230.64 1729.16 1103.59 14654.47
1481749106 71036853 71698889 39765 115 71034019 71685824 42599 13180 15229.75 1551.12 1104.12 14834.69
1481749107 71036902 71699211 39765 115 71034067 71686146 42599 13180 15230.55 1248.98 1104.06 15134.65
1481749108 71036951 71699468 39765 115 71034117 71686403 42599 13180 15229.84 1005.62 1104.41 15380.92
1481749109 71036999 71699763 39765 115 71034165 71686697 42599 13180 15230.29 729.98 1103.94 15653.61
1481749110 71037043 71700081 39765 115 71034209 71687015 42599 13180 15229.91 431.61 1104.94 15953.08
1481749111 71037093 71700380 39765 115 71034259 71687314 42599 13180 15229.96 150.58 1104.65 16235.24
1481749112 71037137 71700627 39765 115 71034303 71687562 42599 13180 15230.52 56.08 1104.09 16328.25
1481749114 71037189 71700848 39765 115 71034355 71687782 42599 13180 15229.70 55.61 1105.31 16328.76
1481749115 71037236 71701055 39765 115 71034401 71687989 42599 13180 15229.25 55.35 1105.75 16329.01
1481749116 71037289 71701249 39765 115 71034455 71688183 42599 13180 15229.31 55.43 1105.66 16328.21
1481749117 71037340 71701495 39765 115 71034506 71688430 42599 13180 15229.57 55.45 1105.04 16328.55
1481749118 71037392 71701711 39765 115 71034558 71688646 42599 13180 15229.70 56.03 1104.93 16327.59
1481749119 71037439 71701948 39765 115 71034604 71688882 42599 13180 15229.53 55.36 1105.04 16328.64
1481749120 71037488 71702151 39765 115 71034653 71689085 42599 13180 15229.28 55.32 1105.29 16329.05
1481749121 71037540 71702379 39765 115 71034706 71689313 42599 13180 15228.86 55.17 1105.80 16329.19
1481749122 71037582 71702601 39765 115 71034748 71689536 42599 13180 15228.95 55.98 1105.31 16329.07
1481749124 71037632 71702835 39765 115 71034798 71689770 42599 13180 15229.09 55.66 1105.95 16327.97
1481749125 71037680 71703079 39765 115 71034846 71690014 42599 13180 15229.05 55.46 1105.21 16328.54
1481749126 71037732 71703330 39765 115 71034898 71690264 42599 13180 15228.77 55.44 1105.48 16328.94
1481749127 71037787 71703517 39765 115 71034952 71690452 42599 13180 15229.15 55.41 1105.51 16328.59
1481749128 71037840 71703754 39765 115 71035005 71690689 42599 13180 15229.00 55.22 1105.63 16329.14
1481749129 71037890 71703956 39765 115 71035056 71690890 42599 13180 15229.87 55.83 1105.10 16328.17
1481749130 71037947 71703963 39765 115 71035113 71690897 42599 13180 15229.35 56.43 1104.53 16327.57
1481749131 71038006 71703970 39765 115 71035172 71690904 42599 13180 15229.75 56.85 1104.51 16327.15
1481749132 71038059 71703982 39765 115 71035225 71690916 42599 13180 15229.24 56.27 1105.37 16327.73
1481749134 71038105 71704002 39765 115 71035270 71690937 42599 13180 15242.24 151.67 1091.58 16232.30
1481749135 71038135 71704036 39765 115 71035300 71690970 42599 13180 15243.24 151.64 1091.39 16232.36
1481749136 71038164 71704070 39765 115 71035330 71691004 42599 13180 15243.26 151.90 1091.00 16232.07
