TIMESTAMP        work-RQ          work-RD          work-WR          
1483660329 8040190 4618170882307 785344404532
1483660330 8040190 4618170882307 785344404532
1483660331 8040190 4618170882307 785344404532
1483660332 8040190 4618170882307 785344404532
1483660333 8040190 4618170882307 785344404532
1483660335 8040190 4618170882307 785344404532
1483660336 8040190 4618170882307 785344404532
1483660337 8040190 4618170882307 785344404532
1483660338 8040190 4618170882307 785344404532
1483660339 8040190 4618170882307 785344404532
1483660340 8040190 4618170882307 785344404532
1483660341 8040190 4618170882307 785344404532
1483660342 8040190 4618170882307 785344404532
1483660344 8040190 4618170882307 785344404532
1483660345 8040190 4618170882307 785344404532
1483660346 8040190 4618170882307 785344404532
1483660347 8040191 4618170882307 785344404532
1483660348 8040191 4618170882307 785344404532
1483660349 8040191 4618170882307 785344404532
1483660350 8040191 4618170882307 785344404532
1483660351 8040191 4618170882307 785344404532
1483660353 8040192 4618170882307 785344404532
1483660354 8040193 4618170882307 785344404532
1483660355 8040193 4618170882307 785344404532
1483660356 8040193 4618170882307 785344404532
1483660357 8040193 4618170882307 785344404532
1483660358 8040193 4618170882307 785344404532
1483660359 8040193 4618170882307 785344404532
1483660360 8040193 4618170882307 785344404532
1483660362 8040193 4618170882307 785344404532
1483660363 8040194 4618170882307 785344404532
1483660364 8040194 4618170882307 785344404532
1483660365 8040195 4618170882307 785344404532
1483660366 8040195 4618170882307 785344404532
1483660367 8040195 4618170882307 785344404532
1483660368 8040195 4618170882307 785344404532
1483660369 8040195 4618170882307 785344404532
1483660371 8040195 4618170882307 785344404532
1483660372 8040195 4618170882307 785344404532
1483660373 8040195 4618170882307 785344404532
1483660374 8040195 4618170882307 785344404532
1483660375 8040195 4618170882307 785344404532
1483660376 8040195 4618170882307 785344404532
1483660377 8040195 4618170882307 785344404532
1483660379 8040195 4618170882307 785344404532
1483660380 8040195 4618170882307 785344404532
1483660381 8040195 4618170882307 785344404532
1483660382 8040196 4618170882307 785344404532
1483660383 8040196 4618170882307 785344404532
1483660384 8040196 4618170882307 785344404532
1483660385 8040197 4618170882307 785344404532
1483660386 8040197 4618170882307 785344404532
1483660388 8040197 4618170882307 785344404532
1483660389 8040198 4618170882307 785344404532
1483660390 8040199 4618170882307 785344404532
1483660391 8040199 4618170882307 785344404532
1483660392 8040199 4618170882307 785344404532
1483660393 8040199 4618170882307 785344404532
1483660394 8040199 4618170882307 785344404532
1483660395 8040199 4618170882307 785344404532
1483660396 8040199 4618170882307 785344404532
1483660398 8040199 4618170882307 785344404532
1483660399 8040201 4618170882307 785344404532
1483660400 8040201 4618170882307 785344404532
1483660401 8040201 4618170882307 785344404532
1483660402 8040201 4618170882307 785344404532
1483660403 8040201 4618170882307 785344404532
1483660404 8040201 4618170882307 785344404532
1483660405 8040201 4618170882307 785344404532
1483660407 8040204 4618170882307 785344404532
1483660408 8040204 4618170882307 785344404532
1483660409 8040204 4618170882307 785344404532
1483660410 8040204 4618170882307 785344404532
1483660411 8040204 4618170882307 785344404532
1483660412 8040206 4618170882307 785344404532
1483660413 8040207 4618170882307 785344404532
1483660415 8040208 4618170882307 785344404532
1483660416 8040208 4618170882307 785344404532
1483660417 8040208 4618170882307 785344404532
1483660418 8040208 4618170882307 785344404532
1483660419 8040208 4618170882307 785344404532
1483660420 8040208 4618170882307 785344404532
1483660421 8040208 4618170882307 785344404532
1483660423 8040208 4618170882307 785344404532
1483660424 8040208 4618170882307 785344404532
1483660425 8040208 4618170882307 785344404532
1483660426 8040208 4618170882307 785344404532
1483660427 8040208 4618170882307 785344404532
1483660428 8040208 4618170882307 785344404532
1483660429 8040208 4618170882307 785344404532
1483660431 8040208 4618170882307 785344404532
1483660432 8040209 4618170882307 785344404532
1483660433 8040209 4618170882307 785344404532
1483660434 8040209 4618170882307 785344404532
1483660435 8040209 4618170882307 785344404532
1483660436 8040209 4618170882307 785344404532
1483660437 8040209 4618170882307 785344404532
1483660438 8040210 4618170882307 785344404532
1483660440 8040211 4618170882307 785344404532
1483660441 8040211 4618170882307 785344404532
1483660442 8040211 4618170882307 785344404532
1483660443 8040211 4618170882307 785344404532
1483660444 8040211 4618170882307 785344404532
1483660445 8040211 4618170882307 785344404532
1483660446 8040213 4618170882307 785344404532
1483660448 8040213 4618170882307 785344404532
1483660449 8040213 4618170882307 785344404532
1483660450 8040213 4618170882307 785344404532
1483660451 8040213 4618170882307 785344404532
1483660452 8040213 4618170882307 785344404532
1483660453 8040213 4618170882307 785344404532
1483660454 8040213 4618170882307 785344404532
1483660455 8040213 4618170882307 785344404532
1483660457 8040214 4618170882307 785344404532
1483660458 8040214 4618170882307 785344404532
1483660459 8040214 4618170882307 785344404532
1483660460 8040214 4618170882307 785344404532
1483660461 8040214 4618170882307 785344404532
1483660462 8040214 4618170882307 785344404532
1483660463 8040215 4618170882307 785344404532
1483660465 8040216 4618170882307 785344404532
1483660466 8040216 4618170882307 785344404532
1483660467 8040216 4618170882307 785344404532
1483660468 8040216 4618170882307 785344404532
1483660469 8040216 4618170882307 785344404532
1483660470 8040216 4618170882307 785344404532
1483660471 8040216 4618170882307 785344404532
1483660472 8040216 4618170882307 785344404532
1483660474 8040216 4618170882307 785344404532
1483660475 8040216 4618170882307 785344404532
1483660476 8040216 4618170882307 785344404532
1483660477 8040216 4618170882307 785344404532
1483660478 8040216 4618170882307 785344404532
1483660479 8040216 4618170882307 785344404532
1483660480 8040216 4618170882307 785344404532
1483660481 8040217 4618170882307 785344404532
1483660483 8040217 4618170882307 785344404532
1483660484 8040217 4618170882307 785344404532
1483660485 8040217 4618170882307 785344404532
1483660486 8040218 4618170882307 785344404532
1483660487 8040218 4618170882307 785344404532
1483660488 8040220 4618170882307 785344404532
1483660489 8040220 4618170882307 785344404532
1483660491 8040220 4618170882307 785344404532
1483660492 8040220 4618170882307 785344404532
1483660493 8040220 4618170882307 785344404532
1483660494 8040220 4618170882307 785344404532
1483660495 8040220 4618170882307 785344404532
1483660496 8040220 4618170882307 785344404532
1483660497 8040220 4618170882307 785344404532
1483660499 8040220 4618170882307 785344404532
1483660500 8040220 4618170882307 785344404532
1483660501 8040220 4618170882307 785344404532
1483660502 8040220 4618170882307 785344404532
