['getitem-5c73567782743c06dd9f3c13a42e97cd', 'processing', 'memory', 'tcp://129.114.90.153:35206', 47879174719232, [('compute', 1495740588.1583831, 1495740588.158389)]]
['getitem-7eeefce86df120835367c055898833df', 'processing', 'memory', 'tcp://129.114.90.153:35206', 47879174719232, [('compute', 1495740588.158972, 1495740588.1589792)]]
['getitem-31fd150e4cbff101d131a47ecb29ff2b', 'processing', 'memory', 'tcp://129.114.90.153:35206', 47879174719232, [('compute', 1495740588.15938, 1495740588.159384)]]
['getitem-4ebc0d19af4f42d44fce8a6244b3f927', 'processing', 'memory', 'tcp://129.114.90.153:35206', 47879174719232, [('compute', 1495740588.159954, 1495740588.1599581)]]
['getitem-91ecfdf927fca995ee1b9d206e527bdd', 'processing', 'memory', 'tcp://129.114.90.153:35206', 47879174719232, [('compute', 1495740588.1603181, 1495740588.1603222)]]
['block_rmsd-dc9697ea51932f7f59e6e09d168a4428', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495740543.7921429, 1495740588.77469)]]
['getitem-6dd9b083ce8802faa6624439e689a074', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495740588.784627, 1495740588.784697)]]
['getitem-a7caf54409242a158a8bd6a2940e7518', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495740588.786583, 1495740588.786757)]]
['getitem-6feaffc53a90830e9adbe2e7ad3632a6', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495740588.787413, 1495740588.7874599)]]
['getitem-329cf547357f3cc3590b859ec65e8b5e', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495740588.788189, 1495740588.788197)]]
['getitem-5f00d62206a40a00d2024368863dad7d', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495740588.788652, 1495740588.7886589)]]
['block_rmsd-155a366922c236c9bd328c8efb797ca5', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495740543.806993, 1495740588.815031)]]
