['getitem-16baa346d796dd1aa656fb12cfc56a02', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495737470.392842, 1495737470.3928502)]]
['getitem-d201d38667a0715925b89888741d6210', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495737470.393428, 1495737470.3934362)]]
['getitem-ef12a6e86b275e5730749792835b61e1', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495737470.3941462, 1495737470.394154)]]
['getitem-22fcaf284ba251e89a06baf2690445ba', 'processing', 'memory', 'tcp://129.114.90.153:55216', 47879174719232, [('compute', 1495737470.394166, 1495737470.394178)]]
['getitem-01c40d29e8a36271412cdac3a59c3cbc', 'processing', 'memory', 'tcp://129.114.90.153:55216', 47879174719232, [('compute', 1495737470.394574, 1495737470.394583)]]
['getitem-bdb905b63a282f1130d4a482a833a81d', 'processing', 'memory', 'tcp://129.114.90.153:55216', 47879174719232, [('compute', 1495737470.395226, 1495737470.3952348)]]
['getitem-d9e3b7ca85305838d71fb4088c55bbb8', 'processing', 'memory', 'tcp://129.114.90.153:55216', 47879174719232, [('compute', 1495737470.395917, 1495737470.3959239)]]
['block_rmsd-76ddc054ebbc0e713e6618cb75c8abd5', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495737454.859137, 1495737470.402708)]]
['getitem-f546027c275800a8fa3993084d7f1911', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495737470.407099, 1495737470.407107)]]
['getitem-555bdc1f96ec2624b70cec733eaec856', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495737470.407819, 1495737470.4078422)]]
['getitem-726e6c6187a5bbedd737ac724931d781', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495737470.408267, 1495737470.4082751)]]
['getitem-148c3cf5639f4b3caf03c60d39f63f84', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495737470.408828, 1495737470.4088352)]]
