['block_rmsd-8c0a6a1f299093c018b1c3b259402bd4', 'processing', 'memory', 'tcp://129.114.90.153:36060', 47879174719232, [('compute', 1495737866.962965, 1495737872.95672)]]
['getitem-447af8e7c40b6247e355a8a6de62a5d4', 'processing', 'memory', 'tcp://129.114.90.153:36060', 47879174719232, [('compute', 1495737872.95957, 1495737872.959577)]]
['block_rmsd-1abdb8568d944dad76e3137b0c8c0aea', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495737866.95277, 1495737872.958475)]]
['getitem-83ba92f9b55a03fba128ea02c881c617', 'processing', 'memory', 'tcp://129.114.90.153:36060', 47879174719232, [('compute', 1495737872.960267, 1495737872.9602711)]]
['getitem-041ed00c151e6c412c03cb897adddb54', 'processing', 'memory', 'tcp://129.114.90.153:36060', 47879174719232, [('compute', 1495737872.9607441, 1495737872.96075)]]
['getitem-2c7c7fbe6407ae16a860a23079a229e9', 'processing', 'memory', 'tcp://129.114.90.153:36060', 47879174719232, [('compute', 1495737872.9611611, 1495737872.9611661)]]
['getitem-eb5bef5b839e48b3e8631d49e0b4d649', 'processing', 'memory', 'tcp://129.114.90.153:36060', 47879174719232, [('compute', 1495737872.961711, 1495737872.961716)]]
['getitem-bb82285564b1f4c8e45dd156f4fe44fc', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495737872.961469, 1495737872.961475)]]
['getitem-5cb819585e95736dc687407e416a011f', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495737872.962059, 1495737872.962063)]]
['getitem-10dbb5738174f9d1e358be4b6e964ec8', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495737872.962449, 1495737872.962453)]]
['getitem-b1b752afae9a21de738f7d62da8b7b6e', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495737872.96291, 1495737872.962914)]]
['getitem-bd6d3b998f9c1e6ba5858678b510e72c', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495737872.963371, 1495737872.963375)]]
['block_rmsd-8229f44bb2f5b1ab4432f317f4c88864', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495737866.9596272, 1495737872.980282)]]
['getitem-7a53b03f024785f9be62cd0098d4a2e6', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495737872.9831572, 1495737872.983164)]]
['getitem-29ad6822d9e99ffe54ad2598c8ce9b19', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495737872.983863, 1495737872.9838672)]]
['getitem-9f76556ececc4b06d55b488a701a4ec0', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495737872.9842641, 1495737872.984268)]]
['getitem-6305ada3c96547c8a8e228e8c0f659a4', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495737872.984668, 1495737872.984673)]]
['getitem-f129ae07797bf85b46746c2332ec483a', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495737872.98527, 1495737872.985275)]]
['block_rmsd-3f84092901011cce94db27efdbdeec9e', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495737866.986042, 1495737873.053638)]]
['getitem-4538a61140d491f5bb2a2f15d4dfe604', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('deserialize', 1495737873.05654, 1495737873.06675), ('compute', 1495737873.070023, 1495737873.070272)]]
['getitem-3c91a2790e10d1ebf4c9fa09365b4525', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495737873.072021, 1495737873.072027)]]
['getitem-f9f883c21cdbbd0942b76b4dcd8cdbf0', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495737873.072402, 1495737873.072454)]]
['getitem-35dc0541bd4d2a4d700cd119ec4f06d9', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495737873.0732949, 1495737873.0733)]]
['getitem-48e25a0009a6befff2c18409facd5a00', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495737873.073685, 1495737873.073689)]]
['block_rmsd-7e7f1bb07c9b4ae9c431df4e16857061', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495737866.9716668, 1495737873.0788689)]]
['block_rmsd-b0213262d2790a91673f08f6915cb0b1', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495737866.984109, 1495737873.081433)]]
['block_rmsd-856475051b1b6f7e91b4e9021836c097', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495737866.983325, 1495737873.085227)]]
['getitem-4b5c420acdaf8cd34a215801bae34e0e', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495737873.0832767, 1495737873.083284)]]
['getitem-6c94c477c6c821ba6c9ca2e4b114dd87', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495737873.0838828, 1495737873.0838878)]]
['getitem-87dcd7395981ddc642688dce9c6c5721', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495737873.084235, 1495737873.08424)]]
['block_rmsd-d475743242fbc9091a0b4cbab85be182', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495737866.9709451, 1495737873.085862)]]
['block_rmsd-2eccd42289f829d2097b6749532a2c28', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495737866.970797, 1495737873.083401)]]
['getitem-2ef3d7433d6517a72f839328fd38dec7', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495737873.0856779, 1495737873.0856838)]]
['getitem-eb1ec0766e746245cc6065d07e83db5b', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495737873.086202, 1495737873.0862079)]]
['getitem-2c265402aba02c6dd6038d3c3d40064d', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495737873.089813, 1495737873.089821)]]
['getitem-646843b68107c4b34792313a533d1ee7', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495737873.090406, 1495737873.090411)]]
['getitem-0cdcbd9b8532613e0ccf12d72866b2ce', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495737873.090818, 1495737873.0908241)]]
['getitem-08da12e804a02b5bb7a34d1def2d5ba7', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495737873.0912821, 1495737873.0912871)]]
['getitem-f6e3acd3663d2bf68367baf412c80670', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495737873.091824, 1495737873.09183)]]
['getitem-7f747686edc8dcd37a04756c71d2ca6a', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495737873.090842, 1495737873.090848)]]
['getitem-7fbedbb9bf7f69fe87705e07e6fb5f56', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495737873.091433, 1495737873.091438)]]
['getitem-1352940ba0aac8f20ceca77f42dfc903', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495737873.091825, 1495737873.091829)]]
['getitem-2b77c0a59210819aa93bcfa348274085', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495737873.092274, 1495737873.092278)]]
['getitem-bf2a97a969b77a576117513939bdf2c7', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495737873.092854, 1495737873.092858)]]
['getitem-8ff928a867c02411be7898451ff1e91d', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495737873.091806, 1495737873.091813)]]
['getitem-4bff5972a0512e6fa35e4997a6835ab9', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495737873.0924, 1495737873.092405)]]
['getitem-ec7b3c1d632c8197e1ba35eab068e205', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495737873.0927951, 1495737873.0928)]]
['getitem-02f18d9ab6de80e3d935c0a6970ef7db', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495737873.093259, 1495737873.093263)]]
['getitem-8cfe8370cab96458249d2f290d08b78b', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495737873.093734, 1495737873.093738)]]
['getitem-eef2796dd5aa1871d4731ee02fe73d03', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495737873.0917861, 1495737873.091792)]]
['getitem-e6aa481962417eb0387dda111a1cdf8f', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495737873.092333, 1495737873.0923371)]]
['getitem-2bf6dc0aa72068051afdf9e998094554', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495737873.092694, 1495737873.092699)]]
['getitem-7294b468f5df5f94b0c5da24549395c9', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495737873.094252, 1495737873.094257)]]
['getitem-7b3b463e06a75f408e54be969a318884', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495737873.094623, 1495737873.094628)]]
['block_rmsd-67cc14d3ddba947898d9efd56e770414', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495737866.975473, 1495737873.09091)]]
['block_rmsd-de902da6b0e9651e8b2058752bec3a51', 'processing', 'memory', 'tcp://129.114.90.205:35492', 47267737278208, [('compute', 1495737866.985498, 1495737873.096447)]]
['block_rmsd-64462f79dab4eca49634ad2bad07bd31', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495737866.970187, 1495737873.112715)]]
['getitem-074bfd60a83cb15e19f7457dfa21b447', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495737873.116106, 1495737873.116116)]]
['getitem-0793b09e4bc48fee7133af636ecda1ad', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495737873.116741, 1495737873.116745)]]
['getitem-527e9c1e3334dd5b4623710ebc1ed1da', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495737873.117105, 1495737873.117111)]]
['getitem-1066ed31533c44a119f2bf76eeb0d914', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495737873.1176279, 1495737873.1176329)]]
['getitem-3c379b37645e788468331fabc7700fa0', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495737873.118088, 1495737873.118092)]]
['block_rmsd-1332a657769c29f8deec1f64340b0d4e', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495737867.002685, 1495737873.134536)]]
['block_rmsd-35eaecdb05c9f86b5cb966aaca29cc7e', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495737866.979533, 1495737873.121974)]]
['block_rmsd-5cd433f517671030e6cf6ca9a494c241', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495737866.982725, 1495737873.121703)]]
['getitem-092716963a9927d5474705fef93210b6', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495737873.143859, 1495737873.143873)]]
['getitem-2b4495a510708db46ae7e47035a11cff', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495737873.1445808, 1495737873.144593)]]
['getitem-e961724b3392fae2d1a24f65d1073eaf', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495737873.14513, 1495737873.145139)]]
['getitem-87b893491bbcc1d42f3657b05488dd99', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495737873.145628, 1495737873.145635)]]
['getitem-f6ce45cd50c970b7bcd83fd1a60180c2', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495737873.146172, 1495737873.146178)]]
['getitem-54d4457c430dba9a518cd96604cef94f', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495737873.128566, 1495737873.128573)]]
['getitem-4e4bf37bff4fa478d00e7cc38f048117', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495737873.129166, 1495737873.129171)]]
['getitem-fae2d1a1967472640e5558a8c02c3c91', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495737873.129569, 1495737873.1295729)]]
['getitem-06999a62dd5090416fc1f23f89b85d13', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495737873.129981, 1495737873.129985)]]
['getitem-cd8008283bbbdc5ade9aa62724ea9975', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495737873.130424, 1495737873.130428)]]
