['getitem-bc7d03595375cf7c7d35c7d7078a5e70', 'processing', 'memory', 'tcp://129.114.90.153:35206', 47879174719232, [('compute', 1495740748.315377, 1495740748.315383)]]
['getitem-0e4c92298f99c5f80c915cbd2b71528d', 'processing', 'memory', 'tcp://129.114.90.153:35206', 47879174719232, [('compute', 1495740748.3157778, 1495740748.3157818)]]
['getitem-19817e832c68414df439d901d73963c2', 'processing', 'memory', 'tcp://129.114.90.153:35206', 47879174719232, [('compute', 1495740748.3161829, 1495740748.316187)]]
['getitem-759072a8b97d3cd83246521362705a93', 'processing', 'memory', 'tcp://129.114.90.153:35206', 47879174719232, [('compute', 1495740748.316609, 1495740748.316614)]]
['block_rmsd-bdff8983678ab2fe8d628f5bdd3dab14', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495740703.221307, 1495740748.9785569)]]
['getitem-623349056313e66edb3d8d8492fa2ab6', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495740748.98508, 1495740748.985085)]]
['getitem-2772c75b72261bf785fca602451ab994', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495740748.9856908, 1495740748.985697)]]
['getitem-4eefb48d6beac6604c02f4a752436089', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495740748.986093, 1495740748.986098)]]
['getitem-9689cafff7d507e05d89c9c1efc30055', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495740748.986526, 1495740748.9865298)]]
['getitem-fca5715c285e6385c473aec4aad0f750', 'processing', 'memory', 'tcp://129.114.90.205:60029', 47267737278208, [('compute', 1495740748.987027, 1495740748.987031)]]
['block_rmsd-5701a8ec50281f3ae42123f4f9021b7d', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495740703.2218971, 1495740749.029968)]]
['getitem-fc6277e907967c398d78a9e6f48eb135', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495740749.041549, 1495740749.041631)]]
['getitem-50d929e8e32ef935763263adfb02a84d', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495740749.043294, 1495740749.043411)]]
['getitem-5b0a67c6fceb1e14378d636b9209d330', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495740749.044089, 1495740749.044137)]]
['getitem-1c60529ed3d2a212a07bc6e700b6ad50', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495740749.044663, 1495740749.044667)]]
['getitem-4a2fbf901655ba1e5308970cc3986845', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495740749.0451171, 1495740749.045121)]]
['block_rmsd-c24546723e489227f6b79ff042ff51d4', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495740703.22208, 1495740749.095244)]]
['getitem-2d9103369598e4de72584fdd70d48e09', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495740749.099086, 1495740749.099092)]]
['block_rmsd-d9850d1633ee5ab23d8c05efab9b5d08', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495740703.222393, 1495740749.099252)]]
['getitem-9e00a3e8d5c898b944bf21a034964625', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495740749.099675, 1495740749.099682)]]
['getitem-c7fa39c708c1212c87f7c0f96ece9a6b', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495740749.100067, 1495740749.100072)]]
['getitem-246960247a3b80ac50cde470e18a6ac9', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495740749.100481, 1495740749.100485)]]
['getitem-73c859847b55f077f3b78fc2a5a239c9', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495740749.1009, 1495740749.100904)]]
['getitem-505a91a40bd2027c2e80bb1384ea03ac', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495740749.1039848, 1495740749.103993)]]
['getitem-3f517272970ec470849cb92b70e8a8d7', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495740749.1046488, 1495740749.10466)]]
['getitem-28c64c37227674de0e77c704ea66dcbe', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495740749.1051369, 1495740749.105146)]]
['getitem-1c6400b86074cd1ccbbc0e1e1f3ddaaf', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495740749.105502, 1495740749.105509)]]
['getitem-c939fc9df2ea7cecdd2fc12253df546c', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495740749.10608, 1495740749.106088)]]
['block_rmsd-445fc7bdc14e4c70943c1662a6a43f61', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495740703.221983, 1495740749.2503731)]]
['getitem-1ded2214f0d9866d43aafdacb7ed6e8c', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495740749.261983, 1495740749.2620761)]]
['getitem-7ba5af5a5ef85874b042984b4185d347', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495740749.263851, 1495740749.2639651)]]
['getitem-4ec02df6d53745a8520b961bd9e90799', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495740749.264513, 1495740749.264556)]]
