['getitem-7fc01d2e87c7eb826fdb9da187650e86', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495740889.200347, 1495740889.200354)]]
['getitem-399cb41d3dfe7b9295e74d50898d2d23', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495740889.200805, 1495740889.200812)]]
['getitem-1f930ac559843b4eca3a95693a86e8d1', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495740889.201284, 1495740889.2012901)]]
['getitem-8131aab7c928a0d7889b59b288f633cc', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495740889.201927, 1495740889.201934)]]
['block_rmsd-a357768061d771f23b53ab53b8a25fb8', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495740863.457676, 1495740889.2389538)]]
['getitem-adf1ab1564546766b8d27c7214a8607d', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495740889.243026, 1495740889.243034)]]
['getitem-a0e29e46ddb1cde9fba3864a31450d0b', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495740889.24363, 1495740889.243635)]]
['getitem-0c5d97575d5108433fd3c2439ef8a757', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495740889.244031, 1495740889.244036)]]
['getitem-16d76a7c30383a0a04acd8971117928a', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495740889.244649, 1495740889.244654)]]
['getitem-307a7965ed265a4fc7f4d42886a37cd7', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495740889.245211, 1495740889.245215)]]
['block_rmsd-155359688822187e0c3ddd363ea0428b', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495740863.4560559, 1495740889.246544)]]
['getitem-b8f8a56ac63f9b35eb0c22c939353eaf', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495740889.252982, 1495740889.252996)]]
['getitem-72adfb484115ab4a9c34c7c74da3f862', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495740889.253646, 1495740889.253654)]]
['getitem-1cd2f7450835db68d25a3783953f155f', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495740889.254099, 1495740889.254107)]]
['getitem-119b7ada042bfbc980bb1e08750f92b2', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495740889.254439, 1495740889.254447)]]
['getitem-ee4fdf299c12cd910f87932068767a46', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495740889.254906, 1495740889.254913)]]
['block_rmsd-ee065300285abdd55c47a95f748b236a', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495740863.457371, 1495740889.43417)]]
['getitem-dda8727c571f9272e93090ff7b1eea31', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495740889.446133, 1495740889.446442)]]
['getitem-e45a01f1ae4fa6604a420a5fd67deef0', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495740889.448252, 1495740889.448258)]]
['getitem-68bd2d0f1d222245c589819368b9d976', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495740889.448669, 1495740889.448716)]]
['getitem-5330fe3d983a4cdb753754555ea02654', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495740889.449405, 1495740889.44941)]]
['getitem-9b092af8077d85090b703eac966296fa', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495740889.449794, 1495740889.4497979)]]
['block_rmsd-d1b7a30887cc0595f16ed3b76f16a293', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495740863.457263, 1495740889.617301)]]
['getitem-dc86255d16e0d3b0be2600a0e2e84c8c', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495740889.6219919, 1495740889.622001)]]
['getitem-ac5eef3e9148f95c2731b6e4ad96980f', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495740889.622799, 1495740889.622807)]]
['getitem-3e00c5009e501ff325f4d339e8ab16cc', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495740889.623299, 1495740889.623307)]]
['getitem-4783352d322355dad6a7f8ba60c9c4b1', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495740889.623817, 1495740889.6238248)]]
['getitem-4b5ffca5d9f0c17bdfb12cf39d2f1811', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495740889.624343, 1495740889.6243658)]]
['block_rmsd-c9a0417041565452f7f5065ebf4e7135', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495740863.459972, 1495740889.7138119)]]
['getitem-5d4393088b573f27e4baf925666a5e4f', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495740889.717871, 1495740889.7178779)]]
['getitem-3df521dd530bd63f99cd65a6c0c71db0', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495740889.718488, 1495740889.718494)]]
['getitem-372ae0c052e4542e718418bea5af708c', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495740889.718886, 1495740889.718891)]]
['getitem-9481043decaf80b08d67362ac1a84b2b', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495740889.7193089, 1495740889.7193139)]]
['getitem-b891fe9994f21bdaec840d0dff0e0e07', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495740889.7197518, 1495740889.7197568)]]
['block_rmsd-f45dd8e2106266b8f66149d0ac4b795a', 'processing', 'memory', 'tcp://129.114.90.153:33997', 47879174719232, [('compute', 1495740863.449857, 1495740889.933818)]]
['getitem-c833679a00d9264701cd69a5411fe893', 'processing', 'memory', 'tcp://129.114.90.153:33997', 47879174719232, [('compute', 1495740889.948349, 1495740889.9487782)]]
['getitem-a487e167050132db4546cb65571dcf42', 'processing', 'memory', 'tcp://129.114.90.153:33997', 47879174719232, [('compute', 1495740889.950566, 1495740889.950572)]]
['getitem-9c5c21f81b01227ae09aaa8f94cf4d4b', 'processing', 'memory', 'tcp://129.114.90.153:33997', 47879174719232, [('compute', 1495740889.950997, 1495740889.951071)]]
['getitem-27c46a1f9700297989e3b5f7cf89c879', 'processing', 'memory', 'tcp://129.114.90.153:33997', 47879174719232, [('compute', 1495740889.951833, 1495740889.951837)]]
['getitem-33a7459be0ab2e27d6380f711df34ff2', 'processing', 'memory', 'tcp://129.114.90.153:33997', 47879174719232, [('compute', 1495740889.9522312, 1495740889.9522362)]]
['block_rmsd-c47b214bb8fbc3e6cefc5b64e0d2b717', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495740863.462563, 1495740890.258984)]]
['getitem-3563be62bae94bad6547126b617e924a', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495740890.2636342, 1495740890.263642)]]
['getitem-da2e44e3805e1b65493564cbbb39c9f7', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495740890.2642162, 1495740890.2642212)]]
['getitem-8c5c11439cea5f948ccf504a36418ec5', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495740890.26461, 1495740890.264615)]]
['getitem-3cd4ca589ab5c7a6d54dd467c6cfc249', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495740890.265058, 1495740890.265063)]]
['getitem-753887d967a35aba221f26709ac11ba6', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495740890.2655191, 1495740890.2655241)]]
['block_rmsd-496523de9705aecfe0dd2d1232e47b80', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495740863.459901, 1495740890.583051)]]
['getitem-2e48ebf479012355f9ee6af0025e1cd2', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495740890.588014, 1495740890.588025)]]
['getitem-393379bc9b512867580f1ad108fd5607', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495740890.588562, 1495740890.5885699)]]
['getitem-2d19e6bb5bce68ebaad65254707193a2', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495740890.589045, 1495740890.589053)]]
['getitem-087019c48987cf32e9f8c207d4fce661', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495740890.589542, 1495740890.58955)]]
['getitem-5bb222cf66c007736afb7f5be8c1c43d', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495740890.590118, 1495740890.590126)]]
['block_rmsd-2ddb13a5464ac9b62d68014d164ef980', 'processing', 'memory', 'tcp://129.114.90.206:55757', 47053804279552, [('compute', 1495740863.459856, 1495740890.764488)]]
['getitem-9c16ae6d98020b6bddea07cbea2b2988', 'processing', 'memory', 'tcp://129.114.90.206:55757', 47053804279552, [('compute', 1495740890.769199, 1495740890.769206)]]
['getitem-cf0a7d38db428469da6787c2f7c322af', 'processing', 'memory', 'tcp://129.114.90.206:55757', 47053804279552, [('compute', 1495740890.769803, 1495740890.769808)]]
['getitem-466b0b86c4e60ed39929deaeaed8122b', 'processing', 'memory', 'tcp://129.114.90.206:55757', 47053804279552, [('compute', 1495740890.770206, 1495740890.77021)]]
['getitem-3fb23ada8f8049bac57c1760531951e5', 'processing', 'memory', 'tcp://129.114.90.206:55757', 47053804279552, [('compute', 1495740890.770713, 1495740890.770717)]]
['getitem-f6003f835381b4152a106fb6810fd4f1', 'processing', 'memory', 'tcp://129.114.90.206:55757', 47053804279552, [('compute', 1495740890.771252, 1495740890.771256)]]
['block_rmsd-427b638e18f603f532a5a9a84e9a3677', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495740863.456052, 1495740890.808512)]]
['getitem-9deaedcaf271b78ea86b4ad5dbc820d5', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495740890.812477, 1495740890.812488)]]
['getitem-a8d7fca37c2c65b4f2d2935b7f3a3027', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495740890.813144, 1495740890.813152)]]
['getitem-da69807166e7848ededc5d40183bc535', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495740890.813563, 1495740890.81357)]]
['getitem-0476df0cae8992ba898f2503b2e1cbd9', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495740890.814248, 1495740890.814255)]]
['getitem-1ffad9f313369363be751f7586f6c8f1', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495740890.814984, 1495740890.814991)]]
['block_rmsd-878f8f1fef727e547d850c9949f7dc9d', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495740863.457249, 1495740891.1200469)]]
['getitem-f387d9b3a72f66fdc0c5b02e0ed95981', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495740891.1241958, 1495740891.124204)]]
