['block_rmsd-36a5376a20b16b0c4e36b95c0e0e4dbc', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495737670.259282, 1495737678.1685982)]]
['getitem-f07d7502ab105707c8e826c983330e7e', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495737678.164242, 1495737678.164249)]]
['getitem-bd3b5acbd1a6c498b0a6e3233bab6642', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495737678.164836, 1495737678.164841)]]
['getitem-4c1408398cbac0240df9f4fa138f2159', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495737678.165236, 1495737678.165241)]]
['getitem-71668851b84fb47249815d3bbf8793d7', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495737678.165644, 1495737678.165648)]]
['getitem-9092330070d34f6b51f8c8e1bab4c675', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495737678.166065, 1495737678.16607)]]
['block_rmsd-28b70d537ac14aab0fe6cece1064f30f', 'processing', 'memory', 'tcp://129.114.90.154:50140', 47744891332352, [('compute', 1495737670.266885, 1495737678.1675959)]]
['block_rmsd-f60878f050958b7ff11bace9e1a31ac5', 'processing', 'memory', 'tcp://129.114.90.153:53659', 47879174719232, [('compute', 1495737670.24781, 1495737678.174075)]]
['getitem-8bb099ad2b9e14575a506d4c60f2cefe', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495737678.174901, 1495737678.174915)]]
['getitem-e0fab04bed6ed56f12f0237c1d1e5f23', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495737678.175831, 1495737678.1758401)]]
['getitem-ccd9e5be91977b4edd7ccf2f5277ca98', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495737678.176476, 1495737678.176485)]]
['getitem-96fd629901da82bee10bf01bb24b72f5', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495737678.177069, 1495737678.177076)]]
['getitem-fe56eb64febded2c62f18c9f0dd2ce49', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495737678.177632, 1495737678.177637)]]
['block_rmsd-55bd6e52040614038c1529e27adef994', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495737670.2598739, 1495737678.1768107)]]
['block_rmsd-a896eebf853c55d8142d7e61f34a4ffa', 'processing', 'memory', 'tcp://129.114.90.154:37880', 47744891332352, [('compute', 1495737670.2654822, 1495737678.1854322)]]
