['getitem-572a3db8c140898d7af16056678ff9b0', 'processing', 'memory', 'tcp://129.114.90.153:41422', 47879174719232, [('compute', 1495737623.2016249, 1495737623.201632)]]
['getitem-ee3ac45662ee4d6976a142d07331d1f0', 'processing', 'memory', 'tcp://129.114.90.153:41422', 47879174719232, [('compute', 1495737623.202272, 1495737623.20228)]]
['getitem-cfd5061ec349747a8d4007151b7789dc', 'processing', 'memory', 'tcp://129.114.90.153:41422', 47879174719232, [('compute', 1495737623.202769, 1495737623.202775)]]
['getitem-05bf642560dd28a798f44fc691b5c178', 'processing', 'memory', 'tcp://129.114.90.153:41422', 47879174719232, [('compute', 1495737623.203321, 1495737623.203326)]]
['getitem-699887048a73a652b9ab6dc89e64c9f7', 'processing', 'memory', 'tcp://129.114.90.153:41422', 47879174719232, [('compute', 1495737623.203859, 1495737623.203865)]]
['getitem-704f262e28c5b29659f2752820a48038', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495737623.206972, 1495737623.206981)]]
['getitem-4874b2260895ae67520774183c32b99f', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495737623.207628, 1495737623.207637)]]
['getitem-2403fcfb12915a2de92cd6a099a31b75', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495737623.208092, 1495737623.208099)]]
['getitem-7c85b4b9e5684c8d76a580d4b0f0bdf5', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495737623.20843, 1495737623.208437)]]
['getitem-fe926796755bbe1b30e656ad479ecbb5', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495737623.208908, 1495737623.208914)]]
['block_rmsd-75381e6acc3f3b2558a54457e3602768', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495737613.505048, 1495737623.212457)]]
['getitem-7bec2ca5dbffda977e96f2eead963755', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495737623.217051, 1495737623.217059)]]
['getitem-7ded9fd69893c7f0132361215020f780', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495737623.217751, 1495737623.21776)]]
['getitem-d9d6d2592ec7f551f004d08a376a8119', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495737623.218255, 1495737623.218262)]]
['getitem-a0525e68f33ff87a026adcc20096358e', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495737623.218775, 1495737623.218782)]]
['getitem-efcccbe36393e42302f0841f2053de27', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495737623.219516, 1495737623.219525)]]
['block_rmsd-be303842330f7a1b8d9c7f7194290786', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495737613.517751, 1495737623.4192)]]
['getitem-6bb2b9ccd0cb37867f2bd386b00824f4', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495737623.430368, 1495737623.430468)]]
['getitem-9298800e19417628dc0bdca7f20599d0', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495737623.432189, 1495737623.432375)]]
['getitem-163d17c39c2b58be4dfd38416a3585d6', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495737623.432805, 1495737623.432849)]]
['getitem-62ac4b13b2cd7709c40689666b86a9c1', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495737623.433532, 1495737623.433537)]]
['getitem-72948f27bf551e46a4753577c347eb6b', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495737623.4339209, 1495737623.433925)]]
['block_rmsd-516dbc8be847effde4a490c8419b8f59', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495737613.512584, 1495737623.443974)]]
['block_rmsd-02acba9806bedbc3a8ed30b5b6bcb4de', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495737613.50142, 1495737623.445951)]]
['getitem-48ea8f2e5e6978dc4511022880d4b31a', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495737623.448138, 1495737623.448144)]]
['getitem-d2bd68d5bb67cfb14a5b9821a6be9e80', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495737623.449042, 1495737623.449047)]]
['getitem-2f443f3be4ddd3a849798ff03e2b6f00', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495737623.448711, 1495737623.4487169)]]
['getitem-0d7866c336305ea972b2111933f0fc3d', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495737623.449106, 1495737623.44911)]]
['getitem-3d9d79d2554bff4a24f9b98af36b5920', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495737623.449507, 1495737623.4495108)]]
['getitem-d2eb054734221ce8c14ad61941aab008', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495737623.4499679, 1495737623.449972)]]
['block_rmsd-39febd3a23c3d90ace9fb0caebba5029', 'processing', 'memory', 'tcp://129.114.90.154:49816', 47744891332352, [('compute', 1495737613.5181031, 1495737623.450242)]]
['getitem-6fab27f5488eaa6894d2eb8358ef4dfc', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495737623.449662, 1495737623.4496682)]]
['getitem-16b5db9a7263477777e7da333ba5ad92', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495737623.450064, 1495737623.450068)]]
