['getitem-bd4e4edfb6debe2428e45a7637fc5ed0', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495737545.847798, 1495737545.847804)]]
['block_rmsd-6a12b1dfcd07629212528a4605e9fda4', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737536.7535129, 1495737545.84754)]]
['getitem-53675a93622a19f61e1a8bd45758b173', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737545.853428, 1495737545.853433)]]
['getitem-6ef8628fc128551a301f1d484cf6bec8', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737545.8540318, 1495737545.8540378)]]
['getitem-98c9b923a2f5416c0f7556efb9be913a', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737545.85443, 1495737545.854435)]]
['getitem-8529fa847a2a207a3bc47ec147ad8b1a', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737545.854833, 1495737545.854837)]]
['getitem-e72cdd50e80f7222a9a8e867321dda4e', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737545.855238, 1495737545.8552418)]]
['block_rmsd-79aadf5a118972551c7abb57a36293db', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495737536.7536252, 1495737545.858218)]]
['block_rmsd-63468bc8cf779649bd8e63a0ceee668a', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495737536.75278, 1495737545.857369)]]
['block_rmsd-6ae9cb4285a8e95f94367d3466b082c1', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495737536.753091, 1495737545.859415)]]
['block_rmsd-0ad5325da8bf578151add88d1b30ed87', 'processing', 'memory', 'tcp://129.114.90.205:35492', 47267737278208, [('compute', 1495737537.132619, 1495737545.8588269)]]
['block_rmsd-b4a2c0001988cc5091f5643fc7fc5dae', 'processing', 'memory', 'tcp://129.114.90.206:49117', 47053804279552, [('compute', 1495737537.177388, 1495737545.87439)]]
['getitem-c42e2085b655efb58c868ffe5d1aea0d', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495737545.86586, 1495737545.8658688)]]
['getitem-c6e26691762189f5a161afa468996d63', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495737545.86652, 1495737545.86653)]]
['getitem-1413e3a6d0fd55edcf3a94403ddc3c4d', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495737545.8669848, 1495737545.866992)]]
['getitem-2a5d81d75f5cefd3da8f00231c9f4686', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495737545.867457, 1495737545.8674638)]]
['getitem-b20c56a422cdade9ec1f37ae42a8e75f', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495737545.867961, 1495737545.867967)]]
['getitem-43175326f4279f1770f63ed9476d1e43', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495737545.864056, 1495737545.864061)]]
['getitem-90899f0a498728bd8cbff489a98acb1a', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495737545.8646572, 1495737545.8646631)]]
['getitem-373e37276e51952c60ca8a40d220f379', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495737545.864952, 1495737545.8649561)]]
['getitem-7d9e898767744e3355d046c2ab61a420', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495737545.865417, 1495737545.86542)]]
['getitem-e7e6f7fbc677bca17f26f26042373d40', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495737545.865832, 1495737545.8658361)]]
['block_rmsd-21cf8b5975e109a2d782cef828dda7aa', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495737537.12674, 1495737545.868249)]]
['getitem-358d128ff9c959b83d3364040f37a870', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495737545.867784, 1495737545.86779)]]
['getitem-33ac0f8820e4b013da5acd9213f3586f', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495737545.8683631, 1495737545.868369)]]
['getitem-2817c6cf90caf3dba9f54d7cc5fac5f8', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495737545.8687701, 1495737545.8687801)]]
['getitem-a464f71d75615d60c4d3dc01057930f6', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495737545.869213, 1495737545.8692172)]]
['getitem-b3e03928632c7105e5a917eaee92c34f', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495737545.8697371, 1495737545.869741)]]
['block_rmsd-9cd53623cde58565bdee9ca6f77a3852', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495737536.750708, 1495737545.874729)]]
['getitem-b2be9390a404fefb447d69b8f7ca8e4d', 'processing', 'memory', 'tcp://129.114.90.205:35492', 47267737278208, [('compute', 1495737545.867678, 1495737545.867689)]]
['getitem-e1874fdb6fe1aab16f3a04ad7448311a', 'processing', 'memory', 'tcp://129.114.90.205:35492', 47267737278208, [('compute', 1495737545.868373, 1495737545.868383)]]
['getitem-6474b4ca54a73f0aad672a460e2fe430', 'processing', 'memory', 'tcp://129.114.90.205:35492', 47267737278208, [('compute', 1495737545.868747, 1495737545.8687558)]]
['getitem-f7675ad0a88839fe6dc77e7d630116fd', 'processing', 'memory', 'tcp://129.114.90.205:35492', 47267737278208, [('compute', 1495737545.869371, 1495737545.8693779)]]
['getitem-ff3f3c82de11a5a498fec5ce8f5d9f35', 'processing', 'memory', 'tcp://129.114.90.205:35492', 47267737278208, [('compute', 1495737545.870002, 1495737545.870009)]]
['block_rmsd-6831b6df1ba2552ac663ed8428b5816e', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495737536.7507648, 1495737545.863119)]]
['block_rmsd-e0f6146ef252cb3de611f0080472ac03', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495737536.7484179, 1495737545.8862648)]]
['block_rmsd-8e872c20c9e279fc16f932f52728a1a7', 'processing', 'memory', 'tcp://129.114.90.154:49816', 47744891332352, [('compute', 1495737536.75381, 1495737545.883051)]]
['getitem-1f88754c3046ac0f5a672f0a90685d80', 'processing', 'memory', 'tcp://129.114.90.206:49117', 47053804279552, [('compute', 1495737545.888983, 1495737545.888992)]]
['getitem-d4899a8819efdbe989248a798d036b35', 'processing', 'memory', 'tcp://129.114.90.206:49117', 47053804279552, [('compute', 1495737545.889647, 1495737545.889657)]]
['getitem-590662ccfeb6b51c84570187023e286a', 'processing', 'memory', 'tcp://129.114.90.206:49117', 47053804279552, [('compute', 1495737545.890167, 1495737545.890174)]]
['getitem-f6d87b5e3d9a0d627961cfb688ed37dd', 'processing', 'memory', 'tcp://129.114.90.206:49117', 47053804279552, [('compute', 1495737545.890714, 1495737545.8907208)]]
['getitem-ffdb7a19ffaeeb9fccb2e89d5d573c65', 'processing', 'memory', 'tcp://129.114.90.206:49117', 47053804279552, [('compute', 1495737545.8914618, 1495737545.891469)]]
['getitem-092c33f45c4586b7f74fae4722bef6d9', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495737545.890239, 1495737545.890248)]]
['getitem-cfa5b3a2b30c5b189fc1c8bd4f4154a3', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495737545.891008, 1495737545.891018)]]
['getitem-d20c2ad77e67cee62399ae54789b1617', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495737545.891485, 1495737545.891493)]]
['getitem-397d1f64a50965ee0b7db67830543e98', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495737545.891916, 1495737545.891923)]]
['getitem-c57aa1ddb41980a35205d3bbd4c094ec', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495737545.8925169, 1495737545.892525)]]
['getitem-76a58de12d4a57457100ff5ce838a778', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495737545.891468, 1495737545.891474)]]
['getitem-4c9ec31a0060a6a8ffa60503092f5604', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495737545.892054, 1495737545.89206)]]
['getitem-2255afe7a3616f2f45b8c69ed5f789e5', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495737545.892457, 1495737545.892462)]]
['getitem-48bc4bdcdd44d27ca7807cc0513cfb31', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495737545.892911, 1495737545.892916)]]
['getitem-ba029feee1002abaeb89919d4e544068', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495737545.893543, 1495737545.893547)]]
['getitem-dfab34647dff8d5a66bb6103f57ec0b8', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495737545.891542, 1495737545.8916068)]]
['getitem-682fda6cdd62079748f4467166f717b4', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495737545.8922389, 1495737545.89235)]]
['getitem-86381f2636b1426b5011f5225d785981', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495737545.892757, 1495737545.8927999)]]
['getitem-5134168444e52e72f99ebeff9c8d63a9', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495737545.893205, 1495737545.89321)]]
['getitem-9a27e88388af3d789f10b5a12a7bdc80', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495737545.8937469, 1495737545.8937519)]]
['block_rmsd-43113eefcbd6bf9c167b4c7d647298d3', 'processing', 'memory', 'tcp://129.114.90.153:46170', 47879174719232, [('compute', 1495737536.743932, 1495737545.898346)]]
['block_rmsd-c4821905b73ef34c6f0f6b3523f24303', 'processing', 'memory', 'tcp://129.114.90.153:41422', 47879174719232, [('compute', 1495737537.1269147, 1495737545.9039378)]]
['block_rmsd-c6ba5451e205e68ba510137d75fd260c', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495737536.753774, 1495737545.907506)]]
['getitem-df8d5558d9512814faa691a2348f4a61', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495737545.8975658, 1495737545.8975718)]]
['getitem-c25ba5aa0b9b461ef78048e5e2218a16', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495737545.8981209, 1495737545.8981268)]]
['getitem-42818b25a4276b2714930da22e3a13b1', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495737545.898589, 1495737545.898594)]]
['getitem-3a338efce294719ce5d0381ef8b75c80', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495737545.899169, 1495737545.899174)]]
['getitem-ca7c1f762327478c02f746adc86c74e3', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495737545.899618, 1495737545.8996239)]]
['block_rmsd-bc2fc2ba0cdbe0a1a34343ec69378a76', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495737537.358136, 1495737545.905365)]]
['getitem-8505c3266dfb53679138fbae31e37862', 'processing', 'memory', 'tcp://129.114.90.154:49816', 47744891332352, [('compute', 1495737545.897623, 1495737545.897631)]]
['getitem-10f8e24a75bcb1ad3c0de310406f5307', 'processing', 'memory', 'tcp://129.114.90.154:49816', 47744891332352, [('compute', 1495737545.898272, 1495737545.898282)]]
['getitem-81f080d5b582e9595440b18dd5a8ef31', 'processing', 'memory', 'tcp://129.114.90.154:49816', 47744891332352, [('compute', 1495737545.898726, 1495737545.898733)]]
['getitem-058f87d1e3c6b69eb5e814e2bb3ac79c', 'processing', 'memory', 'tcp://129.114.90.154:49816', 47744891332352, [('compute', 1495737545.899216, 1495737545.899223)]]
['getitem-cd329bd494df1fae01bf9da29247492a', 'processing', 'memory', 'tcp://129.114.90.154:49816', 47744891332352, [('compute', 1495737545.8998399, 1495737545.899847)]]
['block_rmsd-cd1256e1fa8da5c01292eaf79c263a56', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495737536.7528768, 1495737545.898135)]]
['block_rmsd-4853344e4c894db8853fdcd8d33cecd8', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495737537.1328928, 1495737545.9014258)]]
['block_rmsd-1baa9ad5a15cce38f167b61664e93b85', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495737536.763619, 1495737545.9090939)]]
['block_rmsd-8d0f59c529355ef107a718a07961fdb6', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495737536.7526968, 1495737545.912664)]]
['block_rmsd-b0ac7cea031e2a9949389400010aade9', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495737536.752429, 1495737545.91834)]]
['block_rmsd-c3215b69ff685e9e15f491fe1239886f', 'processing', 'memory', 'tcp://129.114.90.154:37880', 47744891332352, [('compute', 1495737536.748328, 1495737545.910088)]]
['block_rmsd-d923b15157a438233e45a9d4e4a11583', 'processing', 'memory', 'tcp://129.114.90.205:35149', 47267737278208, [('compute', 1495737536.751929, 1495737545.92029)]]
['getitem-6d8ac07e840d0dc8aae9731123f0b4ac', 'processing', 'memory', 'tcp://129.114.90.153:41422', 47879174719232, [('compute', 1495737545.930538, 1495737545.930543)]]
['getitem-10d31e7017bf2aa18f41455b7e84c17b', 'processing', 'memory', 'tcp://129.114.90.153:41422', 47879174719232, [('compute', 1495737545.93115, 1495737545.931156)]]
['getitem-11b42bb8bdff6201ab5b358ebfc515c9', 'processing', 'memory', 'tcp://129.114.90.153:41422', 47879174719232, [('compute', 1495737545.9315758, 1495737545.9315798)]]
['getitem-62c210f1311304985b5013380a3169a1', 'processing', 'memory', 'tcp://129.114.90.153:41422', 47879174719232, [('compute', 1495737545.931943, 1495737545.9319468)]]
['getitem-dcf278c2ae3dcb7e5e15387755397612', 'processing', 'memory', 'tcp://129.114.90.153:41422', 47879174719232, [('compute', 1495737545.9326298, 1495737545.9326339)]]
['getitem-5d32dc8f7775432c8c022249d251fda1', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495737545.931621, 1495737545.931629)]]
['getitem-0e37a354db77d251403da73c52adbefa', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495737545.9323452, 1495737545.932353)]]
