['getitem-cd0d6821aae043abd702437bfce4a1b5', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495737523.024582, 1495737523.024586)]]
['getitem-e01c146e3d727b3827290022d7d2aa37', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495737523.025101, 1495737523.025105)]]
['block_rmsd-ca69c523c6aa856d8fd3653f09d18354', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495737514.248923, 1495737523.022645)]]
['block_rmsd-782167a971c53964301ab5e2c259ca1c', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495737514.2050962, 1495737523.0276272)]]
['getitem-38f89c97380755acea2f0f435e554413', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495737523.027132, 1495737523.027137)]]
['getitem-405851b03111d1c931b9341395ae5879', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495737523.027744, 1495737523.02775)]]
['getitem-ddb2636274829f5ba5cd7e51f3c80526', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495737523.02816, 1495737523.028165)]]
['getitem-9a9bf3a860fc2c8f7b74477247573acd', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495737523.028598, 1495737523.028603)]]
['getitem-fd0bd9d1a14e0af90ae74cc7269fe041', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495737523.0290241, 1495737523.029028)]]
['block_rmsd-47b330e878c4107e734d48480b514167', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495737513.8771462, 1495737523.041912)]]
['getitem-3afaf2ecf170f18cd7db84f7c4ea75bd', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495737523.029491, 1495737523.029499)]]
['getitem-e9fbc8cc6d3aeba8cd1600dff37cb52f', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495737523.030126, 1495737523.030135)]]
['getitem-ac33b2444862c847a530b716f7546a11', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495737523.030588, 1495737523.030595)]]
['getitem-8a7788c22df779deb9d85ab54f361bc6', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495737523.031117, 1495737523.031125)]]
['getitem-c2b38e8f7254be50e0b2a8c40c292308', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495737523.031677, 1495737523.031684)]]
['block_rmsd-bc8b98d9d1fa2c0d9ec5471805d18869', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495737513.8479521, 1495737523.02693)]]
['block_rmsd-07d980f4e2757bbd1a4a7df1bd18a2a6', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495737514.20398, 1495737523.036448)]]
['getitem-394686a9e46fd24e6e8b3caf66f2c57a', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495737523.033558, 1495737523.033564)]]
['getitem-5ec450cf83bf75e7c415bbcf4c733609', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495737523.034167, 1495737523.034174)]]
['getitem-e8c3e18096255910d1483a7c3923c31e', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495737523.034585, 1495737523.03459)]]
['getitem-1d128f42fee683a25d6b87c35442da9c', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495737523.034996, 1495737523.035001)]]
['getitem-4f128ef5d424f992c33106ce9072c48d', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495737523.035467, 1495737523.035471)]]
['getitem-7b5254a1e069efc5c83b5d4516c47882', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495737523.0405571, 1495737523.040564)]]
['getitem-67cf5650f1d10d584e29b66caa103574', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495737523.041187, 1495737523.0411942)]]
['getitem-506a310bfc6b4d80e24088777403132c', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495737523.0416062, 1495737523.0416112)]]
['getitem-0ea9103d2f9f9c30ad21b74236208644', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495737523.0420291, 1495737523.0420332)]]
['getitem-cd2ebf2b993348cad2f074af5d7c0110', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495737523.0424612, 1495737523.0424652)]]
['getitem-cf66dd70ef9612f6348ccfe2585873c0', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495737523.045126, 1495737523.045132)]]
['getitem-b0948e66b9feb73478073dc66ffe5c65', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495737523.045706, 1495737523.045712)]]
['getitem-e5cbc2bc6703a0e84043bede0ae0f40d', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495737523.046073, 1495737523.046078)]]
['getitem-7cc06be6aa84e8d1ef8fc8208d751361', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495737523.046613, 1495737523.046617)]]
['getitem-ca216ae1214028a54c19442c02df3d8c', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495737523.047064, 1495737523.047068)]]
['block_rmsd-7796390115279dd79f471ba319d4e6ba', 'processing', 'memory', 'tcp://129.114.90.153:55216', 47879174719232, [('compute', 1495737513.8506222, 1495737523.045979)]]
['block_rmsd-b7e24487d494903df8ecec066210cc9e', 'processing', 'memory', 'tcp://129.114.90.153:51470', 47879174719232, [('compute', 1495737513.847022, 1495737523.049045)]]
['block_rmsd-198cd47c26a0c38459d6c68acab2e9db', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495737513.854856, 1495737523.049139)]]
['block_rmsd-6f285eac1bd5df31aede4dd8d71ebce1', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495737514.259718, 1495737523.060641)]]
['getitem-5f98aa1d3d7ff668e2048daa8799fefc', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495737523.0587432, 1495737523.0587492)]]
['getitem-3b841aec33fb8fdba1d01d1485dff20b', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495737523.059312, 1495737523.059318)]]
['getitem-5eff9a09eccdff6da94fd48748e0e8df', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495737523.0597022, 1495737523.0597072)]]
['getitem-1c2e405519f1ebf9bf479bd24f216754', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495737523.060312, 1495737523.060317)]]
['getitem-cddbc4e00389820a29f3cd23b2eeb6b4', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495737523.060779, 1495737523.060784)]]
['block_rmsd-fba3181b60c8a4521fa30885b3b06003', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737514.2459, 1495737523.044154)]]
['getitem-548f5ff18e45629d09ea986b8b85e421', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495737523.052367, 1495737523.052378)]]
