['getitem-bda5fcfb8052a62c89fc7ccc9a30b013', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495742278.8513, 1495742278.851304)]]
['block_rmsd-8b2377c70d5d60e312042a19c22a8743', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495742263.2103152, 1495742278.9166923)]]
['getitem-663e5e9d91a2c201a587785f25096a1a', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495742278.9215682, 1495742278.9215732)]]
['getitem-bda60f3f5b0a03943828c1ff494a696d', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495742278.9221673, 1495742278.9221733)]]
['getitem-bb0475dcaf3a5070e12d34eaf7b0542d', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495742278.9225771, 1495742278.9225821)]]
['getitem-5cb1d948c9e397a82e24e69bc3a5897f', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495742278.92299, 1495742278.9229941)]]
['getitem-c35196e3104e2a7583df008a2020bc13', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495742278.9234662, 1495742278.9234703)]]
['block_rmsd-9b8ff1ba1981935e8bdf05b5b266c58b', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495742263.217448, 1495742278.9406261)]]
['getitem-1abbabae3da1e6cd445b6c837940f521', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495742278.944308, 1495742278.944314)]]
['getitem-52d6709a44bd45cf3b81cca862423bf3', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495742278.944901, 1495742278.9449072)]]
['getitem-78b1c01ab97b9eb1a9a3828759753b18', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495742278.94531, 1495742278.9453151)]]
['getitem-26dc425e0653a1dff84d3ee08a3c6449', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495742278.945724, 1495742278.945728)]]
['getitem-d1226cb4b3e38aa8209cfb18c8568685', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495742278.94631, 1495742278.946315)]]
['block_rmsd-452aa76d6e5e04b41451acfe0ffa338a', 'processing', 'memory', 'tcp://129.114.90.153:33997', 47879174719232, [('compute', 1495742263.2113073, 1495742278.9991243)]]
['getitem-64f4c6c07a42cec432da7ead5d9f22e4', 'processing', 'memory', 'tcp://129.114.90.153:33997', 47879174719232, [('compute', 1495742279.0034482, 1495742279.0034573)]]
['getitem-521d5f5c37ff51c6564400cc88d18b35', 'processing', 'memory', 'tcp://129.114.90.153:33997', 47879174719232, [('compute', 1495742279.00412, 1495742279.0041313)]]
['getitem-39890a9aa0627106ec5627d7cacf2095', 'processing', 'memory', 'tcp://129.114.90.153:33997', 47879174719232, [('compute', 1495742279.0045853, 1495742279.0045943)]]
['getitem-4ae64a5ff604e5fdd24e3b80fbab5512', 'processing', 'memory', 'tcp://129.114.90.153:33997', 47879174719232, [('compute', 1495742279.0050123, 1495742279.0050201)]]
['getitem-cff3209f179d0b426801f2c12158c8ea', 'processing', 'memory', 'tcp://129.114.90.153:33997', 47879174719232, [('compute', 1495742279.0056622, 1495742279.005669)]]
['block_rmsd-c520a0c0ecae05bbb7f6e9d4053b9d09', 'processing', 'memory', 'tcp://129.114.90.153:53659', 47879174719232, [('compute', 1495742263.208967, 1495742279.004887)]]
['getitem-61ae478d88b97b1a939e1c4ecd6195cb', 'processing', 'memory', 'tcp://129.114.90.153:53659', 47879174719232, [('compute', 1495742279.0097032, 1495742279.009712)]]
['getitem-cda1a16120cfa061406ff9fa62aa8b74', 'processing', 'memory', 'tcp://129.114.90.153:53659', 47879174719232, [('compute', 1495742279.010361, 1495742279.010375)]]
['getitem-7e3830f1a45bb8749b61627027831b9f', 'processing', 'memory', 'tcp://129.114.90.153:53659', 47879174719232, [('compute', 1495742279.010791, 1495742279.010797)]]
['getitem-00060ebc0f0145080045d0e4f60d7695', 'processing', 'memory', 'tcp://129.114.90.153:53659', 47879174719232, [('compute', 1495742279.011248, 1495742279.011254)]]
['getitem-5972bddd451d642a6bc966350dab16db', 'processing', 'memory', 'tcp://129.114.90.153:53659', 47879174719232, [('compute', 1495742279.0117872, 1495742279.011791)]]
['block_rmsd-ca10abae751567f6db273a430366fda3', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495742263.225741, 1495742279.028414)]]
['getitem-19e3a046c8d8f8a6d1155198ffd68189', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495742279.032358, 1495742279.032364)]]
['getitem-21509ba193a8adc809467df3d5f577e9', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495742279.033012, 1495742279.0330179)]]
['getitem-f325f6535bc8a17d5555fcca56a89a0a', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495742279.033423, 1495742279.033428)]]
['getitem-22a368663ba15b70135e1f2062bbe114', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495742279.033829, 1495742279.033834)]]
['getitem-24487bf11d54f21040439d9e24137f19', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495742279.034257, 1495742279.034261)]]
['block_rmsd-59f79410ea6cddcfc06fde3b0640b83a', 'processing', 'memory', 'tcp://129.114.90.153:41422', 47879174719232, [('compute', 1495742263.215486, 1495742279.163425)]]
['getitem-2648c1d5dfe437f0209a982e38345d6c', 'processing', 'memory', 'tcp://129.114.90.153:41422', 47879174719232, [('compute', 1495742279.16749, 1495742279.167495)]]
['getitem-607e53e44be477adc3b1322e82138f3e', 'processing', 'memory', 'tcp://129.114.90.153:41422', 47879174719232, [('compute', 1495742279.168093, 1495742279.168099)]]
['getitem-1e69c17d60c6a5b40ee46ffeec020010', 'processing', 'memory', 'tcp://129.114.90.153:41422', 47879174719232, [('compute', 1495742279.168495, 1495742279.168499)]]
['getitem-6649e1367c4019803ce317aabdcaff0a', 'processing', 'memory', 'tcp://129.114.90.153:41422', 47879174719232, [('compute', 1495742279.168926, 1495742279.1689289)]]
['getitem-6dc9187a89aafe7b561322766ac5c5a0', 'processing', 'memory', 'tcp://129.114.90.153:41422', 47879174719232, [('compute', 1495742279.1693609, 1495742279.169365)]]
['block_rmsd-1bab8a1a68603bc0feb7b9e54590291d', 'processing', 'memory', 'tcp://129.114.90.154:43040', 47744891332352, [('compute', 1495742263.246819, 1495742279.223784)]]
['getitem-c6af5235b4835a056caeed3929214c41', 'processing', 'memory', 'tcp://129.114.90.154:43040', 47744891332352, [('compute', 1495742279.238833, 1495742279.238933)]]
['getitem-e50f4178851964d28203150962e0c757', 'processing', 'memory', 'tcp://129.114.90.154:43040', 47744891332352, [('compute', 1495742279.240731, 1495742279.241021)]]
