['getitem-d7455f882eef30dd53fc50313e726ad7', 'processing', 'memory', 'tcp://129.114.90.153:33997', 47879174719232, [('compute', 1495741449.445833, 1495741449.445843)]]
['getitem-dd764273a5d4754c1d9cb028a8b818ad', 'processing', 'memory', 'tcp://129.114.90.153:33997', 47879174719232, [('compute', 1495741449.446153, 1495741449.446157)]]
['getitem-87aa944b34394f80726178a7915bd492', 'processing', 'memory', 'tcp://129.114.90.153:33997', 47879174719232, [('compute', 1495741449.446696, 1495741449.4467)]]
['getitem-dcf6d689dd12e343511ab3d1acbae4f8', 'processing', 'memory', 'tcp://129.114.90.153:33997', 47879174719232, [('compute', 1495741449.447173, 1495741449.447177)]]
['block_rmsd-66b761dcca56b23b209ae879d0553ff3', 'processing', 'memory', 'tcp://129.114.90.153:33587', 47879174719232, [('compute', 1495741424.352008, 1495741449.532584)]]
['getitem-f26122814afc3fbc319ef2ee3cee6285', 'processing', 'memory', 'tcp://129.114.90.153:33587', 47879174719232, [('compute', 1495741449.536931, 1495741449.536937)]]
['getitem-ac5d8416048e2236cd756e35624efb99', 'processing', 'memory', 'tcp://129.114.90.153:33587', 47879174719232, [('compute', 1495741449.537546, 1495741449.537553)]]
['getitem-e254f6cbeef78c08ef6acdae5fe2b5b9', 'processing', 'memory', 'tcp://129.114.90.153:33587', 47879174719232, [('compute', 1495741449.537955, 1495741449.537961)]]
['getitem-11d302fede623ad2a9b20a8a554dd748', 'processing', 'memory', 'tcp://129.114.90.153:33587', 47879174719232, [('compute', 1495741449.538415, 1495741449.53842)]]
['getitem-8722c15e55dd8691ae081f9c497a187c', 'processing', 'memory', 'tcp://129.114.90.153:33587', 47879174719232, [('compute', 1495741449.538933, 1495741449.538938)]]
['block_rmsd-fa07d214adf3e2329c258d060daadd4b', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495741424.3679938, 1495741449.9949589)]]
['block_rmsd-79f13796018b00da5e3c824d3258ef5c', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495741424.3611062, 1495741450.0023122)]]
['getitem-0516891e51f84b5e354985f97bb11432', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495741450.0060742, 1495741450.0060802)]]
['getitem-6135ce53bf931a2720fc88cb1e2bed7e', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495741450.0066612, 1495741450.0066671)]]
['getitem-4fbccf922767438614a34ff02860d757', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495741450.0070662, 1495741450.0070713)]]
['getitem-330ad041fb0ddef45f66c167849022c0', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495741450.0075283, 1495741450.0075321)]]
['getitem-d8882a46a933627b09712cd4db7aa0b7', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495741450.0079842, 1495741450.0079892)]]
['getitem-65ef6a16d87f22d89e5be253b86199b9', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495741450.006835, 1495741450.006919)]]
['getitem-377e92c870ea7240eb0cc0570efbdb0f', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495741450.008633, 1495741450.0088468)]]
['getitem-73fa25af0d60287f584e2260e7f28e7a', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495741450.0095258, 1495741450.009568)]]
['getitem-acb8a143e5425b48f1da252a076d9dad', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495741450.010064, 1495741450.010069)]]
['getitem-f44fcc1939b51776658a684f833f7b16', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495741450.0104878, 1495741450.0104918)]]
['block_rmsd-4f7a359c4113ecf4fe4dc7f08f93603c', 'processing', 'memory', 'tcp://129.114.90.153:51470', 47879174719232, [('compute', 1495741424.3509479, 1495741450.09057)]]
['getitem-fed8b570e36894d9ce67fdf124ab7ded', 'processing', 'memory', 'tcp://129.114.90.153:51470', 47879174719232, [('compute', 1495741450.094508, 1495741450.094517)]]
['getitem-2f7ef405e1c0fbc2ebb51a452bc0754c', 'processing', 'memory', 'tcp://129.114.90.153:51470', 47879174719232, [('compute', 1495741450.095207, 1495741450.095216)]]
['getitem-abbede4821d96646e19216e09844c936', 'processing', 'memory', 'tcp://129.114.90.153:51470', 47879174719232, [('compute', 1495741450.0957448, 1495741450.095752)]]
