['getitem-e1eae4c7b6fea0bb25879f0c21d4cc3f', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495741729.825145, 1495741729.825191)]]
['getitem-02bb5303b3a629274d8f3cb7d96a132a', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495741729.825815, 1495741729.825819)]]
['getitem-f221403be399154ecfc8c1c5b19a4f7e', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495741729.826342, 1495741729.826347)]]
['block_rmsd-37e31b4d935a1767910dddfc3c42557c', 'processing', 'memory', 'tcp://129.114.90.154:45682', 47744891332352, [('compute', 1495741710.3349202, 1495741729.9469843)]]
['getitem-5ef666998eefb3a2f2d5ff3966d0f189', 'processing', 'memory', 'tcp://129.114.90.154:45682', 47744891332352, [('compute', 1495741729.9510033, 1495741729.9510102)]]
['getitem-0de56ffa9b259618de8992ad35ee9824', 'processing', 'memory', 'tcp://129.114.90.154:45682', 47744891332352, [('compute', 1495741729.9516113, 1495741729.9516163)]]
['getitem-56e875052112d80b6e70e17c719cae1b', 'processing', 'memory', 'tcp://129.114.90.154:45682', 47744891332352, [('compute', 1495741729.9520042, 1495741729.9520082)]]
['getitem-b6cc0de867fda962852977c2fe71fc6c', 'processing', 'memory', 'tcp://129.114.90.154:45682', 47744891332352, [('compute', 1495741729.952402, 1495741729.9524062)]]
['getitem-f96bffaf6e6dc3eaacdb0a50da0ac306', 'processing', 'memory', 'tcp://129.114.90.154:45682', 47744891332352, [('compute', 1495741729.9529371, 1495741729.9529412)]]
['block_rmsd-d23556ba89ff6c623c5f63afd59c76ca', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495741710.329438, 1495741729.9713578)]]
['getitem-9c6b325f5040bd395e9a7a0ea1f54abe', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495741729.9759738, 1495741729.9759848)]]
['getitem-656942d8ab7ddd7d5c511f90378fd0ba', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495741729.976604, 1495741729.976614)]]
['getitem-8e3b2e5e0aa96a520037ffa1eb96c84f', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495741729.9771488, 1495741729.977156)]]
['getitem-30449896cb970c5802ab486dd1939a09', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495741729.977747, 1495741729.9777539)]]
['getitem-483962e1cbb53fa8b23c37db5636234e', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495741729.9781828, 1495741729.97819)]]
['block_rmsd-25754af28216f7c88e0b87f425b93c12', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495741710.334468, 1495741730.026382)]]
['getitem-42c00ee34447b5aa0ba8047946cf73de', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495741730.030691, 1495741730.0306988)]]
['getitem-f148f57ba81912f309811e6624ddc35b', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495741730.031271, 1495741730.031276)]]
['getitem-828c16af5cb93fd837b8a5a4191af365', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495741730.031662, 1495741730.031667)]]
['getitem-f48dc194731090929985dfb9f8d98ae1', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495741730.0321088, 1495741730.0321128)]]
['getitem-f4aca8cecb457a97356210a534c5866c', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495741730.032533, 1495741730.032537)]]
['block_rmsd-fecffa8d51d4f6757a02d987fd97b092', 'processing', 'memory', 'tcp://129.114.90.205:34389', 47267737278208, [('compute', 1495741710.328807, 1495741730.213759)]]
['getitem-b0ec7537bf4e3571c7b4acfa341c391d', 'processing', 'memory', 'tcp://129.114.90.205:34389', 47267737278208, [('compute', 1495741730.217757, 1495741730.2177641)]]
['getitem-933219880825ecfa816ed999f5e08839', 'processing', 'memory', 'tcp://129.114.90.205:34389', 47267737278208, [('compute', 1495741730.218337, 1495741730.218342)]]
['getitem-baf570906a94a77049a3bbf96d0e4339', 'processing', 'memory', 'tcp://129.114.90.205:34389', 47267737278208, [('compute', 1495741730.218725, 1495741730.218729)]]
['getitem-6fe48d7c472d4a201d24218b0aa814e9', 'processing', 'memory', 'tcp://129.114.90.205:34389', 47267737278208, [('compute', 1495741730.219137, 1495741730.219142)]]
['getitem-882e40287d5051a39295766d1707e5eb', 'processing', 'memory', 'tcp://129.114.90.205:34389', 47267737278208, [('compute', 1495741730.219579, 1495741730.219583)]]
['block_rmsd-0ea5862a3c13ca4749798ff378b48f88', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495741710.334009, 1495741730.5928519)]]
['getitem-284010316099fe5f56e86cc94ee7a6d5', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495741730.59712, 1495741730.597127)]]
['getitem-ab2235f7109c59e512a3cde4e2574b82', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495741730.597734, 1495741730.597739)]]
['getitem-f27334423cc35b63c9cfb0d122346bfd', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495741730.59813, 1495741730.598135)]]
['getitem-0325f746c79838dbe2d7dec1ad232304', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495741730.598574, 1495741730.598578)]]
['getitem-29fa38b63d4e878ee0818924b3c5dbd1', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495741730.5990329, 1495741730.599037)]]
['block_rmsd-b333fd84d4f7a0ccdfa5906554fb5761', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495741710.328162, 1495741730.645025)]]
['getitem-9e293203faf3a5662d59c2b141ba47e1', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495741730.649163, 1495741730.6491702)]]
['getitem-4de653a318805c8f91d9b7b89df9edcd', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495741730.649696, 1495741730.649701)]]
['getitem-7e75ca212444b00e593325427795d91d', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495741730.650144, 1495741730.6501482)]]
['getitem-3b29b02bbbf5e1c25b49e55d0930a911', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495741730.6507092, 1495741730.650713)]]
['getitem-bf84d6698ea0c535baf3676661f4fca5', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495741730.651171, 1495741730.651175)]]
