['getitem-d7c907c458f0bb2bcdc2691f580f7ea3', 'processing', 'memory', 'tcp://129.114.90.154:49816', 47744891332352, [('compute', 1495740426.001215, 1495740426.001244)]]
['getitem-57bf988b38515e3dcaea37b9a010bded', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495740426.0036252, 1495740426.0036302)]]
['getitem-e234b4ae9cce2cd4be2b354729d945dc', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495740426.004229, 1495740426.004234)]]
['getitem-f62dafeb5adc6b5b661cf9c0dbf273f1', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495740426.004632, 1495740426.004636)]]
['getitem-04ae2d868ba17e1af3d8fcfa682539b8', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495740426.005024, 1495740426.005028)]]
['getitem-a393c2cd8e7671e106e9473e00f964bf', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495740426.0056372, 1495740426.005641)]]
['block_rmsd-d8fdb6d9b66efc0c4c261efdd2ac6c69', 'processing', 'memory', 'tcp://129.114.90.153:51470', 47879174719232, [('compute', 1495740381.470609, 1495740426.025326)]]
['getitem-439537071fc4334f990cedca6c57b1de', 'processing', 'memory', 'tcp://129.114.90.153:51470', 47879174719232, [('compute', 1495740426.030742, 1495740426.0307481)]]
['getitem-9eb7822d3f91b2e90c7818bbf824a549', 'processing', 'memory', 'tcp://129.114.90.153:51470', 47879174719232, [('compute', 1495740426.0313451, 1495740426.031352)]]
['getitem-c2f8d19de10153dbaeabeb63c8df3626', 'processing', 'memory', 'tcp://129.114.90.153:51470', 47879174719232, [('compute', 1495740426.031749, 1495740426.031754)]]
['getitem-685ad78f20bce45a0c2da9b97971b850', 'processing', 'memory', 'tcp://129.114.90.153:51470', 47879174719232, [('compute', 1495740426.032186, 1495740426.03219)]]
['getitem-e64f78c9062186e592c8ba0a6a1a523c', 'processing', 'memory', 'tcp://129.114.90.153:51470', 47879174719232, [('compute', 1495740426.032618, 1495740426.032622)]]
['block_rmsd-3603cba0463f90d091beab2ebbc64393', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495740381.4696598, 1495740426.0413017)]]
['getitem-8361825af5bd0962fc44b3221d81efc2', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495740426.0480497, 1495740426.048056)]]
['getitem-a97ed5fbace5780328dd8ab21aa402e6', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495740426.048642, 1495740426.0486479)]]
['getitem-e02781e0533456111df68edfe0bb8b7c', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495740426.0490677, 1495740426.0490727)]]
['getitem-9dcfc6990d3627af662e33dff2ad5764', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495740426.0496638, 1495740426.0496688)]]
['getitem-d2b4bf318104427e07a53111ec09c462', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495740426.0502548, 1495740426.0502589)]]
['block_rmsd-e8a6a1d1113b89c90d6ca2b4f0373731', 'processing', 'memory', 'tcp://129.114.90.153:36060', 47879174719232, [('compute', 1495740381.4679239, 1495740426.082552)]]
['getitem-c15108382095608ed1ef35cef5c2203a', 'processing', 'memory', 'tcp://129.114.90.153:36060', 47879174719232, [('compute', 1495740426.086814, 1495740426.08682)]]
['getitem-5fc4a60b546c8ad476d5f10fc55451bc', 'processing', 'memory', 'tcp://129.114.90.153:36060', 47879174719232, [('compute', 1495740426.0874128, 1495740426.0874188)]]
['getitem-5d045670b12e4dd6efd36d6401ea4a44', 'processing', 'memory', 'tcp://129.114.90.153:36060', 47879174719232, [('compute', 1495740426.0878148, 1495740426.0878198)]]
['getitem-2cc0c1abbf224d49ebd2d4de0b550d1b', 'processing', 'memory', 'tcp://129.114.90.153:36060', 47879174719232, [('compute', 1495740426.088274, 1495740426.088279)]]
['getitem-5e320e334a730d5cb5081b6f70728aac', 'processing', 'memory', 'tcp://129.114.90.153:36060', 47879174719232, [('compute', 1495740426.0887408, 1495740426.088749)]]
['block_rmsd-477ba207fc522bf14bdbc76cbd306965', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495740381.469352, 1495740426.098209)]]
['getitem-9ffba262c92792184a5f1812018762a3', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495740426.102495, 1495740426.1025)]]
['getitem-ecf0b3c69ae3b41ca987f9fe0bf559a6', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495740426.103106, 1495740426.103113)]]
['getitem-0cce81d38e98d06497f6ccc5f8d135e5', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495740426.103525, 1495740426.10353)]]
['getitem-0999438bc0963e7aa408ba3ac69b24a8', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495740426.103949, 1495740426.103953)]]
['getitem-9f31a388ed39271ff21da67ae0a017c6', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495740426.1043959, 1495740426.1044)]]
['block_rmsd-95a3a03ce0b1bd5b801ba3a48f0862ea', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495740381.478506, 1495740426.119646)]]
['getitem-a8bb4e579836604d0a7e0f7aeaae0be6', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495740426.1245341, 1495740426.12454)]]
['getitem-1a4580735fc023ca273a7638ca00a12d', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495740426.125121, 1495740426.125127)]]
['getitem-4f3adc0e5fb9ff7375f366bd78aa4924', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495740426.125525, 1495740426.12553)]]
['getitem-549ec6addf797b77c4d71b30c94772da', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495740426.125956, 1495740426.12596)]]
['getitem-7978088afe95d122ca24fb83d94e5128', 'processing', 'memory', 'tcp://129.114.90.206:42366', 47053804279552, [('compute', 1495740426.126422, 1495740426.12643)]]
['block_rmsd-4c0659a11274debdc18bd9a3ca0f2350', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495740381.4781969, 1495740426.379036)]]
['getitem-d532f3824a78f47dc8ec5e24a254c3c4', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495740426.3831098, 1495740426.3831198)]]
['getitem-5963e2323dc2616ae5f82ed187b8b22f', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495740426.383798, 1495740426.383808)]]
['getitem-28e5c758eabe99ea38931d4da1401e16', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495740426.3842938, 1495740426.384301)]]
