['getitem-b18ccddd62b771d91db9d6d147ddffde', 'processing', 'memory', 'tcp://129.114.90.153:53659', 47879174719232, [('compute', 1495741311.477386, 1495741311.477395)]]
['block_rmsd-dc3876213546874f02522bec095b634a', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495741286.9486861, 1495741311.926532)]]
['getitem-18684dfa54041dae40df43ef2efc1dd7', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495741311.929944, 1495741311.929949)]]
['getitem-001e4c8f550b0e823db76e22226b1cd9', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495741311.930535, 1495741311.930541)]]
['getitem-0257f3280abf421ba3de500d58d05686', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495741311.9309502, 1495741311.930957)]]
['getitem-5dacc847544621eca8ab8211995f88ec', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495741311.931323, 1495741311.931329)]]
['getitem-e8c04007d3b3cf270c39559eef3241f0', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495741311.931852, 1495741311.931857)]]
['block_rmsd-1041ba6b6076f8803a63073e479be588', 'processing', 'memory', 'tcp://129.114.90.153:55216', 47879174719232, [('compute', 1495741286.944662, 1495741311.975495)]]
['getitem-8ca343bf14594306768d4dd210274cff', 'processing', 'memory', 'tcp://129.114.90.153:55216', 47879174719232, [('compute', 1495741311.97894, 1495741311.978949)]]
['getitem-884bb7033fedbfec1218f45650f7c5e7', 'processing', 'memory', 'tcp://129.114.90.153:55216', 47879174719232, [('compute', 1495741311.979665, 1495741311.979673)]]
['getitem-63227593409a50b25c085f3ad244a328', 'processing', 'memory', 'tcp://129.114.90.153:55216', 47879174719232, [('compute', 1495741311.980178, 1495741311.980189)]]
['getitem-180b10b4c9cac4d5a434c349ff98f8c9', 'processing', 'memory', 'tcp://129.114.90.153:55216', 47879174719232, [('compute', 1495741311.9807851, 1495741311.980793)]]
['getitem-ab22daf642e1a67e2ab6d3e7d90d4021', 'processing', 'memory', 'tcp://129.114.90.153:55216', 47879174719232, [('compute', 1495741311.981421, 1495741311.981428)]]
['block_rmsd-615e491532bc96aef9da14fbce067c49', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495741286.950942, 1495741312.024331)]]
['getitem-8e7befa0f321caa82fda3a062cd0fa85', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495741312.031104, 1495741312.03111)]]
['getitem-1737ade43ca810c3c8ae52e33768dafb', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495741312.0316572, 1495741312.0316632)]]
['getitem-62daf015c4ed36729c5ea63ea8c19fcf', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495741312.0321312, 1495741312.0321362)]]
['getitem-81a45b796cf9f1f45c06b1b019ea2339', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495741312.0327132, 1495741312.0327172)]]
['getitem-e3aceb78ea35dd5c7559932dd5fc1957', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495741312.0331752, 1495741312.033179)]]
['block_rmsd-b825e6a17e72db73033c0d84fbe8ccf0', 'processing', 'memory', 'tcp://129.114.90.206:49117', 47053804279552, [('compute', 1495741286.955962, 1495741312.034912)]]
['getitem-2c360662053f441b25f91b352b468e7b', 'processing', 'memory', 'tcp://129.114.90.206:49117', 47053804279552, [('compute', 1495741312.040539, 1495741312.040547)]]
