['getitem-1b750e1c24ef66eae03fb59061709c48', 'processing', 'memory', 'tcp://129.114.90.153:35206', 47879174719232, [('compute', 1495742646.169427, 1495742646.169431)]]
['getitem-8745265593e57dee45a0c3f1bd3a9e01', 'processing', 'memory', 'tcp://129.114.90.153:35206', 47879174719232, [('compute', 1495742646.1699288, 1495742646.1699328)]]
['block_rmsd-ba36bfecd03caf7c7f2d0a511512af00', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495742631.9424162, 1495742646.249056)]]
['getitem-f59db75b81e14d4f9a1ed3ee11a8432b', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495742646.2533681, 1495742646.2533772)]]
['getitem-23c39ed2eb319ad413a686569df5f788', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495742646.2540941, 1495742646.254101)]]
['getitem-a5ae1cca674bd448d9779fd245b5243e', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495742646.254514, 1495742646.2545211)]]
['getitem-1950158a011dcc61689dd8ce295f24cf', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495742646.255167, 1495742646.255177)]]
['getitem-bef9780bc16a67fcbf5699d3a3cd2581', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495742646.2556841, 1495742646.255691)]]
['block_rmsd-17db3321173694b0aaff1dcf787d7b58', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495742631.927566, 1495742646.529233)]]
['getitem-b36f676d176667b8dbe1c8b31c6b59d7', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495742646.533517, 1495742646.533524)]]
['getitem-9058a3867bfbf0546b80eda1cfaad43f', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495742646.5341, 1495742646.534105)]]
['getitem-ddae6300ed268d88bc98e676eec0b868', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495742646.53446, 1495742646.5344648)]]
['getitem-235d826b90c7a141184af7a11da45812', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495742646.53505, 1495742646.535055)]]
['getitem-ad15e4b3df8e8d327b9a57e9e1244fec', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495742646.535497, 1495742646.535501)]]
['block_rmsd-3b2f6b1b375c0e8bbe614e62eabe2ad8', 'processing', 'memory', 'tcp://129.114.90.154:56667', 47744891332352, [('compute', 1495742631.937315, 1495742646.538368)]]
['getitem-3925810855e16d4506f699cd0c5c0ce4', 'processing', 'memory', 'tcp://129.114.90.154:56667', 47744891332352, [('compute', 1495742646.542478, 1495742646.542485)]]
['getitem-ea5d02142ea904d5fa8dfaf0614a27df', 'processing', 'memory', 'tcp://129.114.90.154:56667', 47744891332352, [('compute', 1495742646.54302, 1495742646.543025)]]
['getitem-fbd3c2316f74688d7a688864b9b5bbf4', 'processing', 'memory', 'tcp://129.114.90.154:56667', 47744891332352, [('compute', 1495742646.543467, 1495742646.543472)]]
['getitem-1a32acc3221d023459c7fa8f39617cab', 'processing', 'memory', 'tcp://129.114.90.154:56667', 47744891332352, [('compute', 1495742646.5438192, 1495742646.5438242)]]
['getitem-1f306ecc334085c3d6fa46822c418c8f', 'processing', 'memory', 'tcp://129.114.90.154:56667', 47744891332352, [('compute', 1495742646.5443752, 1495742646.544379)]]
['block_rmsd-793a4c1e2adc7ad981d6670111a7209f', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495742631.922231, 1495742646.568481)]]
['getitem-8e7668e286c6af24cbf9ab8788c1d89c', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495742646.572541, 1495742646.572552)]]
['getitem-0277a6ff1821f8e1eae574a50c91edd3', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495742646.5732698, 1495742646.573278)]]
['getitem-7f7fcbcea9bb7a3592fb0f3896345597', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495742646.573724, 1495742646.573731)]]
['getitem-b08b8309b12dddbea48c1a9543aca1da', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495742646.574235, 1495742646.5742419)]]
['getitem-f033f48243ce14a9e29307b07c280414', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495742646.574669, 1495742646.574676)]]
['block_rmsd-3a5158dc84baed34d951a294617443a4', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495742631.9191482, 1495742646.6610773)]]
['getitem-a69078ca659c17f447c40a127843f535', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495742646.6652071, 1495742646.665214)]]
['getitem-7a96475e9765b26650c4f49f8ee4672b', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495742646.6657891, 1495742646.6657941)]]
['getitem-74f56767c7ca7448d57a9b497449eab5', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495742646.666182, 1495742646.666186)]]
['getitem-27bc93c72f96c04a777149dd29c7f931', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495742646.666686, 1495742646.666691)]]
['getitem-4d13e34d73435b156d05f1a16b839b46', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495742646.6670592, 1495742646.6670642)]]
['block_rmsd-2cb0ed3018571233896208477be3c39c', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495742631.9400232, 1495742646.7172332)]]
['getitem-3f84c1c029556529a7b3951cefa766a9', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495742646.721333, 1495742646.7213411)]]
['getitem-5d7788c9a191730b18ebc643f288f4a7', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495742646.722064, 1495742646.7220712)]]
['getitem-4ea1454bdcd153f8d0d074c7b586854d', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495742646.7225192, 1495742646.722526)]]
['getitem-861bfa2ca3a5d30276df59a5adcc5cf8', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495742646.7231722, 1495742646.723179)]]
['getitem-996b55d69c25d2c7e06c21c7ac78629c', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495742646.7240272, 1495742646.724034)]]
['block_rmsd-ef0ce1605e90be463061bc1d8e0e20f1', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495742631.9020631, 1495742646.879069)]]
['getitem-d73920f0e4671765098459cb67783fce', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495742646.882636, 1495742646.882643)]]
['getitem-fef2d3deb26adfabf06a6c704982abfb', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495742646.883239, 1495742646.883244)]]
['getitem-8fb04bc9f0c2c12adf61db50d6df7caa', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495742646.883673, 1495742646.883678)]]
['getitem-5e773635a4ad2853265802fe531a0bdd', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495742646.8841271, 1495742646.8841321)]]
['getitem-c51130d4b4ae7d391cc3573e4483ae1e', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495742646.884584, 1495742646.884588)]]
['block_rmsd-d4735dc6b62face51baff2820cd2d0bf', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495742631.9494061, 1495742646.9346352)]]
['getitem-fd0773e8772ed3f2e1ee0142c5eabe1c', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495742646.9388251, 1495742646.9388351)]]
['getitem-52c040e33f45d1a23a8e32a287188e78', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495742646.939429, 1495742646.939433)]]
['getitem-dc49d84f49bc6c4db05396ed333cdbd6', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495742646.939791, 1495742646.9397972)]]
['getitem-5649593d41458f6a86d384f7172f3c8f', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495742646.940275, 1495742646.940279)]]
['getitem-d8b993d718dadf9ca59bc1efc29ee8c3', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495742646.940684, 1495742646.9406881)]]
['block_rmsd-d5d1c1d47dbfac3b71d6a08277000435', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495742631.932, 1495742646.999935)]]
['getitem-dff15823bc07eb98a1692a74f5fbdb2f', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495742647.004257, 1495742647.0042648)]]
['getitem-e41db4bec378f5280f3ba9c71a3660c5', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495742647.0048668, 1495742647.0048718)]]
['getitem-017f517bb062f691661f2758cd9b6240', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495742647.005266, 1495742647.005271)]]
['getitem-341cd20d1d8ef3624df7d7fc8c9ef32d', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495742647.0058029, 1495742647.005807)]]
['getitem-73a1795efbee4cfdbc7b87e1ce4d7487', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495742647.006273, 1495742647.0062778)]]
['block_rmsd-4eacd4f194249d8d16107f941c0a070a', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495742631.8986092, 1495742647.027265)]]
['getitem-fba4681d76b61780e5aa017bd1869843', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495742647.030734, 1495742647.0307431)]]
['getitem-d0bc7065feab17653be647ca4ccd8f07', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495742647.0313852, 1495742647.0313911)]]
['getitem-54ef7249396b7ee2273a1ca12915b790', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495742647.031788, 1495742647.031793)]]
['getitem-4494e119f7a929c9071ea681b44629a2', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495742647.032185, 1495742647.0321891)]]
['getitem-8dfac9d04508487e8435ab3878d48c77', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495742647.032789, 1495742647.032793)]]
['block_rmsd-bf3eeacd295af0820baa791c9ff070c4', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495742631.904984, 1495742647.12993)]]
['getitem-a8ffe9222ea4e19b32e1f83545c787e9', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495742647.133301, 1495742647.1333082)]]
