,Run,Tasks,Framework,Time
0,1,1,Spark,2.73550105095
1,1,2,Spark,0.752643108368
2,1,4,Spark,0.58215880394
3,1,8,Spark,0.605275154114
4,1,16,Spark,0.635580062866
5,1,32,Spark,0.667469978333
6,1,64,Spark,0.617791891098
7,1,128,Spark,0.783856153488
8,1,256,Spark,0.736796855927
9,1,512,Spark,0.721389055252
10,1,1024,Spark,1.09803104401
11,1,2048,Spark,1.04858398438
12,1,4096,Spark,1.02023100853
13,1,8192,Spark,1.34737801552
14,1,16384,Spark,2.11784482002
15,1,32768,Spark,3.49468493462
16,1,65536,Spark,7.50215005875
17,1,131072,Spark,12.5048489571
18,2,1,Spark,0.535711050034
19,2,2,Spark,0.556342840195
20,2,4,Spark,0.579974889755
21,2,8,Spark,0.550596952438
22,2,16,Spark,0.5503718853
23,2,32,Spark,0.636432886124
24,2,64,Spark,0.647094964981
25,2,128,Spark,0.682519197464
26,2,256,Spark,0.704171180725
27,2,512,Spark,0.835859060287
28,2,1024,Spark,0.702115058899
29,2,2048,Spark,0.800155878067
30,2,4096,Spark,0.997382879257
31,2,8192,Spark,1.31665110588
32,2,16384,Spark,2.55714201927
33,2,32768,Spark,3.45560789108
34,2,65536,Spark,7.46957087517
35,2,131072,Spark,12.4967050552
36,3,1,Spark,0.530642986298
37,3,2,Spark,0.714617967606
38,3,4,Spark,0.583325862885
39,3,8,Spark,0.556372880936
40,3,16,Spark,0.591593027115
41,3,32,Spark,0.672813892365
42,3,64,Spark,0.650384902954
43,3,128,Spark,0.696600914001
44,3,256,Spark,0.69713807106
45,3,512,Spark,0.66844701767
46,3,1024,Spark,0.659996986389
47,3,2048,Spark,0.805016040802
48,3,4096,Spark,0.986773967743
49,3,8192,Spark,1.31434011459
50,3,16384,Spark,2.22453904152
51,3,32768,Spark,3.53062915802
52,3,65536,Spark,7.48987984657
53,3,131072,Spark,12.5137889385
54,4,1,Spark,0.49254989624
55,4,2,Spark,0.520532131195
56,4,4,Spark,0.558223009109
57,4,8,Spark,0.656665086746
58,4,16,Spark,0.601373910904
59,4,32,Spark,0.624893903732
60,4,64,Spark,0.638946056366
61,4,128,Spark,0.646396875381
62,4,256,Spark,0.659688949585
63,4,512,Spark,0.667114019394
64,4,1024,Spark,0.979523897171
65,4,2048,Spark,0.759512901306
66,4,4096,Spark,0.952124118805
67,4,8192,Spark,1.34583497047
68,4,16384,Spark,2.0241959095
69,4,32768,Spark,3.44423508644
70,4,65536,Spark,7.44565796852
71,4,131072,Spark,12.4856140614
72,5,1,Spark,0.507234096527
73,5,2,Spark,0.591284990311
74,5,4,Spark,0.553886175156
75,5,8,Spark,0.562234163284
76,5,16,Spark,0.543466091156
77,5,32,Spark,0.602193117142
78,5,64,Spark,0.688111066818
79,5,128,Spark,0.668011903763
80,5,256,Spark,1.0238699913
81,5,512,Spark,0.702852010727
82,5,1024,Spark,0.659636974335
83,5,2048,Spark,0.843254089355
84,5,4096,Spark,1.90924310684
85,5,8192,Spark,1.3766450882
86,5,16384,Spark,2.03581619263
87,5,32768,Spark,3.52576804161
88,5,65536,Spark,7.47914505005
89,5,131072,Spark,12.6729581356
90,6,1,Spark,0.479953050613
