t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1504277238,1,2.879393,2.879393,2.879393,0.000000,2.879393,2.879393,2.879393,2.879393,2.879393,2.879393,0.096321,0.184009,0.196694,0.198892,calls/second,milliseconds
1504277248,1,2.879393,2.879393,2.879393,0.000000,2.879393,2.879393,2.879393,2.879393,2.879393,2.879393,0.049193,0.155760,0.190246,0.196694,calls/second,milliseconds
1504277258,1,2.879393,2.879393,2.879393,0.000000,2.879393,2.879393,2.879393,2.879393,2.879393,2.879393,0.032975,0.131848,0.184009,0.194521,calls/second,milliseconds
1504277268,1,2.879393,2.879393,2.879393,0.000000,2.879393,2.879393,2.879393,2.879393,2.879393,2.879393,0.024798,0.111607,0.177976,0.192372,calls/second,milliseconds
1504277278,1,2.879393,2.879393,2.879393,0.000000,2.879393,2.879393,2.879393,2.879393,2.879393,2.879393,0.019870,0.094473,0.172142,0.190246,calls/second,milliseconds
1504277288,587,98.082771,0.459291,0.002206,4.165057,0.120596,0.234807,0.449820,4.421503,7.174779,98.082771,9.729656,9.388114,2.100966,0.837149,calls/second,milliseconds
1504277298,587,98.082771,0.459291,0.002206,4.165057,0.120596,0.234807,0.449820,4.421503,7.174779,98.082771,8.346908,7.946867,2.032089,0.827899,calls/second,milliseconds
1504277308,587,98.082771,0.459291,0.002206,4.165057,0.120596,0.234807,0.449820,4.421503,7.174779,98.082771,7.307972,6.726878,1.965469,0.818751,calls/second,milliseconds
1504277318,587,98.082771,0.459291,0.002206,4.165057,0.120596,0.234807,0.449820,4.421503,7.174779,98.082771,6.498787,5.694179,1.901033,0.809704,calls/second,milliseconds
1504277328,587,98.082771,0.459291,0.002206,4.165057,0.120596,0.234807,0.449820,4.421503,7.174779,98.082771,5.850884,4.820019,1.838710,0.800757,calls/second,milliseconds
1504277338,587,98.082771,0.459291,0.002206,4.165057,0.120596,0.234807,0.449820,4.421503,7.174779,98.082771,5.320667,4.080058,1.778430,0.791909,calls/second,milliseconds
1504277348,1173,98.082771,0.298255,0.001291,2.494009,0.092679,0.203904,0.350053,3.596265,6.165169,22.636816,9.748549,12.075241,3.625253,1.428867,calls/second,milliseconds
1504277358,1173,98.082771,0.298255,0.001291,2.494009,0.092679,0.203904,0.350053,3.596265,6.165169,22.636816,9.000600,10.221471,3.506403,1.413079,calls/second,milliseconds
1504277368,1173,98.082771,0.298255,0.001291,2.494009,0.092679,0.203904,0.350053,3.596265,6.165169,22.636816,8.359151,8.652289,3.391450,1.397465,calls/second,milliseconds
1504277378,1173,98.082771,0.298255,0.001291,2.494009,0.092679,0.203904,0.350053,3.596265,6.165169,22.636816,7.803161,7.324004,3.280265,1.382023,calls/second,milliseconds
1504277388,1173,98.082771,0.298255,0.001291,2.494009,0.092679,0.203904,0.350053,3.596265,6.165169,22.636816,7.316472,6.199636,3.172725,1.366752,calls/second,milliseconds
