CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000000,Euclidean_dist_1_1,N/A,5.67697882652,5.67984700203,5.79743885994,1090.81491494,1099.39303184
unit.000001,Euclidean_dist_1_24292,N/A,5.68692684174,5.68960380554,5.82292485237,2311.38010383,2317.33964992
unit.000002,Euclidean_dist_1_48583,N/A,5.61288094521,5.6247048378,5.73179483414,2118.21465993,2123.19893289
unit.000003,Euclidean_dist_1_72874,N/A,5.70344996452,5.7059969902,5.89689898491,2082.14218092,2088.27856588
unit.000004,Euclidean_dist_1_97165,N/A,5.59607601166,5.59921598434,5.61764883995,2584.74503398,2589.18311095
unit.000005,Euclidean_dist_1_121456,N/A,5.6098678112,5.61284279823,5.71765589714,2306.67029881,2312.15837288
unit.000006,Euclidean_dist_24292_24292,N/A,5.60654592514,5.60983586311,5.70447683334,1081.93311381,1091.18599081
unit.000007,Euclidean_dist_24292_48583,N/A,5.66678881645,5.67690587044,5.78444981575,2216.22979999,2223.81185699
unit.000008,Euclidean_dist_24292_72874,N/A,5.67981100082,5.68691897392,5.81015491486,2274.11416793,2280.32030392
unit.000009,Euclidean_dist_24292_97165,N/A,5.66420698166,5.66673398018,5.77144980431,2241.56127691,2247.490978
unit.000010,Euclidean_dist_24292_121456,N/A,5.69581580162,5.69829082489,5.86048197746,2189.24924684,2196.0728128
unit.000011,Euclidean_dist_48583_48583,N/A,5.69326877594,5.69574284554,5.84836196899,1122.64258385,1128.21627378
unit.000012,Euclidean_dist_48583_72874,N/A,5.69833683968,5.70097589493,5.87340283394,2143.41205978,2148.88858485
unit.000013,Euclidean_dist_48583_97165,N/A,5.68965697289,5.69325780869,5.83579683304,2223.00501585,2227.95599985
unit.000014,Euclidean_dist_48583_121456,N/A,5.66151881218,5.66429185867,5.7582859993,2208.88676882,2216.62586379
unit.000015,Euclidean_dist_72874_72874,N/A,5.62472891808,5.66156578064,5.74538183212,1137.07628298,1143.61535096
unit.000016,Euclidean_dist_72874_97165,N/A,5.60367083549,5.60649585724,5.6919169426,2108.84025884,2113.92363286
unit.000017,Euclidean_dist_72874_121456,N/A,5.70095396042,5.7034778595,5.88515591621,2235.24687386,2242.32166886
unit.000018,Euclidean_dist_97165_97165,N/A,5.70600199699,5.70927190781,5.90894293785,1099.02993178,1105.59907794
unit.000019,Euclidean_dist_97165_121456,N/A,5.5916249752,5.59724879265,5.60036182404,2126.63444781,2130.383111
unit.000020,Euclidean_dist_121456_121456,N/A,5.59916496277,5.60370779037,5.67207098007,1105.10629296,1110.73774886
unit.000021,ConnComp,N/A,2595.03288579,2595.06655097,2595.0695858,2668.9284358,2671.53752685
