CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000000,Euclidean_dist_1_1,N/A,5.51702713966,5.52017498016,5.57928705215,1088.54668593,1094.31398296
unit.000001,Euclidean_dist_1_24292,N/A,5.54475998878,5.54767894745,5.68704509735,2468.61587,2475.40464997
unit.000002,Euclidean_dist_1_48583,N/A,5.52594709396,5.52899909019,5.61585211754,2240.89363694,2250.57282996
unit.000003,Euclidean_dist_1_72874,N/A,5.50338697433,5.50781297684,5.52753806114,2093.83889699,2098.66788793
unit.000004,Euclidean_dist_1_97165,N/A,5.5143289566,5.51704001427,5.56668996811,2255.21062207,2259.85239601
unit.000005,Euclidean_dist_1_121456,N/A,5.55884408951,5.56145405769,5.75205111504,2227.19180298,2241.29397511
unit.000006,Euclidean_dist_24292_24292,N/A,5.51130008698,5.51438999176,5.55408501625,1149.28927398,1153.95132899
unit.000007,Euclidean_dist_24292_48583,N/A,5.5476140976,5.55036091805,5.70552897453,2121.59324813,2127.40089011
unit.000008,Euclidean_dist_24292_72874,N/A,5.55583000183,5.55885100365,5.73942995071,2057.66193104,2063.76336908
unit.000009,Euclidean_dist_24292_97165,N/A,5.53199195862,5.53497695923,5.6405069828,2321.61040592,2328.67411804
unit.000010,Euclidean_dist_24292_121456,N/A,5.49791193008,5.50513601303,5.50837492943,2293.84669209,2300.97599792
unit.000011,Euclidean_dist_48583_48583,N/A,5.53504514694,5.53791809082,5.65216708183,1102.30712199,1109.86960506
unit.000012,Euclidean_dist_48583_72874,N/A,5.52011609077,5.52299404144,5.59131407738,2186.11486697,2192.06381011
unit.000013,Euclidean_dist_48583_97165,N/A,5.56149411201,5.56413412094,5.77143406868,2267.58651614,2277.29250693
unit.000014,Euclidean_dist_48583_121456,N/A,5.52301597595,5.52592802048,5.60370397568,2249.51319098,2255.702456
unit.000015,Euclidean_dist_72874_72874,N/A,5.55332112312,5.55586910248,5.72810196877,1133.68146205,1140.56635594
unit.000016,Euclidean_dist_72874_97165,N/A,5.55040597916,5.55337905884,5.71718406677,2282.62495613,2289.64962506
unit.000017,Euclidean_dist_72874_121456,N/A,5.5290119648,5.53191995621,5.62803506851,2505.69438601,2512.33161592
unit.000018,Euclidean_dist_97165_97165,N/A,5.53795194626,5.54102492332,5.66408014297,1284.79330015,1291.44096899
unit.000019,Euclidean_dist_97165_121456,N/A,5.54105305672,5.5447640419,5.67506098747,2276.39826703,2283.49131012
unit.000020,Euclidean_dist_121456_121456,N/A,5.50786614418,5.51125597954,5.54132699966,1115.9150281,1121.02902102
unit.000021,ConnComp,N/A,2516.98168492,2517.01491213,2517.01811314,2587.36869597,2590.69008994
