t,count
1504294432,0
1504294442,0
1504294452,0
1504294462,0
1504294472,0
1504294482,0
1504294492,0
1504294502,0
1504294512,0
1504294522,0
1504294532,0
1504294542,0
1504294552,0
1504294562,0
1504294572,0
1504294582,0
1504294592,0
1504294602,0
1504294612,0
1504294622,0
1504294632,0
1504294642,0
1504294652,0
1504294662,0
1504294672,0
1504294682,0
1504294692,0
1504294702,0
1504294712,0
1504294722,0
1504294732,0
1504294742,0
1504294752,0
1504294762,0
1504294772,0
1504294782,0
1504294792,0
1504294802,0
1504294812,0
1504294822,0
1504294832,0
1504294842,0
1504294852,0
1504294862,0
1504294872,0
1504294882,0
1504294892,0
1504294902,0
1504294912,0
1504294922,0
1504294932,0
1504294942,0
1504294952,0
1504294962,0
1504294972,0
1504294982,0
1504294992,0
1504295002,0
1504295012,0
1504295022,0
1504295032,0
1504295042,0
1504295052,0
1504295062,0
1504295072,0
1504295082,0
1504295092,0
1504295102,0
1504295112,0
1504295122,0
1504295132,0
1504295142,0
1504295152,0
1504295162,0
1504295172,0
1504295182,0
1504295192,0
1504295202,0
1504295212,0
1504295222,0
1504295232,0
1504295242,0
1504295252,0
1504295262,0
1504295272,0
1504295282,0
1504295292,0
1504295302,0
1504295312,0
1504295322,0
1504295332,0
1504295342,0
1504295352,0
1504295362,0
1504295372,0
1504295382,0
1504295392,0
1504295402,0
1504295412,0
1504295422,0
1504295432,0
1504295442,0
1504295452,0
1504295462,0
1504295472,0
1504295482,0
1504295492,0
1504295502,0
1504295512,0
1504295522,0
1504295532,0
1504295542,0
1504295552,0
1504295562,0
1504295572,0
1504295582,0
1504295592,0
1504295602,0
1504295612,0
1504295622,0
1504295632,0
1504295642,0
1504295652,0
1504295662,0
1504295672,0
1504295682,0
1504295692,0
1504295702,0
1504295712,0
1504295722,0
1504295732,0
1504295742,0
1504295752,0
1504295762,0
1504295772,0
1504295782,0
1504295792,0
1504295802,0
1504295812,0
1504295822,0
1504295832,0
1504295842,0
1504295852,0
1504295862,0
1504295872,0
1504295882,0
1504295892,0
1504295902,0
1504295912,0
1504295922,0
1504295932,0
1504295942,0
1504295952,0
1504295962,0
1504295972,0
1504295982,0
1504295992,0
1504296002,0
1504296012,0
1504296022,0
1504296032,0
1504296042,0
1504296052,0
1504296062,0
1504296072,0
1504296082,0
1504296092,0
1504296102,0
1504296112,0
1504296122,0
1504296132,0
1504296142,0
1504296152,0
1504296162,0
1504296172,0
1504296182,0
1504296192,0
1504296202,0
1504296212,0
1504296222,0
1504296232,0
1504296242,0
1504296252,0
1504296262,0
1504296272,0
1504296282,0
1504296292,0
1504296302,0
1504296312,0
1504296322,0
1504296332,0
1504296342,0
1504296352,0
1504296362,0
1504296372,0
1504296382,0
1504296392,0
1504296402,0
1504296412,0
1504296422,0
1504296432,0
1504296442,0
1504296452,0
1504296462,0
1504296472,0
1504296482,0
1504296492,0
1504296502,0
1504296512,0
1504296522,0
1504296532,0
1504296542,0
1504296552,0
1504296562,0
1504296572,0
1504296582,0
1504296592,0
1504296602,0
1504296612,0
1504296622,0
1504296632,0
1504296642,0
1504296652,0
1504296662,0
1504296672,0
1504296682,0
1504296692,0
1504296702,0
1504296712,0
1504296722,0
1504296732,0
1504296742,0
1504296752,0
1504296762,0
1504296772,0
1504296782,0
1504296792,0
1504296802,0
1504296812,0
1504296822,0
1504296832,0
1504296842,0
1504296852,0
1504296862,0
1504296872,0
1504296882,0
1504296892,0
1504296902,0
1504296912,0
1504296922,0
1504296932,0
1504296942,0
1504296952,0
1504296962,0
1504296972,0
1504296982,0
1504296992,0
1504297002,0
1504297012,0
1504297022,0
1504297032,0
1504297042,0
1504297052,0
1504297062,0
1504297072,0
1504297082,0
1504297092,0
1504297102,0
1504297112,0
1504297122,0
1504297132,0
1504297142,0
1504297152,0
1504297162,0
1504297172,0
1504297182,0
1504297192,0
1504297202,0
1504297212,0
1504297222,0
1504297232,0
1504297242,0
1504297252,0
1504297262,0
1504297272,0
1504297282,0
1504297292,0
1504297302,0
1504297312,0
1504297322,0
1504297332,0
1504297342,0
1504297352,0
1504297362,0
1504297372,0
1504297382,0
1504297392,0
1504297402,0
1504297412,0
1504297422,0
1504297432,0
1504297442,0
1504297452,0
1504297462,0
1504297472,0
1504297482,0
1504297492,0
1504297502,0
1504297512,0
1504297522,0
1504297532,0
1504297542,0
1504297552,0
1504297562,0
1504297572,0
1504297582,0
1504297592,0
1504297602,0
1504297612,0
1504297622,0
1504297632,0
1504297642,0
1504297652,0
1504297662,0
1504297672,0
1504297682,0
1504297692,0
1504297702,0
1504297712,0
1504297722,0
1504297732,0
1504297742,0
1504297752,0
1504297762,0
1504297772,0
1504297782,0
1504297792,0
1504297802,0
1504297812,0
1504297822,0
1504297832,0
1504297842,0
1504297852,0
1504297862,0
1504297872,0
1504297882,0
1504297892,0
1504297902,0
1504297912,0
1504297922,0
1504297932,0
1504297942,0
1504297952,0
1504297962,0
1504297972,0
1504297982,0
1504297992,0
1504298002,0
1504298012,0
1504298022,0
1504298032,0
1504298042,0
1504298052,0
1504298062,0
1504298072,0
1504298082,0
1504298092,0
1504298102,0
1504298112,0
1504298122,0
1504298132,0
1504298142,0
1504298152,0
1504298162,0
1504298172,0
1504298182,0
1504298192,0
1504298202,0
1504298212,0
1504298222,0
1504298232,0
1504298242,0
1504298252,0
1504298262,0
1504298272,0
1504298282,0
1504298292,0
1504298302,0
1504298312,0
1504298322,0
1504298332,0
1504298342,0
1504298352,0
1504298362,0
1504298363,0
