BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, NumberRecords, Scenario
1504881360000 ms, 2017-09-08T09:36:05, 4, 9802, 774,1_Producer_Count
1504881420000 ms, 2017-09-08T09:37:08, 0, 27866, 2570,1_Producer_Count
1504881480000 ms, 2017-09-08T09:38:06, 0, 21830, 2157,1_Producer_Count
1504881540000 ms, 2017-09-08T09:39:04, 1, 15289, 1481,1_Producer_Count
1504881600000 ms, 2017-09-08T09:40:07, 0, 23899, 2404,1_Producer_Count
1504881660000 ms, 2017-09-08T09:41:07, 0, 25038, 2472,1_Producer_Count
1504881720000 ms, 2017-09-08T09:42:08, 1, 25563, 2514,1_Producer_Count
1504881780000 ms, 2017-09-08T09:43:07, 0, 23514, 2374,1_Producer_Count
1504881840000 ms, 2017-09-08T09:44:07, 0, 25092, 2465,1_Producer_Count
1504881900000 ms, 2017-09-08T09:45:08, 1, 26229, 2616,1_Producer_Count
1504881960000 ms, 2017-09-08T09:46:07, 1, 25097, 2520,1_Producer_Count
1504882020000 ms, 2017-09-08T09:47:07, 1, 24550, 2463,1_Producer_Count
1504882080000 ms, 2017-09-08T09:48:07, 1, 24934, 2479,1_Producer_Count
1504882140000 ms, 2017-09-08T09:49:08, 1, 25524, 2537,1_Producer_Count
1504882200000 ms, 2017-09-08T09:50:07, 0, 23132, 2304,1_Producer_Count
1504882260000 ms, 2017-09-08T09:51:08, 1, 26010, 2532,1_Producer_Count
1504882320000 ms, 2017-09-08T09:52:05, 0, 15426, 1547,1_Producer_Count
1504882380000 ms, 2017-09-08T09:53:04, 0, 11992, 1111,1_Producer_Count
1504882440000 ms, 2017-09-08T09:54:03, 1, 11325, 1080,1_Producer_Count
1504882500000 ms, 2017-09-08T09:55:03, 0, 11700, 1114,1_Producer_Count
1504882560000 ms, 2017-09-08T09:56:03, 1, 11818, 1092,1_Producer_Count
1504882620000 ms, 2017-09-08T09:57:03, 0, 11222, 1095,1_Producer_Count
1504882680000 ms, 2017-09-08T09:58:02, 0, 6661, 590,1_Producer_Count
1504882740000 ms, 2017-09-08T09:59:00, 0, 1256, 0,1_Producer_Count
1504882800000 ms, 2017-09-08T10:00:00, 1, 1272, 0,1_Producer_Count
1504882860000 ms, 2017-09-08T10:01:00, 1, 1263, 0,1_Producer_Count
1504882920000 ms, 2017-09-08T10:02:00, 0, 1277, 0,1_Producer_Count
