t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1508428604,2348,18.009701,0.220618,0.000631,0.932421,0.112636,0.255347,0.343725,0.493814,3.993187,18.009701,7.565813,7.369655,5.990970,4.467604,calls/second,milliseconds
1508428614,2414,18.009701,0.224413,0.000631,1.004822,0.012876,0.254690,0.337723,0.597977,4.141746,18.009701,7.535718,7.332085,6.024869,4.495678,calls/second,milliseconds
1508428624,2463,18.009701,0.207418,0.000631,0.964913,0.004101,0.244039,0.334714,0.597977,3.609598,18.009701,7.455909,6.990041,5.989330,4.500296,calls/second,milliseconds
1508428634,2506,18.009701,0.249081,0.000631,1.123068,0.082959,0.270426,0.343001,0.597977,4.141746,18.009701,7.363161,6.571947,5.931106,4.497027,calls/second,milliseconds
1508428644,2754,18.009701,0.222105,0.000453,0.944846,0.112683,0.245582,0.328287,0.461461,4.141746,13.498470,7.860835,8.772222,6.427118,4.680339,calls/second,milliseconds
1508428654,2806,18.009701,0.217133,0.000453,0.936152,0.094567,0.229389,0.328287,0.481553,4.487919,13.498470,7.787017,8.749654,6.509008,4.727793,calls/second,milliseconds
1508428664,2817,18.009701,0.218167,0.000453,0.926522,0.101977,0.238594,0.331204,0.481553,4.487919,13.498470,7.606463,7.550342,6.325369,4.685525,calls/second,milliseconds
1508428674,2903,18.009701,0.213089,0.000453,0.876168,0.082959,0.247812,0.331023,0.560933,4.487919,13.498470,7.632577,7.756252,6.407098,4.731056,calls/second,milliseconds
1508428684,2952,18.009701,0.200499,0.000453,0.857978,0.005027,0.235071,0.328287,0.560933,4.428803,13.498470,7.562637,7.349090,6.359028,4.733073,calls/second,milliseconds
1508428694,2974,18.009701,0.206126,0.000453,0.835793,0.006352,0.251963,0.325068,0.481553,4.428803,13.498470,7.428641,6.508711,6.210057,4.700719,calls/second,milliseconds
1508428704,3295,13.498470,0.207710,0.000453,0.799505,0.085059,0.251963,0.320795,0.546355,3.476827,11.194568,8.029854,10.626067,7.077380,5.008501,calls/second,milliseconds
1508428714,3295,13.498470,0.207710,0.000453,0.799505,0.085059,0.251963,0.320795,0.546355,3.476827,11.194568,7.838839,8.994772,6.845356,4.953159,calls/second,milliseconds
1508428724,3331,13.498470,0.213826,0.000453,0.774316,0.120021,0.262656,0.320484,0.481553,3.476827,11.194568,7.740316,8.168485,6.736420,4.937185,calls/second,milliseconds
1508428734,3392,13.498470,0.205524,0.000453,0.760135,0.022858,0.261348,0.320484,0.510915,4.376383,11.194568,7.703077,7.826650,6.717140,4.950948,calls/second,milliseconds
1508428744,3445,13.498470,0.189669,0.000453,0.730242,0.003362,0.255412,0.315136,0.510915,3.476827,11.194568,7.649724,7.456655,6.668823,4.953860,calls/second,milliseconds
1508428754,3588,13.498470,0.185467,0.000453,0.659869,0.100259,0.261395,0.313138,0.425319,3.208871,11.194568,7.794216,8.560294,6.921270,5.057386,calls/second,milliseconds
1508428764,3784,13.498470,0.177143,0.000468,0.507324,0.097760,0.260660,0.320484,0.504373,3.223727,4.915204,8.045176,9.424148,7.151945,5.155305,calls/second,milliseconds
1508428774,3784,13.498470,0.177143,0.000468,0.507324,0.097760,0.260660,0.320484,0.504373,3.223727,4.915204,7.877679,8.830696,7.106039,5.162251,calls/second,milliseconds
1508428784,3799,13.498470,0.180758,0.000468,0.499933,0.111705,0.261899,0.317945,0.504373,3.208871,4.915204,7.747608,7.666916,6.912744,5.118506,calls/second,milliseconds
1508428794,3881,13.498470,0.174055,0.000468,0.504042,0.082959,0.257483,0.314475,0.504373,3.223727,4.934305,7.756683,7.806956,6.965299,5.155929,calls/second,milliseconds
1508428804,3930,13.498470,0.162229,0.000468,0.509103,0.003043,0.247812,0.312094,0.504373,3.476827,4.934305,7.700714,7.392011,6.898929,5.153251,calls/second,milliseconds
1508428814,3965,13.498470,0.169574,0.000468,0.475056,0.009282,0.257942,0.317945,0.489676,3.223727,4.934305,7.619975,6.814334,6.788346,5.135079,calls/second,milliseconds
1508428824,4214,13.498470,0.166636,0.000468,0.432300,0.114644,0.255283,0.301243,0.340274,3.223727,4.934305,7.945792,9.060559,7.275542,5.317927,calls/second,milliseconds
1508428834,4273,13.498470,0.172344,0.000468,0.490852,0.097716,0.249633,0.307956,0.427486,3.379940,4.934305,7.907958,9.008438,7.332868,5.359438,calls/second,milliseconds
