BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, ProcessingDelay, NumberRecords, Scenario
1512015480000 ms, 2017-11-29T22:18:01, 5, 2382, 2377, 0,1_Producer_Count
1512015540000 ms, 2017-11-29T22:19:22, 0, 81900, 81900, 6790,1_Producer_Count
1512015600000 ms, 2017-11-29T22:21:08, 0, 233601, 233601, 11211,1_Producer_Count
1512015660000 ms, 2017-11-29T22:22:10, 171854, 517970, 346116, 15651,1_Producer_Count
1512015720000 ms, 2017-11-29T22:23:55, 412913, 685757, 272844, 14766,1_Producer_Count
1512015780000 ms, 2017-11-29T22:26:07, 553635, 797148, 243513, 24959,1_Producer_Count
1512015840000 ms, 2017-11-29T22:29:00, 624310, 933164, 308854, 31184,1_Producer_Count
1512015900000 ms, 2017-11-29T22:32:18, 734394, 1148630, 414236, 41116,1_Producer_Count
1512015960000 ms, 2017-11-29T22:34:39, 1008417, 1299574, 291157, 29516,1_Producer_Count
1512016020000 ms, 2017-11-29T22:35:06, 1272274, 1298218, 25944, 2583,1_Producer_Count
1512016080000 ms, 2017-11-29T22:35:06, 1297990, 1299337, 1347, 0,1_Producer_Count
1512016140000 ms, 2017-11-29T22:35:06, 1299063, 1300355, 1292, 0,1_Producer_Count
1512016200000 ms, 2017-11-29T22:35:07, 1300075, 1301394, 1319, 0,1_Producer_Count
1512016260000 ms, 2017-11-29T22:35:07, 1301104, 1302383, 1279, 0,1_Producer_Count
1512016320000 ms, 2017-11-29T22:35:07, 1302084, 1303423, 1339, 0,1_Producer_Count
1512016380000 ms, 2017-11-29T22:35:08, 1303153, 1304439, 1286, 0,1_Producer_Count
1512016440000 ms, 2017-11-29T22:35:08, 1304174, 1305514, 1340, 0,1_Producer_Count
1512016500000 ms, 2017-11-29T22:35:08, 1305237, 1306527, 1290, 0,1_Producer_Count
1512016560000 ms, 2017-11-29T22:36:54, 1200899, 1202154, 1255, 0,1_Producer_Count
1512016620000 ms, 2017-11-29T22:37:00, 1195681, 1196958, 1277, 0,1_Producer_Count
1512016680000 ms, 2017-11-29T22:39:04, 1072987, 1074264, 1277, 0,1_Producer_Count
1512016740000 ms, 2017-11-29T22:39:06, 1072286, 1073633, 1347, 0,1_Producer_Count
1512016800000 ms, 2017-11-29T22:41:26, 934090, 935333, 1243, 0,1_Producer_Count
1512016860000 ms, 2017-11-29T22:41:27, 933631, 934935, 1304, 0,1_Producer_Count
1512016920000 ms, 2017-11-29T22:44:06, 776346, 777614, 1268, 0,1_Producer_Count
1512016980000 ms, 2017-11-29T22:44:08, 775348, 776600, 1252, 0,1_Producer_Count
1512017040000 ms, 2017-11-29T22:44:10, 775045, 776310, 1265, 0,1_Producer_Count
1512017100000 ms, 2017-11-29T22:47:05, 601545, 602809, 1264, 0,1_Producer_Count
1512017160000 ms, 2017-11-29T22:47:08, 599307, 600595, 1288, 0,1_Producer_Count
1512017220000 ms, 2017-11-29T22:47:11, 597233, 598455, 1222, 0,1_Producer_Count
1512017280000 ms, 2017-11-29T22:50:41, 388727, 390115, 1388, 0,1_Producer_Count
1512017340000 ms, 2017-11-29T22:50:45, 386547, 387804, 1257, 0,1_Producer_Count
1512017400000 ms, 2017-11-29T22:50:48, 384654, 385903, 1249, 0,1_Producer_Count
1512017460000 ms, 2017-11-29T22:51:00, 373600, 374875, 1275, 0,1_Producer_Count
1512017520000 ms, 2017-11-29T22:53:09, 246050, 247531, 1481, 0,1_Producer_Count
1512017580000 ms, 2017-11-29T22:53:14, 242743, 244019, 1276, 0,1_Producer_Count
1512017640000 ms, 2017-11-29T22:55:37, 100749, 102014, 1265, 0,1_Producer_Count
1512017700000 ms, 2017-11-29T22:55:42, 97630, 98888, 1258, 0,1_Producer_Count
1512017760000 ms, 2017-11-29T22:56:00, 80050, 81297, 1247, 0,1_Producer_Count
1512017820000 ms, 2017-11-29T22:57:00, 21962, 23202, 1240, 0,1_Producer_Count
1512017880000 ms, 2017-11-29T22:58:00, 1, 1265, 1264, 0,1_Producer_Count
