CU,Name,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,Mapper-0-1,N/A,0.538,N/A,44.316,10622.505
unit.000001,Mapper-0-2,N/A,0.542,N/A,47.318,10553.182
unit.000002,Mapper-0-3,N/A,0.467,N/A,3.005,12145.872
unit.000003,Mapper-0-4,N/A,0.518,N/A,31.181,11098.567
unit.000004,Mapper-0-5,N/A,0.545,N/A,49.395,11080.933
unit.000005,Mapper-0-6,N/A,0.495,N/A,19.187,10926.32
unit.000006,Mapper-0-7,N/A,0.487,N/A,15.216,10692.519
unit.000007,Mapper-0-8,N/A,0.493,N/A,18.245,10825.894
unit.000008,Mapper-0-9,N/A,0.501,N/A,22.181,10898.861
unit.000009,Mapper-0-10,N/A,0.505,N/A,24.245,10817.072
unit.000010,Mapper-0-11,N/A,0.513,N/A,28.176,10766.641
unit.000011,Mapper-0-12,N/A,0.516,N/A,30.245,10683.19
unit.000012,Mapper-0-13,N/A,0.522,N/A,34.182,10671.053
unit.000013,Mapper-0-14,N/A,0.525,N/A,36.252,11022.715
unit.000014,Mapper-0-15,N/A,0.531,N/A,40.185,11059.792
unit.000015,Mapper-0-16,N/A,0.534,N/A,42.233,10501.897
unit.000016,Mapper-0-17,N/A,0.541,N/A,46.375,10765.537
unit.000017,Mapper-0-18,N/A,0.544,N/A,48.254,10610.667
unit.000018,Mapper-0-19,N/A,0.483,N/A,12.212,11912.895
unit.000019,Mapper-0-20,N/A,0.47,N/A,5.078,10765.134
unit.000020,Mapper-0-21,N/A,0.478,N/A,9.02,10595.016
unit.000021,Mapper-0-22,N/A,0.481,N/A,11.085,11464.692
unit.000022,Mapper-0-23,N/A,0.526,N/A,37.182,11132.13
unit.000023,Mapper-0-24,N/A,0.472,N/A,6.019,10833.016
unit.000024,Mapper-0-25,N/A,0.508,N/A,25.18,10831.008
unit.000025,Mapper-0-26,N/A,0.536,N/A,43.187,10783.585
unit.000026,Mapper-0-27,N/A,0.476,N/A,8.083,11112.894
unit.000027,Mapper-0-28,N/A,0.465,N/A,2.068,11470.904
unit.000028,Mapper-0-29,N/A,0.539,N/A,45.252,10748.889
unit.000029,Mapper-0-30,N/A,0.53,N/A,39.245,10735.952
unit.000030,Mapper-0-31,N/A,0.521,N/A,33.244,10789.902
unit.000031,Mapper-0-32,N/A,0.511,N/A,27.251,10700.444
unit.000032,Mapper-0-33,N/A,0.498,N/A,21.239,10544.452
unit.000033,Mapper-0-34,N/A,0.486,N/A,14.111,10525.991
unit.000034,Mapper-0-35,N/A,0.468,N/A,4.133,10806.044
unit.000035,Mapper-0-36,N/A,0.474,N/A,7.145,12093.175
unit.000036,Mapper-0-37,N/A,0.479,N/A,10.147,11291.504
unit.000037,Mapper-0-38,N/A,0.484,N/A,13.15,11310.137
unit.000038,Mapper-0-39,N/A,0.491,N/A,17.116,10909.283
unit.000039,Mapper-0-40,N/A,0.497,N/A,20.117,10964.295
unit.000040,Mapper-0-41,N/A,0.503,N/A,23.118,10730.436
unit.000041,Mapper-0-42,N/A,0.509,N/A,26.119,11045.864
unit.000042,Mapper-0-43,N/A,0.514,N/A,29.307,10701.85
unit.000043,Mapper-0-44,N/A,0.519,N/A,32.307,10918.503
unit.000044,Mapper-0-45,N/A,0.524,N/A,35.315,10831.711
unit.000045,Mapper-0-46,N/A,0.528,N/A,38.289,10898.559
unit.000046,Mapper-0-47,N/A,0.533,N/A,41.306,11044.56
unit.000047,Mapper-0-48,N/A,0.489,N/A,16.179,10844.142
unit.000048,Reducer-0,N/A,12147.431,N/A,12155.639,12162.3
