t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1507170875,1,13.565653,13.565653,13.565653,0.000000,13.565653,13.565653,13.565653,13.565653,13.565653,13.565653,0.096404,0.184009,0.196694,0.198892,calls/second,milliseconds
1507170885,1,13.565653,13.565653,13.565653,0.000000,13.565653,13.565653,13.565653,13.565653,13.565653,13.565653,0.049225,0.155760,0.190246,0.196694,calls/second,milliseconds
1507170895,1,13.565653,13.565653,13.565653,0.000000,13.565653,13.565653,13.565653,13.565653,13.565653,13.565653,0.032984,0.131848,0.184009,0.194521,calls/second,milliseconds
1507170905,443,95.650544,0.545957,0.002751,4.680190,0.016980,0.257790,0.587193,5.051442,9.381483,95.650544,10.987776,6.284178,1.453980,0.620071,calls/second,milliseconds
1507170915,587,95.650544,0.456760,0.002065,4.065665,0.114024,0.248661,0.518480,3.759776,6.759840,95.650544,11.665891,8.261950,2.056527,0.833598,calls/second,milliseconds
1507170925,587,95.650544,0.456760,0.002065,4.065665,0.114024,0.248661,0.518480,3.759776,6.759840,95.650544,9.732021,6.993589,1.989106,0.824387,calls/second,milliseconds
1507170935,587,95.650544,0.456760,0.002065,4.065665,0.114024,0.248661,0.518480,3.759776,6.759840,95.650544,8.348203,5.919946,1.923895,0.815278,calls/second,milliseconds
1507170945,587,95.650544,0.456760,0.002065,4.065665,0.114024,0.248661,0.518480,3.759776,6.759840,95.650544,7.308743,5.011126,1.860823,0.806269,calls/second,milliseconds
1507170955,587,95.650544,0.456760,0.002065,4.065665,0.114024,0.248661,0.518480,3.759776,6.759840,95.650544,6.499315,4.241826,1.799818,0.797360,calls/second,milliseconds
1507170965,636,95.650544,0.400081,0.002065,3.733787,0.012360,0.235194,0.497300,3.759776,6.709940,95.650544,6.339957,4.374193,1.902792,0.842843,calls/second,milliseconds
1507170975,676,95.650544,0.386891,0.002065,3.466148,0.115798,0.265134,0.497300,0.997641,6.562290,95.650544,6.127886,4.341041,1.972585,0.877845,calls/second,milliseconds
1507170985,835,95.650544,0.375478,0.001618,3.023092,0.014088,0.262715,0.497300,4.414163,5.598281,25.197440,6.940328,6.013905,2.424836,1.043346,calls/second,milliseconds
1507170995,841,95.650544,0.374185,0.001618,2.996352,0.014849,0.263592,0.491390,3.759776,5.598281,25.197440,6.453492,5.138634,2.355258,1.035142,calls/second,milliseconds
1507171005,932,95.650544,0.334016,0.001306,2.654049,0.013641,0.263097,0.431902,0.997641,5.598281,25.197440,6.642225,5.810732,2.586977,1.127656,calls/second,milliseconds
1507171015,932,95.650544,0.334016,0.001306,2.654049,0.013641,0.263097,0.431902,0.997641,5.598281,25.197440,6.200324,4.918678,2.502166,1.115196,calls/second,milliseconds
1507171025,955,95.650544,0.339386,0.001306,2.572481,0.014849,0.263649,0.481823,3.759776,5.660531,25.197440,5.957037,4.496828,2.489446,1.126130,calls/second,milliseconds
1507171035,1036,95.650544,0.294682,0.001306,2.272880,0.019196,0.260611,0.390016,0.790606,5.598281,25.197440,6.082980,5.040391,2.672972,1.203142,calls/second,milliseconds
1507171045,1324,25.197440,0.237114,0.001306,1.045373,0.017542,0.249347,0.340114,0.860042,5.259363,12.068885,7.342749,8.737808,3.536894,1.510379,calls/second,milliseconds
1507171055,1331,25.197440,0.237225,0.001306,1.036944,0.017966,0.251286,0.342160,0.790606,5.259363,12.068885,6.993577,7.475071,3.437415,1.499224,calls/second,milliseconds
1507171065,1421,25.197440,0.225875,0.001306,0.973232,0.017542,0.246515,0.338313,0.748729,5.259363,9.381483,7.093816,7.681065,3.623821,1.584032,calls/second,milliseconds
1507171075,1428,25.197440,0.226654,0.001306,0.966262,0.021638,0.246515,0.337344,0.649395,5.259363,9.381483,6.789814,6.596549,3.524798,1.573171,calls/second,milliseconds
1507171085,1518,25.197440,0.261225,0.001306,1.272020,0.017800,0.247189,0.337344,0.752179,5.570654,18.990761,6.890236,6.989185,3.707930,1.656380,calls/second,milliseconds
