BatchTime, SubmissionTime, SchedulingDelay, ProcessingDelay, TotalDelay, NumberRecords, Scenario
1529209920000 ms, 2018-06-16T23:32:00, 4, 121448, 121452, 48,light-sirt-1-1-1-100
1529209980000 ms, 2018-06-16T23:33:00, 61507, 60749, 122256, 24,light-sirt-1-1-1-100
1529210040000 ms, 2018-06-16T23:34:00, 62258, 60918, 123176, 24,light-sirt-1-1-1-100
1529210100000 ms, 2018-06-16T23:35:00, 63177, 60306, 123483, 24,light-sirt-1-1-1-100
1529210400000 ms, 2018-06-16T23:40:00, 4, 63261, 63265, 24,light-sirt-1-1-2-100
1529210460000 ms, 2018-06-16T23:41:00, 3317, 121200, 124517, 48,light-sirt-1-1-2-100
1529210520000 ms, 2018-06-16T23:42:00, 64519, 60710, 125229, 24,light-sirt-1-1-2-100
1529210580000 ms, 2018-06-16T23:43:00, 65230, 60961, 126191, 24,light-sirt-1-1-2-100
1529210880000 ms, 2018-06-16T23:48:00, 5, 62514, 62519, 24,light-sirt-1-1-4-100
1529210940000 ms, 2018-06-16T23:49:00, 2569, 120799, 123368, 48,light-sirt-1-1-4-100
1529211000000 ms, 2018-06-16T23:50:00, 63374, 60690, 124064, 24,light-sirt-1-1-4-100
1529211060000 ms, 2018-06-16T23:51:00, 64066, 63988, 128054, 24,light-sirt-1-1-4-100
1529211120000 ms, 2018-06-16T23:52:00, 68055, 63088, 131143, 24,light-sirt-1-1-4-100
1529211180000 ms, 2018-06-16T23:53:00, 71143, 60795, 131938, 24,light-sirt-1-1-4-100
1529211420000 ms, 2018-06-16T23:57:00, 4, 62686, 62690, 24,light-sirt-1-1-8-100
1529211480000 ms, 2018-06-16T23:58:00, 2746, 62596, 65342, 24,light-sirt-1-1-8-100
1529211540000 ms, 2018-06-16T23:59:00, 5345, 61972, 67317, 24,light-sirt-1-1-8-100
1529211600000 ms, 2018-06-17T00:00:00, 7317, 121581, 128898, 48,light-sirt-1-1-8-100
1529211660000 ms, 2018-06-17T00:01:00, 68899, 59819, 128718, 24,light-sirt-1-1-8-100
1529211720000 ms, 2018-06-17T00:02:00, 68719, 62366, 131085, 24,light-sirt-1-1-8-100
1529211960000 ms, 2018-06-17T00:06:00, 4, 121876, 121880, 48,light-sirt-1-1-16-100
1529212020000 ms, 2018-06-17T00:07:00, 61934, 62549, 124483, 24,light-sirt-1-1-16-100
1529212080000 ms, 2018-06-17T00:08:00, 64485, 122061, 186546, 48,light-sirt-1-1-16-100
1529212140000 ms, 2018-06-17T00:09:00, 126551, 63475, 190026, 24,light-sirt-1-1-16-100
1529212440000 ms, 2018-06-17T00:14:00, 5, 63129, 63134, 24,light-sirt-1-2-1-100
1529212500000 ms, 2018-06-17T00:15:00, 3186, 60291, 63477, 24,light-sirt-1-2-1-100
1529212560000 ms, 2018-06-17T00:16:00, 3480, 119864, 123344, 48,light-sirt-1-2-1-100
1529212620000 ms, 2018-06-17T00:17:00, 63342, 61017, 124359, 24,light-sirt-1-2-1-100
1529212680000 ms, 2018-06-17T00:18:00, 64363, 60787, 125150, 24,light-sirt-1-2-1-100
1529212740000 ms, 2018-06-17T00:19:00, 65150, 60107, 125257, 24,light-sirt-1-2-1-100
1529212980000 ms, 2018-06-17T00:23:00, 5, 63022, 63027, 24,light-sirt-1-2-2-100
1529213040000 ms, 2018-06-17T00:24:00, 3084, 119981, 123065, 48,light-sirt-1-2-2-100
1529213100000 ms, 2018-06-17T00:25:00, 63068, 61217, 124285, 24,light-sirt-1-2-2-100
1529213160000 ms, 2018-06-17T00:26:00, 64286, 61104, 125390, 24,light-sirt-1-2-2-100
1529213220000 ms, 2018-06-17T00:27:00, 65392, 119964, 185356, 48,light-sirt-1-2-2-100
1529213280000 ms, 2018-06-17T00:28:00, 125356, 132, 125488, 0,light-sirt-1-2-2-100
1529213460000 ms, 2018-06-17T00:31:00, 5, 62855, 62860, 24,light-sirt-1-2-4-100
1529213520000 ms, 2018-06-17T00:32:00, 2913, 63201, 66114, 24,light-sirt-1-2-4-100
1529213580000 ms, 2018-06-17T00:33:00, 6115, 61009, 67124, 24,light-sirt-1-2-4-100
1529213640000 ms, 2018-06-17T00:34:00, 7125, 60198, 67323, 24,light-sirt-1-2-4-100
1529213700000 ms, 2018-06-17T00:35:00, 7326, 118819, 126145, 48,light-sirt-1-2-4-100
1529213760000 ms, 2018-06-17T00:36:00, 66142, 62462, 128604, 24,light-sirt-1-2-4-100
1529214000000 ms, 2018-06-17T00:40:00, 4, 62709, 62713, 24,light-sirt-1-2-8-100
1529214060000 ms, 2018-06-17T00:41:00, 2767, 62294, 65061, 24,light-sirt-1-2-8-100
1529214120000 ms, 2018-06-17T00:42:00, 5061, 62927, 67988, 24,light-sirt-1-2-8-100
1529214180000 ms, 2018-06-17T00:43:00, 7989, 119158, 127147, 48,light-sirt-1-2-8-100
1529214240000 ms, 2018-06-17T00:44:00, 67150, 62778, 129928, 24,light-sirt-1-2-8-100
1529214300000 ms, 2018-06-17T00:45:00, 69928, 60751, 130679, 24,light-sirt-1-2-8-100
1529214540000 ms, 2018-06-17T00:49:00, 4, 63049, 63053, 24,light-sirt-1-2-16-100
1529214600000 ms, 2018-06-17T00:50:00, 3108, 120490, 123598, 48,light-sirt-1-2-16-100
1529214660000 ms, 2018-06-17T00:51:00, 63600, 62842, 126442, 24,light-sirt-1-2-16-100
1529214720000 ms, 2018-06-17T00:52:00, 66441, 60748, 127189, 24,light-sirt-1-2-16-100
1529214780000 ms, 2018-06-17T00:53:00, 67191, 61866, 129057, 24,light-sirt-1-2-16-100
1529215080000 ms, 2018-06-17T00:58:00, 4, 62977, 62981, 24,light-sirt-1-4-1-100
1529215140000 ms, 2018-06-17T00:59:00, 3035, 60760, 63795, 24,light-sirt-1-4-1-100
1529215200000 ms, 2018-06-17T01:00:00, 3798, 120196, 123994, 48,light-sirt-1-4-1-100
1529215260000 ms, 2018-06-17T01:01:00, 63996, 60969, 124965, 24,light-sirt-1-4-1-100
1529215320000 ms, 2018-06-17T01:02:00, 64956, 61027, 125983, 24,light-sirt-1-4-1-100
1529215380000 ms, 2018-06-17T01:03:00, 65992, 61139, 127131, 24,light-sirt-1-4-1-100
1529215620000 ms, 2018-06-17T01:07:00, 4, 122272, 122276, 48,light-sirt-1-4-2-100
1529215680000 ms, 2018-06-17T01:08:00, 62331, 60717, 123048, 24,light-sirt-1-4-2-100
1529215740000 ms, 2018-06-17T01:09:00, 63048, 62703, 125751, 24,light-sirt-1-4-2-100
