Application,Number_Clusters,Number_Points_per_Cluster,Number_Dim,Number_Points_per_Message,Number_Messages,Interval,Number_Partitions,Number_Processes,Number_Nodes,Number_Cores_Per_Node, Number_Brokers, Time,Points_per_sec,Records_per_sec,Dask_Config
light-sirt,-1,-1,-1,-1,24,0,48,8,2,48,1,5.82535,4.11992,4.11992,dask-distributed
light-sirt,-1,-1,-1,-1,24,0,48,8,2,48,1,5.54500,4.32822,4.32822,dask-distributed
light-sirt,-1,-1,-1,-1,24,0,48,8,2,48,1,5.46758,4.38951,4.38951,dask-distributed
light-sirt,-1,-1,-1,-1,24,0,48,8,2,48,1,5.58003,4.30105,4.30105,dask-distributed
light-sirt,-1,-1,-1,-1,24,0,48,8,2,48,1,5.55946,4.31696,4.31696,dask-distributed
light-sirt,-1,-1,-1,-1,24,0,48,8,2,48,1,5.56754,4.31070,4.31070,dask-distributed
light-sirt,-1,-1,-1,-1,24,0,48,8,2,48,1,5.54070,4.33158,4.33158,dask-distributed
light-sirt,-1,-1,-1,-1,24,0,48,8,2,48,1,5.43049,4.41949,4.41949,dask-distributed
light-sirt,-1,-1,-1,-1,24,0,48,8,2,48,1,5.53203,4.33837,4.33837,dask-distributed
light-sirt,-1,-1,-1,-1,24,0,48,8,2,48,1,5.57051,4.30840,4.30840,dask-distributed
