BatchTime, SubmissionTime, SchedulingDelay, ProcessingDelay, TotalDelay, NumberRecords, Scenario
1529643720000 ms, 2018-06-22T00:02:00, 4, 121706, 121710, 48,light-sirt-1-1-1-100
1529643780000 ms, 2018-06-22T00:03:00, 61764, 60234, 121998, 24,light-sirt-1-1-1-100
1529643840000 ms, 2018-06-22T00:04:00, 62000, 60672, 122672, 24,light-sirt-1-1-1-100
1529643900000 ms, 2018-06-22T00:05:00, 62675, 117528, 180203, 48,light-sirt-1-1-1-100
1529643960000 ms, 2018-06-22T00:06:00, 120203, 60758, 180961, 24,light-sirt-1-1-1-100
1529644020000 ms, 2018-06-22T00:07:00, 120963, 118805, 239768, 48,light-sirt-1-1-1-100
1529644080000 ms, 2018-06-22T00:08:00, 179768, 59854, 239622, 24,light-sirt-1-1-1-100
