,Atom,Length,Run,Cores,StageInPending,StageInPendingStd,StageInDelay,StageInDelayStd,SchedulerDelay,SchedulerDelayStd,Execution,ExecutionStd,StageOut,StageOutStd,TotalTime,TotalTimeStd
0,CA,Short,1.0,16.0,6.54897746444,0.384346463226,0.0889516025775,0.0603810542155,0.00396966934312,0.00127279694621,26.2697247714,0.606018190442,0.495031431313,0.429440502014,26.3626460433,0.616716929375
1,CA,Short,2.0,16.0,6.39453032613,0.33928740236,0.0731774121506,0.0272695009633,0.00401420891375,0.0013226396872,24.3473173231,0.421157172253,0.941125005481,0.322896501087,24.4245089442,0.434836137149
2,CA,Short,3.0,16.0,6.3571356535,0.35334976682,0.0728816539038,0.0148624219273,0.00387141108687,0.000629236907753,25.7865611315,0.419749848086,0.786482363937,0.322013396415,25.8633141965,0.424972851791
3,CA,Short,1.0,64.0,7.19527676702,0.752917431602,0.0405778028064,0.00761732577017,0.0030284561225,0.00148415783414,7.10986109823,0.538239619435,1.38481065632,0.61075548567,7.15346735716,0.537486840741
4,CA,Short,2.0,64.0,7.23996986449,0.735615523742,0.0402697771786,0.00795813298649,0.00282162800437,0.000558103231418,6.99916390703,0.508262258966,1.03342253342,0.310905735135,7.04225531221,0.508850273765
5,CA,Short,3.0,64.0,7.27190245688,0.743199266874,0.0404614992439,0.00882947364458,0.00395447760844,0.00334403055555,6.90136178956,0.401485778252,0.863305013623,0.244927668969,6.94577776641,0.403975209622
6,CA,Short,1.0,256.0,9.13001614437,1.72415630631,0.0709259724235,0.11200493637,0.0785211846238,0.0912691062391,2.11088054161,0.25696446336,6.78240283485,1.67845088238,2.26032769866,0.246430251702
7,CA,Short,2.0,256.0,8.94833193626,1.56711326214,0.0327535374081,0.0278800191697,0.191129469315,0.159325041594,2.09199946467,0.233232393428,7.44142697192,1.96982060495,2.31588247139,0.223706034971
8,CA,Short,3.0,256.0,9.4838623181,1.90026080295,0.0438214056191,0.0425489849186,0.0684648435564,0.0692810377811,2.02475310303,0.208735042853,6.76258410513,2.03254062824,2.13703935221,0.198868898795
9,CA,Short,1.0,1024.0,15.8060341114,5.29959399436,0.0291383047566,0.0161492746603,0.309540013085,0.156793239723,0.777417001781,0.10302442893,13.3659961026,6.76131401261,1.11609531962,0.151448383033
10,CA,Short,2.0,1024.0,15.8060341114,5.29959399436,0.439107018289,0.362573146117,0.728118770988,0.535832781213,0.763297053519,0.150265720602,15.8093276545,8.02754530435,1.9305228428,0.591100504381
11,CA,Short,3.0,1024.0,15.8060341114,5.29959399436,0.322093529396,0.277928909649,0.903289621927,0.441378521914,0.753849565982,0.122221519474,17.1899945119,7.79741637482,1.9792327173,0.597797014629
12,CA,Med,1.0,16.0,6.35724176466,0.328542402234,0.0722467154256,0.0274884836812,0.00384435057688,0.000934942499625,57.7352815867,2.33507285928,0.325605601056,0.294829748802,57.8113726527,2.33857791209
13,CA,Med,2.0,16.0,6.41139033437,0.337342425831,0.0734996944656,0.0284822952694,0.00380164384938,0.000893282835233,57.7380962372,1.7474401085,1.22640182077,0.451023524183,57.8153975755,1.75785130939
14,CA,Med,3.0,16.0,6.37289877236,0.34906792516,0.0718595087519,0.0193698801586,0.00384321808812,0.000578476657825,57.9686648846,2.12397106496,0.918124645956,1.23907198812,58.0443676114,2.13169546927
15,CA,Med,1.0,64.0,7.18746298924,0.703215420017,0.0391519702978,0.00826036632377,0.00311074033297,0.00198083383066,15.7019918039,0.767743400999,0.843802049759,0.558317773166,15.7442545146,0.767583140634
16,CA,Med,2.0,64.0,7.30855572224,0.820691462531,0.043264184147,0.0077570656687,0.00304940342937,0.00114114206342,15.4723274596,0.701351515551,0.583076916636,0.396181745797,15.5186410472,0.703461515501
