Index,Atom,Length,Window,Tasks,Run,DataInit,Exec,Write,TotalTime,TaskTime,SchedulerDelay,DeserializeTime,Runtime,ResultSerialization,ResultSize,ReadTime,Exec
0,CA,Short,32,21,1,0,17.081,0.004,17.085,13.1395714286,0.111,0.464,12.5644761905,9.52380952381E-05,9401,1.7142857143,9
1,CA,Short,32,21,2,0,14.892,0.004,14.896,11.4357619048,0.1100952381,0.459,10.8666666667,0,9402,0,9
2,CA,Short,32,21,3,0,15.848,0.004,15.852,12.2368571429,0.1058095238,0.4422857143,11.6887142857,0.000047619,9402,0.9523809524,9
3,CA,Short,24,36,1,0,10.615,0.004,10.619,7.13444444444,0.113055555556,0.429861111111,6.59147222222,5.55555555556e-05,5801.0,0.0,5.0
4,CA,Short,24,36,2,0,12.354,0.003,12.357,7.9355,0.106583333333,0.435166666667,7.39363888889,0.000111111111111,5801.0,0.638888888889,5.0
5,CA,Short,24,36,3,0,10.638,0.004,10.642,7.10838888889,0.110944444444,0.41125,6.58611111111,8.33333333333e-05,5801.0,0.0,5.0
6,CA,Short,16,78,1,0,7.235,0.004,7.239,3.88796153846,0.121358974359,0.410884615385,3.35569230769,2.5641025641e-05,3228.0,0.0,2.0
7,CA,Short,16,78,2,0,7.305,0.006,7.311,3.9451025641,0.120230769231,0.413474358974,3.41132051282,7.69230769231e-05,3228.0,0.0,2.0
8,CA,Short,16,78,3,0,8.192,0.004,8.196,4.26244871795,0.121935897436,0.437166666667,3.70328205128,6.41025641026e-05,3228.0,0.153846153846,2.0
9,CA,Short,12,136,1,0,11.49,0.006,11.496,3.53297794118,0.134286764706,0.436198529412,2.96242647059,6.61764705882e-05,2329.11764706,0.0,1.23529411765
10,CA,Short,12,136,2,0,11.411,0.006,11.417,3.19386764706,0.135301470588,0.426889705882,2.63158088235,9.55882352941e-05,2329.11764706,0.0,1.23529411765
11,CA,Short,12,136,3,0,11.347,0.004,11.351,3.99716176471,0.102933823529,0.3405,3.55366911765,5.88235294118e-05,2329.58823529,1.10294117647,1.0
12,CA,Short,8,300,1,0,5.804,0.004,5.808,2.30771,0.120376666667,0.39804,1.78926333333,3e-05,1684.52,0.0,0.0
13,CA,Short,8,300,2,0,5.514,0.004,5.518,2.03672333333,0.12422,0.384293333333,1.52813333333,7.66666666667e-05,1684.84,0.0,0.0
14,CA,Short,8,300,3,0,5.633,0.004,5.637,2.19398333333,0.12087,0.386723333333,1.68634666667,4.33333333333e-05,1685.0,0.0,0.0
15,CA,Short,6,528,1,0,5.974,0.005,5.979,1.97928030303,0.113638257576,0.355914772727,1.50968939394,3.78787878788e-05,1460.81818182,0.0,0.0
16,CA,Short,6,528,2,0.001,5.591,0.004,5.596,2.14717992424,0.173149621212,0.473977272727,1.50000757576,4.54545454545e-05,1460.90909091,0.0,0.0
17,CA,Short,6,528,3,0,5.411,0.004,5.415,1.86385795455,0.120664772727,0.378518939394,1.36460984848,6.43939393939e-05,1460.90909091,0.0,0.0
18,CA,Med,32,21,1,0,24.134,0.004,24.138,20.5943809524,0.1127619048,0.4457142857,20.0359047619,0,9401,0,18
19,CA,Med,32,21,2,0,24.121,0.004,24.125,20.4986190476,0.118,0.4453809524,19.9351904762,0.000047619,9401,0,18
20,CA,Med,32,21,3,0,24.477,0.005,24.482,20.6085714286,0.1104761905,0.4424761905,20.0555714286,0.000047619,9401,0,18.0476190476
21,CA,Med,24,36,1,0,16.631,0.006,16.637,12.7827222222,0.110666666667,0.423777777778,12.24825,2.77777777778e-05,5800.0,0.0,10.6388888889
22,CA,Med,24,36,2,0,16.152,0.005,16.157,12.4114444444,0.107611111111,0.416527777778,11.8872777778,2.77777777778e-05,5800.0,0.0,10.0833333333
23,CA,Med,24,36,3,0.001,16.564,0.004,16.569,12.8950555556,0.115611111111,0.430944444444,12.3484166667,8.33333333333e-05,5800.0,0.416666666667,10.1111111111
24,CA,Med,16,78,1,0,9.65,0.005,9.655,6.26138461538,0.115192307692,0.412102564103,5.73406410256,2.5641025641e-05,3228.0,0.0,4.0
25,CA,Med,16,78,2,0,9.591,0.008,9.599,6.16907692308,0.117615384615,0.388833333333,5.66261538462,1.28205128205e-05,3227.0,0.0,4.0
26,CA,Med,16,78,3,0,9.554,0.004,9.558,6.15420512821,0.113794871795,0.406294871795,5.63405128205,6.41025641026e-05,3227.0,0.0,4.0
27,CA,Med,12,136,1,0,9.881,0.005,9.886,3.92041911765,0.1055,0.356213235294,3.45861764706,8.82352941176e-05,2329.17647059,0.0,2.00735294118
28,CA,Med,12,136,2,0.001,7.721,0.005,7.727,4.18401470588,0.115191176471,0.398125,3.67065441176,4.41176470588e-05,2329.0,0.0,2.0
29,CA,Med,12,136,3,0,7.665,0.004,7.669,4.29205882353,0.118352941176,0.407235294118,3.76643382353,3.67647058824e-05,2329.0,0.0,2.0
30,CA,Med,8,300,1,0,5.929,0.004,5.933,2.58386333333,0.118473333333,0.396826666667,2.06851666667,4.66666666667e-05,1684.68,0.0,1.0
31,CA,Med,8,300,2,0,6.017,0.004,6.021,2.60725666667,0.11825,0.392873333333,2.09606333333,7e-05,1684.68,0.0,1.0
32,CA,Med,8,300,3,0,6.118,0.005,6.123,2.58977666667,0.119413333333,0.38255,2.08777,4.33333333333e-05,1684.68,0.0,1.0
33,CA,Med,6,528,1,0,5.81,0.005,5.815,2.16883712121,0.122628787879,0.378924242424,1.66724242424,4.16666666667e-05,1460.40909091,0.0,0.0
34,CA,Med,6,528,2,0.001,5.769,0.006,5.776,2.19962310606,0.123412878788,0.375689393939,1.70046780303,5.30303030303e-05,1460.63636364,0.0,0.0
35,CA,Med,6,528,3,0,5.952,0.006,5.958,2.18676893939,0.120486742424,0.367643939394,1.69857386364,6.43939393939e-05,1460.68181818,0.0,0.0
36,CA,Long,32,21,1,0.001,82.082,0.004,82.087,64.894,0.1047619048,0.4303333333,64.3589047619,0,9402,0.2857142857,62.2857142857
37,CA,Long,32,21,2,0.001,81.272,0.005,81.278,65.1105238095,0.104952381,0.4381904762,64.5672857143,9.52380952380952E-05,9402,0,62.4285714286
38,CA,Long,32,21,3,0,89.899,0.005,89.904,67.0087142857,0.1135714286,0.4363333333,66.4587142857,9.52380952380952E-05,9401,0.1428571429,64.3333333333
39,CA,Long,24,36,1,0,54.477,0.005,54.482,38.4526666667,0.108166666667,0.430944444444,37.9134722222,8.33333333333e-05,5801.0,0.0,36.1111111111
40,CA,Long,24,36,2,0,54.453,0.004,54.457,40.6128611111,0.111,0.431555555556,40.0701944444,0.000111111111111,5800.0,0.0,38.2222222222
41,CA,Long,24,36,3,0.001,54.142,0.004,54.147,36.0537222222,0.114555555556,0.426611111111,35.5125,5.55555555556e-05,5801.0,0.0,33.6944444444
42,CA,Long,16,78,1,0.001,31.261,0.006,31.268,20.1949102564,0.122371794872,0.415948717949,19.6565,8.97435897436e-05,3227.92307692,0.153846153846,17.6794871795
43,CA,Long,16,78,2,0,32.177,0.005,32.182,20.1296410256,0.118935897436,0.405794871795,19.6048076923,0.000102564102564,3227.69230769,1.26923076923,16.7948717949
44,CA,Long,16,78,3,0,30.533,0.004,30.537,19.5217307692,0.120294871795,0.417961538462,18.9834102564,6.41025641026e-05,3227.61538462,0.0641025641026,17.0
45,CA,Long,12,136,1,0.001,19.809,0.004,19.814,12.1800955882,0.116977941176,0.399830882353,11.6631911765,9.55882352941e-05,2330.0,0.0,10.0294117647
46,CA,Long,12,136,2,0,19.725,0.006,19.731,11.9203455882,0.117257352941,0.408617647059,11.3943676471,0.000102941176471,2330.0,0.0,9.89705882353
47,CA,Long,12,136,3,0,19.485,0.006,19.491,12.0932573529,0.116742647059,0.386588235294,11.5898823529,4.41176470588e-05,2330.0,0.0,10.1102941176
48,CA,Long,8,300,1,0,11.993,0.004,11.997,6.51013333333,0.119773333333,0.387376666667,6.00290666667,7.66666666667e-05,1684.84,0.0,4.58666666667
49,CA,Long,8,300,2,0,12.105,0.005,12.11,6.62204,0.12021,0.393253333333,6.10849666667,8e-05,1684.84,0.0,4.65666666667
50,CA,Long,8,300,3,0.001,12.29,0.005,12.296,6.73867666667,0.118893333333,0.388426666667,6.23128666667,7e-05,1685.0,0.0,4.46666666667
51,CA,Long,6,528,1,0,9.267,0.005,9.272,4.49857954545,0.122729166667,0.384926136364,3.99086742424,5.68181818182e-05,1461.0,0.0,2.29545454545
52,CA,Long,6,528,2,0,9.319,0.005,9.324,4.49670833333,0.121956439394,0.375577651515,3.99912689394,4.73484848485e-05,1461.0,0.0,2.30113636364
53,CA,Long,6,528,3,0,9.012,0.005,9.017,4.34534090909,0.118785984848,0.375545454545,3.85096401515,4.54545454545e-05,1460.22727273,0.0,2.27462121212
