,Atom,Length,Run,Cores,StageInDelay,StageInDelayStd,SchedulerDelay,SchedulerDelayStd,Execution,ExecutionStd,StageOut,StageOutStd,TotalTime,TotalTimeStd
0,CA,Short,1.0,21.0,0.0654275757919,0.015598502348,0.00387421108524,0.000864146394785,20.7225873243,0.622323837836,1.38868677048,0.363512476344,20.7918891112,0.619521161236
1,CA,Short,2.0,21.0,0.064492350531,0.0181703818847,0.00385499000619,0.00111762134413,20.9108124687,0.586440375011,1.46751309577,0.464446009898,20.9791598093,0.594340115724
2,CA,Short,3.0,21.0,0.0623466173805,0.0157217637935,0.0039114611481,0.000897993746079,20.6572534243,0.554542871121,1.34773147676,0.359124941049,20.7235115028,0.555297612681
3,CA,Short,1.0,36.0,0.0471252004303,0.0103982643743,0.00323583682361,0.000722330453071,12.1338253882,0.27171154539,1.60758699311,0.408681829974,12.1841864255,0.27186901617
4,CA,Short,2.0,36.0,0.0471859508089,0.00963582197716,0.00327087110917,0.000618937554569,12.1571578847,0.307331218697,1.6453614235,0.425138995616,12.2076147066,0.306903573643
5,CA,Short,3.0,36.0,0.0528406169692,0.0303484123209,0.00324994325528,0.000675962571318,12.1165631745,0.237164840669,1.34990027878,0.279796428037,12.1726537347,0.230433444401
6,CA,Short,1.0,78.0,0.0344318334874,0.00558898411327,0.002641378305,0.000353857490779,6.10259814446,0.143793785816,1.46796275714,0.213262176116,6.13967135625,0.143456719316
7,CA,Short,2.0,78.0,0.0374982448726,0.00686970673512,0.00268586782256,0.00039908570608,6.00670728623,0.15093169543,1.63279272042,0.265973181472,6.04689139893,0.15074469616
8,CA,Short,3.0,78.0,0.0391780229714,0.00919433645931,0.00271130830795,0.000399356509355,5.98104845867,0.157805649321,1.52778643828,0.403844445861,6.02293778995,0.157946696798
9,CA,Short,1.0,136.0,0.027336571146,0.00648334228727,0.00241729967787,0.000453653322525,3.90380450206,0.096287547309,4.46765789565,0.372935452668,3.93355837289,0.0969064606617
10,CA,Short,2.0,136.0,0.0271230602965,0.00424891337443,0.00246629469574,0.000527932576576,3.92350810065,0.109485622105,4.01939507092,0.120560657123,3.95309745564,0.109672490066
11,CA,Short,3.0,136.0,0.0269762733407,0.00490972666143,0.00243873280632,0.000585231865315,3.92681703322,0.115627105404,4.3612546167,0.535717018891,3.95623203936,0.114878289056
12,CA,Short,1.0,300.0,0.106337996322,0.127360744081,0.0307295346283,0.0523284084052,2.17643242995,0.206299778709,7.01178427458,2.35262617073,2.3134999609,0.173632682717
13,CA,Short,2.0,300.0,0.17559344212,0.196344463261,0.0116053899159,0.013574690172,2.16217617909,0.195634202878,7.49122618198,2.10736476418,2.34937501113,0.172361948365
14,CA,Short,3.0,300.0,0.293239990872,0.34693998813,0.0138143706314,0.0182654415019,2.19265003046,0.229921963475,7.71217907826,2.25451898916,2.49970439196,0.271332242457
15,CA,Short,1.0,528.0,0.0505148289769,0.0520536807086,0.374720362552,0.190376911606,1.25102062704,0.142261257578,12.1714585785,4.59794051071,1.67625581857,0.145964356555
16,CA,Short,2.0,528.0,0.0638134998798,0.057427742508,0.248775376065,0.165473178501,1.29928361105,0.21194139968,11.6546657018,4.54627731683,1.611872487,0.266357453235
17,CA,Short,3.0,528.0,0.0525367684424,0.0501417760871,0.283614632308,0.174990536535,1.21494436761,0.122937819843,11.9097287619,4.82126707582,1.55109576836,0.148439805438
18,CA,Med,1.0,21.0,0.0891726471129,0.0495832450271,0.00387518746524,0.00105933997726,32.1538240455,9.81571812655,1.34811463811,0.437745555588,32.2468718801,9.80458580443
19,CA,Med,2.0,21.0,0.0655726705281,0.0176489980632,0.00384050323952,0.00110579932801,34.0260335037,9.03544481576,1.22547469821,0.479033111665,34.0954466774,9.03349302092
20,CA,Med,3.0,21.0,0.0666017872933,0.0193539874996,0.00384734925762,0.00111188464015,33.5631682192,10.1872060053,1.19168379193,0.310320501861,33.6336173557,10.1828616166
21,CA,Med,1.0,36.0,0.0641545719575,0.0165738939461,0.00345659918167,0.000740774079442,21.6737187571,4.58038601319,1.20173401304,0.523712426699,21.7413299282,4.57810855513
22,CA,Med,2.0,36.0,0.0551368395486,0.032552344203,0.00331882635694,0.000673174658197,22.5314023892,4.27658197944,1.31339508957,0.476885103079,22.5898580551,4.27752501789
23,CA,Med,3.0,36.0,0.0632168849325,0.024468106782,0.00340184238139,0.000621799426647,22.343049407,4.62317489598,1.34592674176,0.411460324059,22.4096681343,4.62378238483
24,CA,Med,1.0,78.0,0.0437714809023,0.0103267326092,0.0028859376909,0.000422729396047,10.8921695428,1.65388976901,1.29366092804,0.424231352108,10.9388269614,1.65360234289
