Number_Clusters,Number_Points_per_Cluster,Number_Dim,Number_Points_per_Message,Interval,Number_Partitions, Time
100,100,3,5000,120,48,0.09155
100,1000,3,5000,120,48,1.53531
100,10000,3,5000,120,48,6.22387
100,100000,3,5000,120,48,61.79436
100,1000000,3,5000,120,48,746.68429
