Executable,Number_Messages,Nodes,TTC,Throughput,System,parallel_tasks,Partitions,Dask-Config,Dask_Nodes
PeakFinder,500,1.0,67.6692080498,7.38888505437,Wrangler,7,24,dask-distributed,1.0
PeakFinder,500,1.0,101.827593088,4.91026041995,Wrangler,8,24,dask-distributed,1.0
PeakFinder,500,1.0,65.6485061646,7.61631953584,Wrangler,9,24,dask-distributed,1.0
PeakFinder,500,1.0,76.5372610092,6.53276578502,Wrangler,10,24,dask-distributed,1.0
PeakFinder,500,1.0,89.6796090603,5.57540343049,Wrangler,11,24,dask-distributed,1.0
PeakFinder,500,1.0,90.7911598682,5.50714409559,Wrangler,1,24,dask-distributed-gpfs,1.0
PeakFinder,500,1.0,54.9199979305,9.10415183614,Wrangler,2,24,dask-distributed-gpfs,1.0
PeakFinder,500,1.0,45.9481418133,10.8818328722,Wrangler,3,24,dask-distributed-gpfs,1.0
PeakFinder,500,1.0,90.6838450432,5.51366122336,Wrangler,1,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,55.5209572315,9.00560842125,Wrangler,2,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,47.0089919567,10.6362629614,Wrangler,3,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,43.6453859806,11.4559646745,Wrangler,4,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,40.1969139576,12.4387658348,Wrangler,5,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,43.5457339287,11.4821810288,Wrangler,6,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,37.7371749878,13.2495344488,Wrangler,7,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,39.340170145,12.7096552495,Wrangler,8,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,46.612555027,10.7267237273,Wrangler,9,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,35.5363349915,14.0701059949,Wrangler,10,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,33.6842551231,14.8437303474,Wrangler,11,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,32.8816320896,15.2060578574,Wrangler,12,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,28.9197258949,17.2892371738,Wrangler,13,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,28.8754439354,17.315751097,Wrangler,14,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,29.982257843,16.6765292533,Wrangler,15,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,36.4866631031,13.7036373698,Wrangler,16,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,58.0808138847,8.60869479192,Wrangler,17,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,28.8768150806,17.3149289007,Wrangler,18,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,28.8251421452,17.3459682343,Wrangler,19,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,93.6426000595,5.3394502041,Wrangler,20,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,33.337542057,14.9981063134,Wrangler,21,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,68.7156608105,7.27636166345,Wrangler,22,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,38.8024680614,12.885778276,Wrangler,23,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,63.3390479088,7.89402456317,Wrangler,24,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,37.3299460411,13.394072401,Wrangler,5,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,49.0143699646,10.2010900142,Wrangler,6,24,dask-distributed-kafka-gpfs,1.0
