#HOST     VIRT_MAX  RES_MAX  FREE_MIN
c435-701 2.2497 0.1882 19.1373
c435-702 0.6937 0.1208 19.1957
c535-702 0.6937 0.1180 19.2264
c535-703 0.6937 0.1208 19.2060
c554-503 0.6937 0.1182 19.1807
c554-504 0.6937 0.1209 19.1783
c554-601 0.6937 0.1209 19.1773
c554-602 0.6937 0.1209 19.1738
c554-603 0.6937 0.1208 19.1678
c554-604 0.6937 0.1209 19.1821
c554-701 0.6937 0.1209 19.1710
c554-702 0.6937 0.1208 19.1689
c554-703 0.6937 0.1209 19.1699
c554-704 0.6937 0.1208 19.1731
c554-801 0.6937 0.1182 19.1681
c554-802 0.6937 0.1209 19.2213
