TIMESTAMP        home1-RQ         home1-RD         home1-WR         work-RQ          work-RD          work-WR          scratch-RQ       scratch-RD       scratch-WR       
1481747898        434918           7298119874        20163794         438348            84120297541      28768401488       160423           392062979173      11775321941      
1481747899        434918           7298119874        20163794         438405            84615241325      28768406573       160426           392062979173      11775321941      
1481747900        434918           7298119874        20163794         438463            85068242069      28768411658       160426           392062979173      11775321941      
1481747901        434918           7298119874        20163794         438521            85517048509      28768416747       160429           392062979173      11775321941      
1481747902        434918           7298119874        20163794         438579            85970049253      28768421833       160429           392062979173      11775321941      
1481747903        434918           7298119874        20163794         438637            86418855693      28768426918       160429           392062979173      11775321941      
1481747904        434922           7298119874        20163794         438696            86871856441      28768432008       160429           392062979173      11775321941      
1481747906        434922           7298119874        20163794         438755            87324857189      28768437094       160429           392062979173      11775321941      
1481747907        434922           7298119874        20163794         438813            87777857937      28768442184       160429           392062979173      11775321941      
1481747908        434922           7298119874        20163794         438871            88235052989      28768447272       160429           392062979173      11775321941      
1481747909        434922           7298119874        20163794         438929            88692248041      28768452362       160429           392062979173      11775321941      
1481747910        434922           7298119874        20163794         438987            89145248789      28768457448       160429           392062979173      11775321941      
1481747911        434922           7298119874        20163794         439045            89598249537      28768462537       160429           392062979173      11775321941      
1481747912        434922           7298119874        20163794         439103            90055444589      28768467624       160429           392062979173      11775321941      
1481747914        434922           7298119874        20163794         439161            90609108633      28768472713       160429           392062979173      11775321941      
1481747915        434926           7298119874        20163794         439219            91062109381      28768477799       160429           392062979173      11775321941      
1481747916        434926           7298119874        20163794         439277            91515110129      28768482889       160429           392062979173      11775321941      
1481747917        434926           7298119874        20163794         439335            91972305181      28768487976       160429           392062979173      11775321941      
1481747918        434926           7298119874        20163794         439393            92429500233      28768493062       160429           392062979173      11775321941      
1481747919        434926           7298119874        20163794         439451            92886695285      28768498149       160429           392062979173      11775321941      
1481747920        434926           7298119874        20163794         439509            93343890337      28768503237       160429           392062979173      11775321941      
1481747921        434931           7298119874        20163794         439567            93796891085      28768508326       160429           392062979173      11775321941      
1481747923        434931           7298119874        20163794         439625            94254086137      28768513416       160429           392062979173      11775321941      
1481747924        434931           7298119874        20163794         439683            94715475493      28768518505       160429           392062979173      11775321941      
1481747925        434935           7298119874        20163794         439741            95168476241      28768523597       160429           392062979173      11775321941      
1481747926        434935           7298119874        20163794         439799            95508230781      28768528687       160429           392062979173      11775321941      
1481747927        434948           7298119874        20163794         439857            95831208105      28768533774       160429           392062979173      11775321941      
1481747928        434948           7298119874        20163794         439915            96149991125      28768538865       160430           392062979173      11775321941      
1481747929        434948           7298119874        20163794         439973            96472968449      28768543955       160430           392062979173      11775321941      
1481747931        434948           7298119874        20163794         440031            96800140077      28768549046       160434           392062979173      11775321941      
1481747932        434948           7298119874        20163794         440097            97123117401      28768554137       160436           392062979173      11775321941      
1481747933        434948           7298119874        20163794         440155            97446094725      28768559225       160436           392062979173      11775321941      
1481747934        434948           7298119874        20163794         440213            97769072049      28768564317       160436           392062979173      11775321941      
1481747935        434952           7298119874        20163794         440271            98092049373      28768569407       160436           392062979173      11775321941      
1481747936        434952           7298119874        20163794         440337            98419221001      28768574499       160436           392062979173      11775321941      
1481747937        434952           7298119874        20163794         440395            98746392629      28768579588       160436           392062979173      11775321941      
1481747939        434952           7298119874        20163794         440453            99069369953      28768584679       160436           392062979173      11775321941      
1481747940        434952           7298119874        20163794         440511            99392347277      28768589771       160436           392062979173      11775321941      
1481747941        434952           7298119874        20163794         440569            99719518905      28768594859       160436           392062979173      11775321941      
