TIMESTAMP        home1-RQ         home1-RD         home1-WR         
1481747898 434918 7298119874 20163794
1481747899 434918 7298119874 20163794
1481747900 434918 7298119874 20163794
1481747901 434918 7298119874 20163794
1481747902 434918 7298119874 20163794
1481747903 434918 7298119874 20163794
1481747904 434922 7298119874 20163794
1481747906 434922 7298119874 20163794
1481747907 434922 7298119874 20163794
1481747908 434922 7298119874 20163794
1481747909 434922 7298119874 20163794
1481747910 434922 7298119874 20163794
1481747911 434922 7298119874 20163794
1481747912 434922 7298119874 20163794
1481747914 434922 7298119874 20163794
1481747915 434926 7298119874 20163794
1481747916 434926 7298119874 20163794
1481747917 434926 7298119874 20163794
1481747918 434926 7298119874 20163794
1481747919 434926 7298119874 20163794
1481747920 434926 7298119874 20163794
1481747921 434931 7298119874 20163794
1481747923 434931 7298119874 20163794
1481747924 434931 7298119874 20163794
1481747925 434935 7298119874 20163794
1481747926 434935 7298119874 20163794
1481747927 434948 7298119874 20163794
1481747928 434948 7298119874 20163794
1481747929 434948 7298119874 20163794
1481747931 434948 7298119874 20163794
1481747932 434948 7298119874 20163794
1481747933 434948 7298119874 20163794
1481747934 434948 7298119874 20163794
1481747935 434952 7298119874 20163794
1481747936 434952 7298119874 20163794
1481747937 434952 7298119874 20163794
1481747939 434952 7298119874 20163794
1481747940 434952 7298119874 20163794
1481747941 434952 7298119874 20163794
1481747942 434952 7298119874 20163794
1481747943 434952 7298119874 20163794
1481747944 434956 7298119874 20163794
1481747945 434956 7298119874 20163794
1481747947 434956 7298119874 20163794
1481747948 434956 7298119874 20163794
1481747949 434956 7298119874 20163794
1481747950 434956 7298119874 20163794
1481747951 434956 7298119874 20163794
1481747952 434956 7298119874 20163794
1481747953 434957 7298119874 20163794
1481747954 434961 7298119874 20163794
1481747956 434961 7298119874 20163794
1481747957 434961 7298119874 20163794
1481747958 434961 7298119874 20163794
1481747959 434961 7298119874 20163794
1481747960 434961 7298119874 20163794
1481747961 434961 7298119874 20163794
1481747962 434961 7298119874 20163794
1481747964 434961 7298119874 20163794
1481747965 434965 7298119874 20163794
1481747966 434965 7298119874 20163794
1481747967 434965 7298119874 20163794
1481747968 434965 7298119874 20163794
1481747969 434965 7298119874 20163794
1481747970 434965 7298119874 20163794
1481747972 434965 7298119874 20163794
1481747973 434965 7298119874 20163794
1481747974 434965 7298119874 20163794
1481747975 434969 7298119874 20163794
1481747976 434969 7298119874 20163794
1481747977 434969 7298119874 20163794
1481747978 434969 7298119874 20163794
1481747979 434969 7298119874 20163794
1481747981 434969 7298119874 20163794
1481747982 434969 7298119874 20163794
1481747983 434969 7298119874 20163794
1481747984 434973 7298119874 20163794
1481747985 434973 7298119874 20163794
1481747986 434973 7298119874 20163794
1481747988 434973 7298119874 20163794
1481747989 434973 7298119874 20163794
1481747990 434973 7298119874 20163794
1481747991 434973 7298119874 20163794
1481747992 434973 7298119874 20163794
1481747993 434973 7298119874 20163794
1481747994 434977 7298119874 20163794
1481747996 434977 7298119874 20163794
1481747997 434977 7298119874 20163794
1481747998 434977 7298119874 20163794
1481747999 434977 7298119874 20163794
1481748000 434977 7298119874 20163794
1481748001 434977 7298119874 20163794
1481748002 434977 7298119874 20163794
1481748003 434978 7298119874 20163794
1481748005 434982 7298119874 20163794
1481748006 434982 7298119874 20163794
1481748007 434982 7298119874 20163794
1481748008 434982 7298119874 20163794
1481748009 434982 7298119874 20163794
1481748010 434982 7298119874 20163794
1481748011 434982 7298119874 20163794
1481748013 434982 7298119874 20163794
1481748014 434982 7298119874 20163794
1481748015 434986 7298119874 20163794
1481748016 434986 7298119874 20163794
1481748017 434986 7298119874 20163794
1481748018 434986 7298119874 20163794
