Produce_batch,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec,TimeStamp
0,5000,0,5000,0.0,0.0,20171108-153140
5000,10000,1,5000,310.0,3199.17486,20171108-153140
0,5000,2,5000,621.0,2942.61306689,20171108-153141
5000,10000,3,5000,934.0,3178.56781236,20171108-153141
10000,15000,4,5000,1241.0,3808.52302104,20171108-153141
15000,20000,5,5000,1552.0,4360.36011106,20171108-153141
20000,25000,6,5000,1866.0,4595.94690325,20171108-153141
25000,30000,7,5000,2179.0,4855.75395725,20171108-153141
30000,35000,8,5000,2487.0,5032.30524099,20171108-153141
35000,40000,9,5000,2791.0,5141.05135605,20171108-153141
40000,45000,10,5000,3103.0,5293.24299805,20171108-153141
45000,50000,11,5000,3415.0,5429.17502667,20171108-153141
50000,55000,12,5000,3726.0,5566.87678583,20171108-153141
55000,60000,13,5000,4027.0,5743.98647871,20171108-153141
60000,65000,14,5000,4340.0,5917.15247705,20171108-153141
65000,70000,15,5000,4644.0,5980.28970514,20171108-153141
70000,75000,16,5000,4956.0,6107.43441675,20171108-153141
75000,80000,17,5000,5271.0,6233.29689209,20171108-153141
80000,85000,18,5000,5584.0,6277.02861394,20171108-153141
85000,90000,19,5000,5892.0,6429.45689377,20171108-153141
90000,95000,20,5000,6204.0,6598.24570973,20171108-153141
95000,100000,21,5000,6511.0,6750.24287673,20171108-153141
0,5000,22,5000,6819.0,5890.38140712,20171108-153142
5000,10000,23,5000,7118.0,5524.20159607,20171108-153142
10000,15000,24,5000,7418.0,5419.68177505,20171108-153142
15000,20000,25,5000,7728.0,5565.00087251,20171108-153142
20000,25000,26,5000,8039.0,5705.04815839,20171108-153142
25000,30000,27,5000,8353.0,5826.98017614,20171108-153142
30000,35000,28,5000,8668.0,5875.33132114,20171108-153142
35000,40000,29,5000,8978.0,5999.64427529,20171108-153142
40000,45000,30,5000,9288.0,6124.01483219,20171108-153142
45000,50000,31,5000,9591.0,6223.84830407,20171108-153142
50000,55000,32,5000,9894.0,6337.96451401,20171108-153142
55000,60000,33,5000,10201.0,6415.76402229,20171108-153142
60000,65000,34,5000,10509.0,6434.73681325,20171108-153142
65000,70000,35,5000,10830.0,6454.77797501,20171108-153142
70000,75000,36,5000,11150.0,6472.73615081,20171108-153142
75000,80000,37,5000,11478.0,6517.05494582,20171108-153142
80000,85000,38,5000,11806.0,6616.92273435,20171108-153142
85000,90000,39,5000,12120.0,6703.68801079,20171108-153142
90000,95000,40,5000,12434.0,6787.11784033,20171108-153142
95000,100000,41,5000,12750.0,6840.32356267,20171108-153142
100000,105000,42,5000,13066.0,6921.43446586,20171108-153142
105000,110000,43,5000,13374.0,6993.44195311,20171108-153142
110000,115000,44,5000,13682.0,7064.43748684,20171108-153142
115000,120000,45,5000,13994.0,7148.26413279,20171108-153142
120000,125000,46,5000,14306.0,7233.31868163,20171108-153142
125000,130000,47,5000,14621.0,7246.21908554,20171108-153142
130000,135000,48,5000,14936.0,7312.96555701,20171108-153142
135000,140000,49,5000,15245.0,7376.90418171,20171108-153142
140000,145000,50,5000,15555.0,7439.03173912,20171108-153142
145000,150000,51,5000,15859.0,7512.35368857,20171108-153142
150000,155000,52,5000,16163.0,7570.30754265,20171108-153143
155000,160000,53,5000,16478.0,7600.25935946,20171108-153143
160000,165000,54,5000,16793.0,7658.45817697,20171108-153143
165000,170000,55,5000,17106.0,7713.29226301,20171108-153143
170000,175000,56,5000,17419.0,7738.75433485,20171108-153143
175000,180000,57,5000,17728.0,7762.52173908,20171108-153143
180000,185000,58,5000,18038.0,7832.54911951,20171108-153143
185000,190000,59,5000,18363.0,7888.08347972,20171108-153143
190000,195000,60,5000,18688.0,7956.7321775,20171108-153143
195000,200000,61,5000,19000.0,7977.37754638,20171108-153143
200000,205000,62,5000,19312.0,8026.14954684,20171108-153143
205000,210000,63,5000,19629.0,8076.14285975,20171108-153143
210000,215000,64,5000,19946.0,8125.26248282,20171108-153143
215000,220000,65,5000,20261.0,8171.26391426,20171108-153143
220000,225000,66,5000,20576.0,8191.15094337,20171108-153143
225000,230000,67,5000,20885.0,8231.54453356,20171108-153143
230000,235000,68,5000,21194.0,8272.21773257,20171108-153143
235000,240000,69,5000,21500.0,8285.66154564,20171108-153143
240000,245000,70,5000,21807.0,8337.5101162,20171108-153143
245000,250000,71,5000,22119.0,8379.37057642,20171108-153143
250000,255000,72,5000,22431.0,8432.60521451,20171108-153143
255000,260000,73,5000,22743.0,8471.14495435,20171108-153143
260000,265000,74,5000,23054.0,8482.71484255,20171108-153143
265000,270000,75,5000,23374.0,8523.60507154,20171108-153143
270000,275000,76,5000,23693.0,8538.5686618,20171108-153143
275000,280000,77,5000,24002.0,8585.90202683,20171108-153143
280000,285000,78,5000,24310.0,8620.23743214,20171108-153143
285000,290000,79,5000,24621.0,8631.13082201,20171108-153143
290000,295000,80,5000,24931.0,8640.5405289,20171108-153143
295000,300000,81,5000,25235.0,8670.73697928,20171108-153143
300000,305000,82,5000,25538.0,8714.44951855,20171108-153143
305000,310000,83,5000,25855.0,8750.07422622,20171108-153143
310000,315000,84,5000,26171.0,8793.37472274,20171108-153143
315000,320000,85,5000,26479.0,8809.38723865,20171108-153143
320000,325000,86,5000,26787.0,8816.83212608,20171108-153143
325000,330000,87,5000,27100.0,8845.63210797,20171108-153143
330000,335000,88,5000,27413.0,8887.44344223,20171108-153143
335000,340000,89,5000,27728.0,8918.2876433,20171108-153143
340000,345000,90,5000,28044.0,8949.35715506,20171108-153144
345000,350000,91,5000,28354.0,8989.63181613,20171108-153144
350000,355000,92,5000,28665.0,9032.74734612,20171108-153144
355000,360000,93,5000,28976.0,9035.67805149,20171108-153144
360000,365000,94,5000,29287.0,8994.31509725,20171108-153144
365000,370000,95,5000,29595.0,8953.25446976,20171108-153144
370000,375000,96,5000,29904.0,8915.44256123,20171108-153144
375000,380000,97,5000,30207.0,8949.76322032,20171108-153144
380000,385000,98,5000,30510.0,8952.74038971,20171108-153144
385000,390000,99,5000,30818.0,8978.78744554,20171108-153144
390000,395000,100,5000,31127.0,9018.72440149,20171108-153144
395000,400000,101,5000,31441.0,9057.83387389,20171108-153144
400000,405000,102,5000,31755.0,9096.7869173,20171108-153144
405000,410000,103,5000,32068.0,9136.35426489,20171108-153144
410000,415000,104,5000,32382.0,9154.68327245,20171108-153144
415000,420000,105,5000,32697.0,9181.00723703,20171108-153144
420000,425000,106,5000,33012.0,9207.32836885,20171108-153144
425000,430000,107,5000,33321.0,9230.20941402,20171108-153144
430000,435000,108,5000,33630.0,9253.86015978,20171108-153144
435000,440000,109,5000,33939.0,9289.10032064,20171108-153144
440000,445000,110,5000,34249.0,9309.10565286,20171108-153144
445000,450000,111,5000,34563.0,9312.9040991,20171108-153144
450000,455000,112,5000,34877.0,9345.70438044,20171108-153144
455000,460000,113,5000,35179.0,9376.38343479,20171108-153144
460000,465000,114,5000,35482.0,9377.15968612,20171108-153144
465000,470000,115,5000,35797.0,9400.52191202,20171108-153144
470000,475000,116,5000,36112.0,9423.9643013,20171108-153144
475000,480000,117,5000,36426.0,9446.86836273,20171108-153144
480000,485000,118,5000,36740.0,9466.75898993,20171108-153144
485000,490000,119,5000,37052.0,9486.56035352,20171108-153144
